country,founded,id,industry,linkedin_url,locality,name,region,size,website
macedonia,"",ri-opusproekt,"",linkedin.com/company/ri-opusproekt,"",ri-opusproekt,"",11-50,opusproekt.com.mk
macedonia,1991,atom-steel,construction,linkedin.com/company/atom-steel,"",atom steel joist factory macedonia,"",51-200,atomsteel.eu
macedonia,2016,starbord,information technology and services,linkedin.com/company/starbord,skopje,starbord,karpos,1-10,starbord.co
macedonia,2003,kernel-group,information technology and services,linkedin.com/company/kernel-group,skopje,kernel group,karpos,11-50,kernel-group.com
macedonia,2012,skopje-city-mall,retail,linkedin.com/company/skopje-city-mall,skopje,skopje city mall,karpoš,51-200,skopjecitymall.mk
macedonia,1977,hotel-drim,recreational facilities and services,linkedin.com/company/hotel-drim,"",hotel drim,struga,51-200,drim.com.mk
macedonia,2019,buzzforcemarketing,marketing and advertising,linkedin.com/company/buzzforcemarketing,skopje,buzzforce marketing,karpos,1-10,""
macedonia,"",samerimpex-impulsi,"",linkedin.com/company/samerimpex-impulsi,"",samerimpex-impulsi,"",11-50,impulsi.com.mk
macedonia,1977,metalonica---saraliotis-g-chatzivalsamas-a-corp,mechanical or industrial engineering,linkedin.com/company/metalonica---saraliotis-g-chatzivalsamas-a-corp,"",metalonica - saraliotis g-chatzivalsamas a corp,"",11-50,metalonica.gr
macedonia,2020,thymbra-wine-beer-bar,restaurants,linkedin.com/company/thymbra-wine-beer-bar,skopje,thymbra wine & beer bar,karpos,1-10,""
macedonia,2016,blasoft-solutions,information technology and services,linkedin.com/company/blasoft-solutions,"",blasoft solutions,veles,11-50,blasoft.solutions
macedonia,2012,ef-tri,information technology and services,linkedin.com/company/ef-tri,skopje,ef-tri,karpos,1-10,fakulteti.mk
macedonia,1991,rikomak,business supplies and equipment,linkedin.com/company/rikomak,skopje,rikomak kopir servis,karpos,11-50,rikomak.mk
macedonia,1993,unibankmk,banking,linkedin.com/company/unibankmk,skopje,унибанка ад скопjе,karpos,201-500,unibank.mk
macedonia,"",a1-makedonija,telecommunications,linkedin.com/company/a1-makedonija,skopje,a1 makedonija,karpos,501-1000,a1.mk
macedonia,2010,it-fusion,information technology and services,linkedin.com/company/it-fusion,skopje,it fusion,karpos,1-10,itfusionltd.com
macedonia,"",solarico,renewables & environment,linkedin.com/company/solarico,"",solarico,prilep,51-200,solarico.eu
macedonia,2020,juno-digital-marketing,marketing and advertising,linkedin.com/company/juno-digital-marketing,skopje,juno digital marketing,karpos,1-10,juno.mk
macedonia,2011,ihne-realty,real estate,linkedin.com/company/ihne-realty,skopje,ihne realty,karpos,1-10,ihne.mk
macedonia,2004,artist-sistems-dooel---skopje,consumer electronics,linkedin.com/company/artist-sistems-dooel---skopje,skopje,artist sistems dooel - skopje,karpoš,11-50,artist.com.mk
macedonia,2014,psa-psihesko,non-profit organization management,linkedin.com/company/psa-psihesko,skopje,psa psihesko,karpos,1-10,psihesko.org
macedonia,2013,everest-web-academy,e-learning,linkedin.com/company/everest-web-academy,skopje,everest web academy,karpos,1-10,everest.mk
macedonia,1990,fokus-upholstery,textiles,linkedin.com/company/fokus-upholstery,skopje,fokus upholstery,karpos,11-50,fokus-mk.com
macedonia,1993,zec-electronics-inc,consumer electronics,linkedin.com/company/zec-electronics-inc,skopje,zec electronics inc,karpos,11-50,zec.mk
macedonia,1991,ad-eurocomputer-systems,information technology and services,linkedin.com/company/ad-eurocomputer-systems,skopje,ad eurocomputer systems,karpos,11-50,ecs.com.mk
