country,founded,id,industry,linkedin_url,locality,name,region,size,website
malaysia,2012,intrious,information technology and services,linkedin.com/company/intrious,"",intrious technology sdn bhd,kuala lumpur,1-10,intrious.com
malaysia,"",kl-lab-supplies-sdn-bhd,business supplies and equipment,linkedin.com/company/kl-lab-supplies-sdn-bhd,"",kl lab supplies sdn bhd,"",1-10,kllab.com
malaysia,2019,arrivo-my,computer software,linkedin.com/company/arrivo-my,"",arrivo,selangor,1-10,arrivo.app
malaysia,2019,thekalavera,graphic design,linkedin.com/company/thekalavera,petaling jaya,kalavera,selangor,1-10,thekalavera.com
malaysia,"",felcra-berhad,government relations,linkedin.com/company/felcra-berhad,"",felcra berhad,"",501-1000,felcra.com.my
malaysia,2009,alphapod,internet,linkedin.com/company/alphapod,"",alphapod,"",1-10,alphapod.com
malaysia,2008,international-multilateral-partnership-against-cyber-threats-impact-,computer & network security,linkedin.com/company/international-multilateral-partnership-against-cyber-threats-impact-,"",impact (international multilateral partnership against cyber threats),"",11-50,impact-alliance.org
malaysia,1995,putrajayaholdings,real estate,linkedin.com/company/putrajayaholdings,putrajaya,putrajaya holdings sdn bhd (pjh),putrajaya,201-500,""
malaysia,"",pjd-construction-sdn-bhd,construction,linkedin.com/company/pjd-construction-sdn-bhd,"",pjd construction sdn bhd,"",51-200,""
malaysia,"",plynius,entertainment,linkedin.com/company/plynius,kuala lumpur,plynius,kuala lumpur,51-200,plynius.com
malaysia,1987,paws-animal-welfare-society-petaling-jaya,non-profit organization management,linkedin.com/company/paws-animal-welfare-society-petaling-jaya,petaling jaya,paws animal welfare society,selangor,11-50,paws.org.my
malaysia,2003,exclusivitea-sdn-bhd,food & beverages,linkedin.com/company/exclusivitea-sdn-bhd,bayan lepas,exclusivitea sdn bhd,penang,11-50,xtea.com.my
malaysia,2019,supplus-my,food production,linkedin.com/company/supplus-my,johor bahru,supplus sdn bhd,johor,11-50,pasaronline.com.my
malaysia,"",auric-chun-yip-sdn-bhd-,consumer goods,linkedin.com/company/auric-chun-yip-sdn-bhd-,shah alam,auric chun yip sdn. bhd.,selangor,51-200,""
