country,founded,id,industry,linkedin_url,locality,name,region,size,website
maldives,2008,reinvent-maldives-pvt-ltd,information technology and services,linkedin.com/company/reinvent-maldives-pvt-ltd,"",reinvent maldives pvt ltd,"",11-50,reinventmaldives.com
maldives,2018,mvbizreview,publishing,linkedin.com/company/mvbizreview,male,maldives business review,kaafu atoll,1-10,mbr.mv
maldives,2005,hideaway-beach-maldives-resort-&-spa,hospitality,linkedin.com/company/hideaway-beach-maldives-resort-&-spa,"",hideaway beach maldives resort & spa,"",201-500,hideawaybeachmaldives.com
maldives,"",mookaihotel,hospitality,linkedin.com/company/mookaihotel,male,mookai hotel,kaafu atoll,51-200,""
maldives,2017,macro-assurance,accounting,linkedin.com/company/macro-assurance,male,macro assurance llp,kaafu atoll,1-10,""
maldives,2016,isle.vacations,"leisure, travel & tourism",linkedin.com/company/isle.vacations,"",isle vacations,"",1-10,isle.vacations
maldives,2006,minivan-news,newspapers,linkedin.com/company/minivan-news,male,minivan news,kaafu atoll,1-10,minivannews.com
maldives,2003,itel-company,telecommunications,linkedin.com/company/itel-company,male,itel company,kaafu atoll,11-50,itelcompany.com
maldives,"",capital-market-development-authority,capital markets,linkedin.com/company/capital-market-development-authority,"",capital market development authority,"",11-50,cmda.gov.mv
maldives,2014,hospitality-technology-maldives,information technology and services,linkedin.com/company/hospitality-technology-maldives,male,hospitality technology maldives,kaafu atoll,11-50,hospitalitytechnology.com.mv
maldives,1998,sun-island-resort-&-spa,hospitality,linkedin.com/company/sun-island-resort-&-spa,"",sun island resort & spa,"",11-50,sunislandresortandspa.com
maldives,2014,mv-hotels,marketing and advertising,linkedin.com/company/mv-hotels,male,mvhotels,kaafu atoll,11-50,""
maldives,2008,maxcom-technologies,security and investigations,linkedin.com/company/maxcom-technologies,male,maxcom technologies,kaafu atoll,11-50,maxcom.ae
