country,founded,id,industry,linkedin_url,locality,name,region,size,website
malta,"",daystar-group-of-companies,market research,linkedin.com/company/daystar-group-of-companies,"",daystar group of companies,"",1-10,daystar.com.mt
malta,"",malta-gaming-authority,gambling & casinos,linkedin.com/company/malta-gaming-authority,"",malta gaming authority,"",51-200,mga.org.mt
malta,2002,betting-promotion-sweden-ab,gambling & casinos,linkedin.com/company/betting-promotion-sweden-ab,"",betting promotion sweden ab,"",11-50,""
malta,2008,db,management consulting,linkedin.com/company/db,valletta,db,"",1-10,db.com.mt
malta,1972,malta-university-language-school,education management,linkedin.com/company/malta-university-language-school,"",malta university language school,lija,11-50,universitylanguageschool.com
malta,2017,tir4,real estate,linkedin.com/company/tir4,mosta,tir4,"",1-10,tir-4.com
malta,1980,for-rest-aparthotel,hospitality,linkedin.com/company/for-rest-aparthotel,bugibba,for rest aparthotel,saint paul’s bay,1-10,for-rest-malta.com
malta,2017,snapfood-app,food & beverages,linkedin.com/company/snapfood-app,sliema,snapfood app,"",11-50,snapfood.com
malta,1987,seashells-resort-at-suncrest-hotel-malta,hospitality,linkedin.com/company/seashells-resort-at-suncrest-hotel-malta,"",seashells resort at suncrest hotel malta,"",11-50,seashellsresortmalta.com
malta,"",philip-a-tabone-international,construction,linkedin.com/company/philip-a-tabone-international,valletta,philip a tabone international,"",1-10,concretemiddleeast.com
malta,2011,impact-consulting-limited,professional training & coaching,linkedin.com/company/impact-consulting-limited,"",impact consulting limited,"",1-10,impact-consult.org
malta,1935,c-fino-sons-ltd,furniture,linkedin.com/company/c-fino-sons-ltd,"",c. fino + sons ltd.,"",51-200,fino.com.mt
malta,2013,chic-med-aesthetic-clinics,medical practice,linkedin.com/company/chic-med-aesthetic-clinics,"",chic med-aesthetic clinics,luqa,1-10,chic.com.mt
malta,"",eagle-networks,information technology and services,linkedin.com/company/eagle-networks,"",eagle networks,"",1-10,eagle-networks.com.mt
malta,"",tti-international-limited,human resources,linkedin.com/company/tti-international-limited,"",tti international limited,"",51-200,tti-hr.com
malta,2013,psmc,"health, wellness and fitness",linkedin.com/company/psmc,gzira,psmc,"",1-10,psmcmalta.com
malta,"",executive-protection-services-malta,security and investigations,linkedin.com/company/executive-protection-services-malta,"",protection services malta ltd,"",11-50,epsmalta.com
malta,2016,carabao-ltd.,information technology and services,linkedin.com/company/carabao-ltd.,"",carabao,paola,1-10,carabaosolutions.com
malta,"",medserv-llc,management consulting,linkedin.com/company/medserv-llc,b'buga,"medserv, llc","",11-50,medserv.us
malta,2015,zarattini-international-ltd,financial services,linkedin.com/company/zarattini-international-ltd,floriana,zarattini international ltd,"",11-50,zarattini.com.mt
malta,2016,glimmer,marketing and advertising,linkedin.com/company/glimmer,valletta,glimmer,"",11-50,glimmer.ai
malta,1993,pj-sutters,food & beverages,linkedin.com/company/pj-sutters,"",pj sutters,"",51-200,pjsutters.com.mt
malta,"",insight-zone,"health, wellness and fitness",linkedin.com/company/insight-zone,"",insight zone,"",1-10,insightzonecoach.com
malta,2017,daxtechnologies,financial services,linkedin.com/company/daxtechnologies,valletta,dax | daxtechnologies.io,"",1-10,daxtechnologies.io
malta,"",hotel-xlendi-resort-&-spa,"leisure, travel & tourism",linkedin.com/company/hotel-xlendi-resort-&-spa,"",hotel xlendi resort & spa,"",11-50,hotelxlendi.com
malta,2013,melita-tourism-management,"leisure, travel & tourism",linkedin.com/company/melita-tourism-management,"",melita tourism management,"",1-10,""
malta,2014,malta-business-book,internet,linkedin.com/company/malta-business-book,pieta,malta business book,"",1-10,maltabusinessbook.com
