country,founded,id,industry,linkedin_url,locality,name,region,size,website
mauritius,2012,johnson-construction-services,construction,linkedin.com/company/johnson-construction-services,"",johnson construction services,"",11-50,johnsonconstructionsvcs.com
mauritius,"",primecapital-management-ltd,financial services,linkedin.com/company/primecapital-management-ltd,ebene,primecapital management ltd,plaines wilhems,51-200,""
mauritius,2012,mcmillan-woods-chartered-accountants,accounting,linkedin.com/company/mcmillan-woods-chartered-accountants,ebene,"mcmillan woods, chartered accountants",plaines wilhems,51-200,mcmillanwoods.mu
mauritius,2012,create-worldwide-ltd,marketing and advertising,linkedin.com/company/create-worldwide-ltd,port louis,create worldwide ltd,port louis,1-10,create-ww.com
mauritius,2015,pure-trade-limited,import and export,linkedin.com/company/pure-trade-limited,grand baie,pure trade limited,riviere du rempart,1-10,puretrade.mu
mauritius,2016,interpaytech,financial services,linkedin.com/company/interpaytech,"",ipt,black river,11-50,interpaytech.com
mauritius,"",kingdome-productions,media production,linkedin.com/company/kingdome-productions,"",kingdome productions,"",11-50,kingdome.mu
mauritius,2010,black-box-ltd,design,linkedin.com/company/black-box-ltd,"",black box ltd,"",1-10,blackbox.mu
mauritius,2014,quantilab-ltd,environmental services,linkedin.com/company/quantilab-ltd,"",quantilab ltd,"",11-50,quantilab.mu
mauritius,2013,serviqual,information technology and services,linkedin.com/company/serviqual,calebasses,serviqual,pamplemousses,1-10,serviqual.com
mauritius,2016,tribe-foundry,information technology and services,linkedin.com/company/tribe-foundry,"",tribe foundry ltd,"",1-10,tribefoundry.com
mauritius,1997,lux-le-morne,hospitality,linkedin.com/company/lux-le-morne,"",lux* le morne,black river,201-500,luxlemorne.com
mauritius,1985,feber-associates,financial services,linkedin.com/company/feber-associates,"",feber associates,port louis,1-10,feber.mu
mauritius,"",world-wide-speaking-limited,e-learning,linkedin.com/company/world-wide-speaking-limited,quatre bornes,world wide speaking; telelangue,plaines wilhems,501-1000,""
mauritius,2016,theboardroom-africa,staffing and recruiting,linkedin.com/company/theboardroom-africa,ebene,theboardroom africa,plaines wilhems,1-10,theboardroomafrica.com
mauritius,"",templegroupmauritius,legal services,linkedin.com/company/templegroupmauritius,"",temple group (mauritius),port louis,11-50,templegroup.mu
mauritius,2007,business-solutions-professionals-ltd,accounting,linkedin.com/company/business-solutions-professionals-ltd,"",business solutions professionals ltd,port louis,51-200,sme.mu
mauritius,2009,damo-resources-pvt-ltd,mining & metals,linkedin.com/company/damo-resources-pvt-ltd,"",damo resources pvt ltd,port louis,501-1000,damoresources.com
mauritius,2018,mkhulu-limited,food & beverages,linkedin.com/company/mkhulu-limited,"",mkhulu limited | biltong.mu,black river,51-200,biltong.mu
mauritius,2001,northfields-international-school,education management,linkedin.com/company/northfields-international-school,mapou,northfields international school,riviere du rempart,51-200,northfieldsonline.com
mauritius,"",vi5ual-identity,marketing and advertising,linkedin.com/company/vi5ual-identity,quatre bornes,visual identity,plaines wilhems,1-10,""
mauritius,2016,focal-point-mauritius,education management,linkedin.com/company/focal-point-mauritius,"",focal point mauritius,moka,1-10,""
