country,founded,id,industry,linkedin_url,locality,name,region,size,website
mexico,"",esmantec,"",linkedin.com/company/esmantec,"",esmantec,"",1-10,esmantec.com
mexico,2017,esadmx,professional training & coaching,linkedin.com/company/esadmx,cuernavaca,esad,morelos,11-50,esad.mx
mexico,2003,bemconsultores,management consulting,linkedin.com/company/bemconsultores,leon,bem consultores,guanajuato,11-50,bemconsultores.com.mx
mexico,2016,estatus-seguro,insurance,linkedin.com/company/estatus-seguro,mexico,estatus seguro,distrito federal,1-10,estatuseguro.com.mx
mexico,"",enautomático,marketing and advertising,linkedin.com/company/enautomático,guadalajara,marketing digital en automático,jalisco,1-10,enautomatico.com
mexico,"",industrias-unidas-s.a.,wholesale,linkedin.com/company/industrias-unidas-s.a.,"","industrias unidas, s.a.","",1001-5000,""
mexico,"",va-seguridad-privada-sa-de,government administration,linkedin.com/company/va-seguridad-privada-sa-de,"",va seguridad privada sa de,"",51-200,vigilanciaautomatizada.com.mx
mexico,"",pakki,"leisure, travel & tourism",linkedin.com/company/pakki,miguel hidalgo,pakki,mexico city,51-200,pakki.com.mx
mexico,1998,acce-asesor-a-consultor-a-y-capacitaci-n-empresarial,management consulting,linkedin.com/company/acce-asesor-a-consultor-a-y-capacitaci-n-empresarial,"","acce, asesoría, consultoría y capacitación empresarial","",1-10,acce.com.mx
mexico,2016,strom-energy,oil & energy,linkedin.com/company/strom-energy,"",strom energy,mexico,11-50,stromenergy.com.mx
mexico,2007,grupo-corpored,facilities services,linkedin.com/company/grupo-corpored,"",grupo corpored,mexico,1-10,corpored.mx
mexico,"",adventure-interactive,"",linkedin.com/company/adventure-interactive,"",adventure interactive,"",1-10,adventureint.com
mexico,1994,el-cesar-diseño-en-acabados-y-decoracion,construction,linkedin.com/company/el-cesar-diseño-en-acabados-y-decoracion,leon,el cesar diseño en acabados y decoracion,guanajuato,11-50,elcesar.com.mx
mexico,2013,alston-companymx,management consulting,linkedin.com/company/alston-companymx,san pedro garza garcia,alston company,nuevo león,51-200,alstoncompany.com
mexico,"",rish,electrical/electronic manufacturing,linkedin.com/company/rish,"",grupo rish,estado de mexico,51-200,rish.com.mx
mexico,2006,it-real-systems-consulting,information technology and services,linkedin.com/company/it-real-systems-consulting,distrito federal,it real systems consulting,chiapas,11-50,it-reals.com.mx
mexico,1993,smart-&-final-méxico,retail,linkedin.com/company/smart-&-final-méxico,virginia,smart & final méxico,oaxaca,201-500,smartnfinal.com.mx
mexico,1999,mcs-network-solution-s.a-de-c.v-,telecommunications,linkedin.com/company/mcs-network-solution-s.a-de-c.v-,"",mcs network solution s.a de c.v:,"",51-200,""
mexico,"",equi-compensaciones,"",linkedin.com/company/equi-compensaciones,"",equi compensaciones,"",11-50,equicompensaciones.com
mexico,2010,calidadweb,information technology and services,linkedin.com/company/calidadweb,monterrey,calidadweb,nuevo león,1-10,calidadweb.net
mexico,2012,solinda-sa-de-cv,mechanical or industrial engineering,linkedin.com/company/solinda-sa-de-cv,jesus maria,solinda sa de cv,aguascalientes,51-200,solinda.com.mx
mexico,"",maroma-resort-and-spa,"",linkedin.com/company/maroma-resort-and-spa,texas,maroma resort and spa,san luis potosi,1-10,maromahotel.com
mexico,1994,phomega,machinery,linkedin.com/company/phomega,monterrey,phomega,nuevo león,1-10,phomega.mx
mexico,2009,aitmx,information technology and services,linkedin.com/company/aitmx,"",ait vanguardia tecnológica,mexico,51-200,ait.mx
mexico,2016,nmdcomunicacion,marketing and advertising,linkedin.com/company/nmdcomunicacion,distrito federal,nmd comunicación,chiapas,1-10,nomadacomunicacion.com
mexico,"",instituto-nacional-de-antropologia-e-historia,libraries,linkedin.com/company/instituto-nacional-de-antropologia-e-historia,"",instituto nacional de antropologia e historia,baja california,11-50,""
mexico,2017,naus-technologies,computer software,linkedin.com/company/naus-technologies,distrito federal,naus technologies,chiapas,1-10,naus.com.mx
mexico,2010,anclas-meta-s.a.-de-c.v.,construction,linkedin.com/company/anclas-meta-s.a.-de-c.v.,"",anclas meta s.a. de c.v.,mexico,1-10,anclasmeta.com
mexico,2009,digitaldimensionmexico,information services,linkedin.com/company/digitaldimensionmexico,irapuato,digital dimension,guanajuato,1-10,digitaldimension.com.mx
mexico,2013,just-feet,"health, wellness and fitness",linkedin.com/company/just-feet,"",just feet,"",1-10,justfeet.mx
mexico,1999,mjb-tableros-y-maderas-s-de-r-l-de-cv,paper & forest products,linkedin.com/company/mjb-tableros-y-maderas-s-de-r-l-de-cv,saltillo,mjb tableros y maderas s de r l de cv,coahuila,51-200,mjbtm.com
mexico,"",emblemas-bordados-de-mexico-sa-de-cv,apparel & fashion,linkedin.com/company/emblemas-bordados-de-mexico-sa-de-cv,"",emblemas bordados de mexico sa de cv,"",51-200,embomex.com
mexico,1978,instituto-nuevo-amanecer-a-b-p-,hospital & health care,linkedin.com/company/instituto-nuevo-amanecer-a-b-p-,san pedro garza garcia,"instituto nuevo amanecer, a. b. p.",nuevo león,51-200,nuevoamanecer.edu.mx
mexico,"",societao,management consulting,linkedin.com/company/societao,"",societao,"",1-10,societao.com
mexico,"",acr-consultores-fiscales,management consulting,linkedin.com/company/acr-consultores-fiscales,"",acr consultores fiscales,"",11-50,acrfiscales.com
mexico,2009,inode-technology,information technology and services,linkedin.com/company/inode-technology,"",inode technology,chihuahua,11-50,inodecommerce.com
mexico,1998,occmundial,human resources,linkedin.com/company/occmundial,"",occmundial.com,mexico,201-500,occ.com.mx
mexico,"",cafe-de-la-flor,food & beverages,linkedin.com/company/cafe-de-la-flor,tijuana,somos café de la flor,baja california,201-500,cafedelaflor.com
mexico,1994,guantes-altex-srl-de-cv,consumer goods,linkedin.com/company/guantes-altex-srl-de-cv,"",guantes altex srl de cv,estado de mexico,51-200,guantesaltex.com.mx
mexico,"",interblast-méxico-s-a-de-c-v-,"",linkedin.com/company/interblast-méxico-s-a-de-c-v-,"",interblast méxico s.a. de c.v.,"",1-10,interblast.com.mx
mexico,2015,kia-edificaciones,construction,linkedin.com/company/kia-edificaciones,puebla,kia edificaciones,puebla,51-200,""
mexico,"",chikicole,"",linkedin.com/company/chikicole,"",chikicole,"",11-50,chikicole.mx
mexico,1995,ajtel-communications-network-group-llc,telecommunications,linkedin.com/company/ajtel-communications-network-group-llc,"",ajtel communications network group llc,mexico city,51-200,ajtel.net
mexico,"",astra-sistemas,information technology and services,linkedin.com/company/astra-sistemas,"",astra sistemas,"",1-10,astrasistemas.com.mx
mexico,2008,pancracio,graphic design,linkedin.com/company/pancracio,"",pancracio,"",1-10,pancracio.com.mx
mexico,"",unitam,"",linkedin.com/company/unitam,"",unitam,"",51-200,institutounitam.com
mexico,1986,juventud-y-familia-misionera,civic & social organization,linkedin.com/company/juventud-y-familia-misionera,"",juventud y familia misionera,"",51-200,demisiones.com
mexico,2007,tecnolife,information technology and services,linkedin.com/company/tecnolife,leon,tecnolife,guanajuato,1-10,tecnolife.com
mexico,2004,hostal-casa-de-dante,hospitality,linkedin.com/company/hostal-casa-de-dante,guanajuato,hostal casa de dante,guanajuato,1-10,casadedante.com
mexico,2008,carralsierra,public relations and communications,linkedin.com/company/carralsierra,"",carralsierra,mexico,11-50,carralsierra.com.mx
mexico,"",acuario-tours,hospitality,linkedin.com/company/acuario-tours,magallanes,acuario tours,michoacan,1-10,acuariotours.com
mexico,"",pvc-transforma,"",linkedin.com/company/pvc-transforma,"",pvc transforma,"",1-10,pvc-transforma.com
mexico,2008,círculo-cuadrado,public relations and communications,linkedin.com/company/círculo-cuadrado,"",círculo cuadrado,"",11-50,circulocuadrado.com.mx
mexico,2018,nunulanailbar,cosmetics,linkedin.com/company/nunulanailbar,distrito federal,nunula nail bar,chiapas,1-10,nunula.mx
mexico,"",fliner,management consulting,linkedin.com/company/fliner,puebla,fliner,puebla,1-10,fliner.com.mx
mexico,1993,gvr-asociados-s-c-,accounting,linkedin.com/company/gvr-asociados-s-c-,"",gvr asociados s.c.,"",1-10,""
mexico,1986,hogarescocoa,construction,linkedin.com/company/hogarescocoa,oaxaca,hogares cocoa,oaxaca,1-10,hogarescocoa.com
mexico,2011,syma-consulting,management consulting,linkedin.com/company/syma-consulting,new york,syma consulting,chiapas,1-10,symaconsulting.com
mexico,2000,auric-consulting,management consulting,linkedin.com/company/auric-consulting,san pedro garza garcia,auric consulting,nuevo león,11-50,auric.com.mx
mexico,2008,sistema-de-transferencias-y-pagos,financial services,linkedin.com/company/sistema-de-transferencias-y-pagos,"",sistema de transferencias y pagos,mexico,51-200,stpmex.com
