country,founded,id,industry,linkedin_url,locality,name,region,size,website
moldova,"",spanvoz,outsourcing/offshoring,linkedin.com/company/spanvoz,"",spanvoz,"",51-200,spanvoz.es
moldova,2013,elitiv,program development,linkedin.com/company/elitiv,"",elitiv software,"",1-10,elitiv.com
moldova,2007,good-media,marketing and advertising,linkedin.com/company/good-media,"",good media,"",11-50,goodmedia.md
moldova,2006,adcenter-moldova,marketing and advertising,linkedin.com/company/adcenter-moldova,chisinau,adcenter moldova,chisinau,1-10,adcenter.md
moldova,2019,relaxe,furniture,linkedin.com/company/relaxe,chisinau,relaxe,chisinau,1-10,relaxe.md
moldova,"",rt-design-studio,internet,linkedin.com/company/rt-design-studio,chisinau,rt design studio,chisinau,1-10,rtdesignstudio.com
moldova,2005,imc-market,retail,linkedin.com/company/imc-market,chisinau,imc market,chisinau,201-500,imc.md
moldova,1998,optimum-web-md,outsourcing/offshoring,linkedin.com/company/optimum-web-md,"",optimum-web moldova,"",11-50,optimum-web.md
moldova,2018,ong-intermezzo-music,music,linkedin.com/company/ong-intermezzo-music,chisinau,a.o. intermezzo music,chisinau,51-200,""
moldova,"",maxtuning,automotive,linkedin.com/company/maxtuning,"",maxtuning,"",11-50,maxtuning.md
moldova,"",sun-communications,telecommunications,linkedin.com/company/sun-communications,"",sun communications,"",51-200,suncommunications.md
