country,founded,id,industry,linkedin_url,locality,name,region,size,website
monaco,"",galerie-carredore,fine art,linkedin.com/company/galerie-carredore,monaco,galerie carredore,commune de monaco,1-10,carredor-monaco.com
monaco,2008,sandino-yachts,maritime,linkedin.com/company/sandino-yachts,monaco,sandino yachts,commune de monaco,1-10,sandinoyachts.mc
monaco,1995,mediacom-av-services,events services,linkedin.com/company/mediacom-av-services,"",mediacom av services,monaco,11-50,mediacom.mc
monaco,"",k&k-superyachts,maritime,linkedin.com/company/k&k-superyachts,monaco,kk superyachts,commune de monaco,1-10,kk-superyachts.com
monaco,2016,capucine-agency,marketing and advertising,linkedin.com/company/capucine-agency,monaco,capucine agency,commune de monaco,1-10,capucine-agency.com
monaco,2016,subliminal-pictures,media production,linkedin.com/company/subliminal-pictures,monte carlo,subliminal pictures,"",1-10,subliminal-pictures.com
monaco,"",netbay,computer software,linkedin.com/company/netbay,monaco,netbay,commune de monaco,11-50,netbay.mc
monaco,1983,groupe-expression,human resources,linkedin.com/company/groupe-expression,monaco,groupe expression (monaco),commune de monaco,1-10,groupexpression.com
monaco,2017,infinitemontecarlo,consumer services,linkedin.com/company/infinitemontecarlo,monaco,infinite monte carlo,commune de monaco,1-10,infinite-monte-carlo.mc
monaco,"",meridian4g,information technology and services,linkedin.com/company/meridian4g,monaco,meridian 4g - fastest internet onboard,commune de monaco,1-10,meridian4g.com
monaco,2018,bentley-drivers-club-monaco,automotive,linkedin.com/company/bentley-drivers-club-monaco,monte carlo,bentley drivers club monaco,"",1-10,""
monaco,1996,lorenza-von-stein,real estate,linkedin.com/company/lorenza-von-stein,monaco,lorenza von stein luxury real estate,commune de monaco,1-10,lorenzavonstein.com
monaco,2019,gema-global-environment-movement-association,renewables & environment,linkedin.com/company/gema-global-environment-movement-association,monaco,gema global environment movement association,commune de monaco,1-10,gema.mc
