country,founded,id,industry,linkedin_url,locality,name,region,size,website
mongolia,"",problem-solvers-of-the-universe,management consulting,linkedin.com/company/problem-solvers-of-the-universe,"",problem solvers of the universe,"",501-1000,""
mongolia,2016,gcr-mongolia,construction,linkedin.com/company/gcr-mongolia,ulaanbaatar,gcr mongolia,ulaanbaatar,501-1000,gcrmongolia.mn
mongolia,2001,tatakh-khuch-co-ltd-gravity-,construction,linkedin.com/company/tatakh-khuch-co-ltd-gravity-,"","tatakh khuch co., ltd ( gravity)",ulaanbaatar,11-50,gravity.mn
mongolia,2014,viral-partners-llc,marketing and advertising,linkedin.com/company/viral-partners-llc,ulaanbaatar,viral partners llc,ulaanbaatar,11-50,viral.mn
mongolia,2018,terra-explorers-ltd,oil & energy,linkedin.com/company/terra-explorers-ltd,"",terra explorers ltd,ulaanbaatar,11-50,""
mongolia,"",transparency-international-mongolia,international trade and development,linkedin.com/company/transparency-international-mongolia,ulaanbaatar,transparency international mongolia,ulaanbaatar,1-10,transparency.mn
mongolia,2013,seaberry-farm-products-llc,farming,linkedin.com/company/seaberry-farm-products-llc,ulaanbaatar,seaberry farm products llc,ulaanbaatar,11-50,seaberryfarmproducts.com
mongolia,1999,cms-group-llc,construction,linkedin.com/company/cms-group-llc,"",cms group llc,"",1-10,cms.mn
mongolia,2016,motor-brothers-mongolia,"leisure, travel & tourism",linkedin.com/company/motor-brothers-mongolia,ulaanbaatar,motor brothers mongolia,ulaanbaatar,1-10,motorbrothers.mn
mongolia,2010,erdenes-tavan-tolgoi-llc,mining & metals,linkedin.com/company/erdenes-tavan-tolgoi-llc,ulaanbaatar,erdenes tavan tolgoi llc,ulaanbaatar,501-1000,erdenestt.mn
mongolia,1994,hobbyschool,primary/secondary education,linkedin.com/company/hobbyschool,ulaanbaatar,hobby school,ulaanbaatar,51-200,hobby-school.mn
mongolia,"",ddam,information technology and services,linkedin.com/company/ddam,"",dentsu data artist mongol,ulaanbaatar,51-200,ddam.ai
