country,founded,id,industry,linkedin_url,locality,name,region,size,website
morocco,2013,lamudi-maroc,real estate,linkedin.com/company/lamudi-maroc,casablanca,lamudi maroc,grand casablanca,1-10,lamudi.ma
morocco,"",clubsocial,philanthropy,linkedin.com/company/clubsocial,casablanca,club social,casablanca-settat,201-500,socialehtp.com
morocco,"",imacab,electrical/electronic manufacturing,linkedin.com/company/imacab,"",imacab,"",201-500,imacab.ma
morocco,2010,villa-marrakech,hospitality,linkedin.com/company/villa-marrakech,"","maison marrakech, villa taj omayma",marrakesh-safi,1-10,riad-taj-omayma.com
morocco,2006,allopcmaroc,computer networking,linkedin.com/company/allopcmaroc,settat,allopc maroc,casablanca-settat,11-50,allopc.info
morocco,2009,seriderm-group,medical devices,linkedin.com/company/seriderm-group,casablanca,seriderm group,grand casablanca,11-50,seriderm.com
morocco,"",ladci,"",linkedin.com/company/ladci,"",ladci,"",1-10,ladci.com
morocco,"",groupe-afrique-challenge,management consulting,linkedin.com/company/groupe-afrique-challenge,"",groupe afrique challenge,"",1-10,""
morocco,"",nosformations,professional training & coaching,linkedin.com/company/nosformations,casablanca,centre des compétences chorfi,grand casablanca,1-10,""
morocco,1953,smac-excluvise-distributor-of-ingersoll-rand-new-holland-atlas-copco-tcm-bt-sdmo-and-karcher-,building materials,linkedin.com/company/smac-excluvise-distributor-of-ingersoll-rand-new-holland-atlas-copco-tcm-bt-sdmo-and-karcher-,casablanca,"smac (excluvise distributor of ingersoll rand, new holland, atlas copco, tcm, bt, sdmo and karcher)",grand casablanca,51-200,smac.ma
morocco,1982,groupe-somed,"",linkedin.com/company/groupe-somed,settat,groupe somed,casablanca-settat,1001-5000,somed.ma
morocco,1989,outipro-maroc,construction,linkedin.com/company/outipro-maroc,casablanca,outipro maroc,grand casablanca,51-200,outipro.ma
morocco,2014,casa-crossfit,sports,linkedin.com/company/casa-crossfit,casablanca,casa crossfit,grand casablanca,1-10,casacrossfit.com
morocco,"",axa-assurance-maroc-sa,insurance,linkedin.com/company/axa-assurance-maroc-sa,casablanca,axa assurance maroc sa,grand casablanca,51-200,""
morocco,2004,microchoix-ma,retail,linkedin.com/company/microchoix-ma,"",microchoix,"",51-200,microchoix.ma
morocco,2009,shams-home,real estate,linkedin.com/company/shams-home,"",shams home,marrakesh-safi,1-10,shamshome.com
morocco,2003,genious-communications,internet,linkedin.com/company/genious-communications,"",genious communications,marrakesh-safi,11-50,genious.net
morocco,2017,immofinances-maroc,financial services,linkedin.com/company/immofinances-maroc,casablanca,immofinances maroc,casablanca-settat,1-10,""
morocco,"",vinaigrerie-moutarderie-du-maroc,food production,linkedin.com/company/vinaigrerie-moutarderie-du-maroc,casablanca,vinaigrerie moutarderie du maroc,grand casablanca,11-50,vmm.ma
morocco,1989,sociã©tã©-des-entreprises-zaouia,construction,linkedin.com/company/sociã©tã©-des-entreprises-zaouia,casablanca,sociã©tã© des entreprises zaouia,grand casablanca,51-200,entreprisezaouia.com
morocco,2000,softia,information technology and services,linkedin.com/company/softia,"",softia,tanger-tetouan-al hoceima,11-50,softia.ma
morocco,"",inwi,telecommunications,linkedin.com/company/inwi,settat,inwi,casablanca-settat,1001-5000,inwi.ma
morocco,2011,phi-business-consulting,information technology and services,linkedin.com/company/phi-business-consulting,casablanca,phi business consulting,grand casablanca,1-10,phibusinessconsulting.com
morocco,2003,linkium,marketing and advertising,linkedin.com/company/linkium,agdal,linkium,fes-meknes,1-10,linkium.com
morocco,1984,mazhar,chemicals,linkedin.com/company/mazhar,casablanca,mazhar - fine chemicals,grand casablanca,11-50,mazhar.ma
morocco,"",maghreb-business-software,information technology and services,linkedin.com/company/maghreb-business-software,casablanca,maghreb business software,casablanca-settat,1-10,maghrebsoft.ma
morocco,2017,we-care-health-partners,"health, wellness and fitness",linkedin.com/company/we-care-health-partners,casablanca,we care health partners,grand casablanca,11-50,wecare.ma
morocco,"",imprimerie,printing,linkedin.com/company/imprimerie,"",imprimerie,"",501-1000,itba3.ma
morocco,2015,watechno,information technology and services,linkedin.com/company/watechno,casablanca,watechno,grand casablanca,1-10,watechno.com
morocco,2013,carré-web-agency,marketing and advertising,linkedin.com/company/carré-web-agency,gueliz,carré web agency,marrakesh-safi,1-10,carre-webagency.com
morocco,2013,prime-zone-systemes,retail,linkedin.com/company/prime-zone-systemes,casablanca,prime zone systemes,casablanca-settat,1-10,primezone.ma
morocco,2014,itimdex,information technology and services,linkedin.com/company/itimdex,berrechid,itimdex,casablanca-settat,1-10,itimdex.com
morocco,2020,seniorsforseniors,consumer services,linkedin.com/company/seniorsforseniors,rabat,seniors for seniors (s4s),rabat-sale-zemmour-zaer,11-50,""
morocco,1963,mercedes-benz-trucks-maroc,automotive,linkedin.com/company/mercedes-benz-trucks-maroc,casablanca,mercedes-benz trucks maroc,grand casablanca,201-500,""
