country,founded,id,industry,linkedin_url,locality,name,region,size,website
mozambique,2014,compramoz,retail,linkedin.com/company/compramoz,maputo,compra.co.mz,maputo,11-50,compra.co.mz
mozambique,"",luna-consultores,market research,linkedin.com/company/luna-consultores,maputo,luna consultores,maputo,1-10,""
mozambique,2015,unuba-y&r-creative-agency,marketing and advertising,linkedin.com/company/unuba-y&r-creative-agency,"",unuba creative agency,maputo,1-10,unuba.co.mz
mozambique,1982,base-international,management consulting,linkedin.com/company/base-international,"",base international & brmoz,"",201-500,brmoz.co.mz
mozambique,1964,tdm-pty-limited,building materials,linkedin.com/company/tdm-pty-limited,maputo,tdm (pty) limited,maputo,201-500,tdm.co.za
mozambique,"",millibran-technologies,information technology and services,linkedin.com/company/millibran-technologies,maputo,millibran technologies,maputo,1-10,""
mozambique,2018,planoinvesto,investment management,linkedin.com/company/planoinvesto,maputo,planoinvesto,maputo,1-10,""
mozambique,"",african-stellar-mozambique-limitada,mining & metals,linkedin.com/company/african-stellar-mozambique-limitada,"",african stellar mozambique limitada,"",1-10,""
mozambique,2012,mmo-mozambique-offices,facilities services,linkedin.com/company/mmo-mozambique-offices,"","mmo, mozambique managed offices lda",maputo,11-50,offices-maputo.com
mozambique,2012,kaleidoscopio---research-in-public-policy-and-culture,research,linkedin.com/company/kaleidoscopio---research-in-public-policy-and-culture,maputo,kaleidoscopio - research in public policy and culture,maputo,1-10,kaleidoscopio.co.mz
mozambique,2015,clubedenegociosfrancemozambique,international trade and development,linkedin.com/company/clubedenegociosfrancemozambique,maputo,clube de negócios france-mozamique,maputo,1-10,clubframoz.com
mozambique,"",duiker-international-group,investment management,linkedin.com/company/duiker-international-group,maputo,duiker international group,maputo,11-50,duiker-internationalmoz.co.mz
mozambique,"",medlife-mozambique,hospital & health care,linkedin.com/company/medlife-mozambique,"",medlife mozambique,maputo,11-50,medlife.co.mz
mozambique,2008,insight-software-solutions-lda,information technology and services,linkedin.com/company/insight-software-solutions-lda,maputo,"insight software solutions, lda",maputo,1-10,""
mozambique,2018,moenergy-mozambique,oil & energy,linkedin.com/company/moenergy-mozambique,"","moenergy - engenharia, procurement & construção, lda",maputo,1-10,moenergy.co.mz
