country,founded,id,industry,linkedin_url,locality,name,region,size,website
myanmar,2005,azemyanmar,mechanical or industrial engineering,linkedin.com/company/azemyanmar,yangon,az engineering,yangon,51-200,""
myanmar,"",myanmar-economic-association,non-profit organization management,linkedin.com/company/myanmar-economic-association,yangon,myanmar economic association,yangon,201-500,""
myanmar,2011,zayar-properties,construction,linkedin.com/company/zayar-properties,rangoon,zayar properties,yangon,1-10,""
myanmar,2016,piyawasa,marketing and advertising,linkedin.com/company/piyawasa,yangon,piyawasa,yangon,11-50,piyawasa.com
myanmar,"",myanmar-egress,education management,linkedin.com/company/myanmar-egress,"",myanmar egress,"",51-200,myanmaregress.org
myanmar,"",sin-sar-bar,civic & social organization,linkedin.com/company/sin-sar-bar,"",sin sar bar,yangon,1-10,""
myanmar,2018,ourdream-co-working-space,facilities services,linkedin.com/company/ourdream-co-working-space,yangon,ourdream co-working space (yangon),yangon,1-10,ourdreamcowork.com
myanmar,2016,mother-finance,financial services,linkedin.com/company/mother-finance,yangon,mother finance,yangon,11-50,""
myanmar,2016,yomamicropower,utilities,linkedin.com/company/yomamicropower,yangon,yoma micro power,yangon,11-50,yomamicropower.com
myanmar,1992,mmrd-hr,market research,linkedin.com/company/mmrd-hr,yangon,mmrd ltd.,yangon,201-500,""
myanmar,2017,nedkellymm,hospitality,linkedin.com/company/nedkellymm,mandalay,ned kelly hotel & irish pub,mandalay,11-50,""
myanmar,2018,kyopaytechnologies,financial services,linkedin.com/company/kyopaytechnologies,yangon,kyopaytechnologies,yangon,11-50,""
myanmar,"",gcxt,food & beverages,linkedin.com/company/gcxt,rangoon,"grand cherry xeno trading co., ltd.",yangon,11-50,""
myanmar,2019,gaming-factory,computer games,linkedin.com/company/gaming-factory,yangon,gaming factory,yangon,1-10,gamingfactory.com
