country,founded,id,industry,linkedin_url,locality,name,region,size,website
namibia,"",windhoek-observer,"",linkedin.com/company/windhoek-observer,"",windhoek observer,"",11-50,observer.com.na
namibia,2011,eaztrade,international trade and development,linkedin.com/company/eaztrade,windhoek,eaztrade,khomas,1-10,eaztrade.com
namibia,2011,headway-consulting-nam,information technology and services,linkedin.com/company/headway-consulting-nam,windhoek,headway consulting (pty) ltd,khomas,1-10,""
namibia,2019,chommie-bites,internet,linkedin.com/company/chommie-bites,windhoek,chommie bites,khomas,1-10,chommiebites.app
namibia,2011,kaleidoscope-pr,public relations and communications,linkedin.com/company/kaleidoscope-pr,"",kaleidoscopenam,"",1-10,kprmnamibia.com
namibia,2006,trumpet-international,information technology and services,linkedin.com/company/trumpet-international,"",trumpet international,"",1-10,trumpet-int.com
namibia,"",namib-poultry,"",linkedin.com/company/namib-poultry,"",namib poultry,"",1-10,""
namibia,1982,plastic-packaging-nam,packaging and containers,linkedin.com/company/plastic-packaging-nam,windhoek,plastic packaging (pty) ltd,khomas,201-500,plasticpackagingnamibia.com
namibia,1996,ogilvy-namibia,marketing and advertising,linkedin.com/company/ogilvy-namibia,windhoek,ogilvy namibia,khomas,11-50,ogilvy.com.na
namibia,"",netvend-namibia-,"",linkedin.com/company/netvend-namibia-,"",netvend namibia,"",11-50,netvendna.com
namibia,2016,siceh-foundation,security and investigations,linkedin.com/company/siceh-foundation,"",siceh foundation,"",1-10,siceh.org
namibia,1977,wce-consulting-engineers,civil engineering,linkedin.com/company/wce-consulting-engineers,windhoek,wce consulting engineers,khomas,11-50,wcenamibia.com
namibia,2012,ongula-village-homestead-lodge,hospitality,linkedin.com/company/ongula-village-homestead-lodge,eenhana,ongula village homestead lodge,ohangwena,1-10,ongula.com
namibia,1992,namibianemployersfederation,non-profit organization management,linkedin.com/company/namibianemployersfederation,windhoek,namibianemployersfederation,khomas,1-10,nef.com.na
