country,founded,id,industry,linkedin_url,locality,name,region,size,website
nepal,2015,innovative-ghar-nepal,non-profit organization management,linkedin.com/company/innovative-ghar-nepal,"",innovative ghar nepal,bagmati,11-50,ingnepal.org
nepal,2012,cocinamithochha,hospitality,linkedin.com/company/cocinamithochha,kathmandu,cocina mitho chha,central region,11-50,cocinamithochha.com
nepal,2017,openspacenetwork,events services,linkedin.com/company/openspacenetwork,kathmandu,open space network,central region,1-10,openspace.world
nepal,"",brilliant-multiple-college,"",linkedin.com/company/brilliant-multiple-college,"",brilliant multiple college,"",11-50,""
nepal,2013,karmath-group-of-it-solution-pvt-ltd-,information technology and services,linkedin.com/company/karmath-group-of-it-solution-pvt-ltd-,"",karmath group of it solution pvt. ltd.,bagmati,1-10,karmathnepal.com
nepal,2009,baluwatar-school,non-profit organization management,linkedin.com/company/baluwatar-school,kathmandu,baluwatar school,central region,1-10,""
nepal,2002,real-solutions-pvt.-ltd.,human resources,linkedin.com/company/real-solutions-pvt.-ltd.,kathmandu,real solutions pvt. ltd.,central region,11-50,""
nepal,2002,esskay-enterprises-pvt-ltd-nepal,staffing and recruiting,linkedin.com/company/esskay-enterprises-pvt-ltd-nepal,kathmandu,"esskay enterprises pvt ltd, nepal",central region,1-10,""
nepal,"",nic-bank_2,banking,linkedin.com/company/nic-bank_2,kathmandu,nic asia bank,central region,501-1000,jginepal.com
nepal,2015,best-paani-pvt.-ltd.,construction,linkedin.com/company/best-paani-pvt.-ltd.,lalitpur,best paani pvt. ltd.,central region,1-10,bestpaani.com
nepal,2014,gurzu-inc,information technology and services,linkedin.com/company/gurzu-inc,lalitpur,gurzu inc,central region,11-50,gurzu.com
nepal,"",bachi-amaa-foundation,non-profit organization management,linkedin.com/company/bachi-amaa-foundation,"",bachi amaa foundation,"",11-50,bachi-amaafoundation.com
nepal,"",gita-pashmina-udhyog,apparel & fashion,linkedin.com/company/gita-pashmina-udhyog,kathmandu,gita pashmina udhyog,central region,11-50,gitapashmina.com
nepal,"",welcome-nepal-treks-p-ltd,"leisure, travel & tourism",linkedin.com/company/welcome-nepal-treks-p-ltd,"",welcome nepal treks p ltd,"",11-50,welcomenepaltreks.com
nepal,"",contactniice,think tanks,linkedin.com/company/contactniice,kathmandu,niice nepal,central region,11-50,""
nepal,2016,ideajar-digital,marketing and advertising,linkedin.com/company/ideajar-digital,lalitpur,ideajar digital,central region,11-50,ideajar.digital
nepal,2002,everest-summit-lodges,"leisure, travel & tourism",linkedin.com/company/everest-summit-lodges,kathmandu,everest summit lodges,central region,51-200,""
nepal,2013,internet-market-today,internet,linkedin.com/company/internet-market-today,janakpur,internet market today,central region,11-50,internetmarkettoday.com
nepal,1955,svlclaw,legal services,linkedin.com/company/svlclaw,kathmandu,sinha verma law concern,central region,11-50,svlclaw.com
nepal,2009,himalayanquests,"leisure, travel & tourism",linkedin.com/company/himalayanquests,kathmandu,himalayan quests and adventures,central region,1-10,hbrecycling.com.mx
nepal,2017,foodmario,food & beverages,linkedin.com/company/foodmario,kathmandu,foodmario,central region,11-50,foodmario.com
nepal,"",jimbu-thakali-by-capital-grills,restaurants,linkedin.com/company/jimbu-thakali-by-capital-grills,kathmandu,jimbu thakali by capital grill,central region,51-200,jimbuthakali.com
nepal,2016,eproperty-nepal,real estate,linkedin.com/company/eproperty-nepal,kathmandu,epropertynepal,central region,1-10,epropertynepal.com
nepal,2016,silent-turtle,information technology and services,linkedin.com/company/silent-turtle,"",silent turtle,"",1-10,silentturtle.com
nepal,2002,tenduli-international-employment-service-pvt-ltd,human resources,linkedin.com/company/tenduli-international-employment-service-pvt-ltd,kathmandu,tenduli international employment service pvt.ltd,central region,11-50,""
nepal,"",bent-ray-technologies,information technology and services,linkedin.com/company/bent-ray-technologies,"",bent ray technologies,"",11-50,bentraytech.com
nepal,2006,rudra-international,business supplies and equipment,linkedin.com/company/rudra-international,kathmandu,rudra international,central region,11-50,""
nepal,2011,ramrocookies,food production,linkedin.com/company/ramrocookies,kailali,rp bakery,"",51-200,ramrocookies.com
nepal,1985,peaceful-cottage-&-cafe-du-mont,hospitality,linkedin.com/company/peaceful-cottage-&-cafe-du-mont,"",peaceful cottage & cafe du mont,"",11-50,peacefulcottage.xyz
nepal,2010,artificial-information-technology,information technology and services,linkedin.com/company/artificial-information-technology,kathmandu,artificial information technology,central region,201-500,artificialinfotech.com
nepal,2019,truenary,information technology and services,linkedin.com/company/truenary,kathmandu,truenary solutions,central region,1-10,truenary.com
nepal,2019,gateway-payment-service,information technology and services,linkedin.com/company/gateway-payment-service,kathmandu,gateway payment service pvt. ltd,central region,51-200,paymentnepal.com
nepal,2012,tux-web-design-networking-&-software-solution,computer software,linkedin.com/company/tux-web-design-networking-&-software-solution,"",tux web design networking & software solution,bagmati,1-10,""
nepal,"",yalacraft-p.ltd,arts and crafts,linkedin.com/company/yalacraft-p.ltd,"",yalacraft p.ltd,"",11-50,yalacraft.com
