country,founded,id,industry,linkedin_url,locality,name,region,size,website
netherlands,"",verzekeringsunie,financial services,linkedin.com/company/verzekeringsunie,"",verzekeringsunie,"",51-200,verzekeringsunie.nl
netherlands,"",werkcentrum-pluspunt-rotterdam,civic & social organization,linkedin.com/company/werkcentrum-pluspunt-rotterdam,rotterdam,werkcentrum pluspunt rotterdam,zuid-holland,11-50,""
netherlands,"",hotel-de-hoogt,hospitality,linkedin.com/company/hotel-de-hoogt,maasdam,hotel de hoogt,south holland,1-10,""
netherlands,1999,downstream-b.v.,logistics and supply chain,linkedin.com/company/downstream-b.v.,hoogvliet,downstream b.v.,south holland,1-10,downstream.nl
netherlands,1993,sealiner-consolidation-&-forwarding-b.v.,maritime,linkedin.com/company/sealiner-consolidation-&-forwarding-b.v.,rotterdam,sealiner consolidation & forwarding b.v.,zuid-holland,1-10,sealiner.nl
netherlands,1995,v-v-h-business-translations,translation and localization,linkedin.com/company/v-v-h-business-translations,maartensdijk,vvh business translations,utrecht,1-10,vvh.nl
netherlands,"",praefero,"",linkedin.com/company/praefero,elst,praefero,gelderland,1-10,""
netherlands,2017,utmost-upmost,publishing,linkedin.com/company/utmost-upmost,amsterdam,utmost upmost,noord-holland,1-10,utmostupmost.com
netherlands,"",creative-empowerment-coaching,mental health care,linkedin.com/company/creative-empowerment-coaching,"",creative empowerment coaching,"",1-10,nieuwekinderen.nl
netherlands,2013,smaakmakersevents,events services,linkedin.com/company/smaakmakersevents,utrecht,smaakmakersevents,utrecht,1-10,""
netherlands,2007,vied,design,linkedin.com/company/vied,"",vied,"",1-10,vied.nl
netherlands,"",kindercentrum.nl-overijssel-oost-b.v.,alternative medicine,linkedin.com/company/kindercentrum.nl-overijssel-oost-b.v.,apeldoorn,kindercentrum.nl overijssel-oost b.v.,gelderland,51-200,""
netherlands,2008,kismet-events,events services,linkedin.com/company/kismet-events,"",kismet events,"",11-50,kismet-events.com
netherlands,2000,letsel-&-schade,law practice,linkedin.com/company/letsel-&-schade,amsterdam,letsel & schade,noord-holland,11-50,""
netherlands,2009,ienergy,oil & energy,linkedin.com/company/ienergy,rotterdam,ienergy,zuid-holland,1-10,ienergy.nu
netherlands,2009,green-mini-host,internet,linkedin.com/company/green-mini-host,amsterdam,green mini host bv,north holland,1-10,greenminihost.com
netherlands,"",wijkopenautos.nl,retail,linkedin.com/company/wijkopenautos.nl,apeldoorn,wijkopenautos.nl,gelderland,11-50,wijkopenautos.nl
netherlands,2012,farmasortbv,pharmaceuticals,linkedin.com/company/farmasortbv,haaften,farma sort b.v.,gelderland,1-10,farmasort.nl
netherlands,2017,defoundation,design,linkedin.com/company/defoundation,amsterdam,de.foundation,north holland,1-10,de.foundation
netherlands,2015,hair-business-centre-bv-i-o-,"health, wellness and fitness",linkedin.com/company/hair-business-centre-bv-i-o-,hengelo,hair business centre bv,overijssel,1-10,hairbusinesscentre.nl
netherlands,1980,plexi-view,design,linkedin.com/company/plexi-view,"",plexi-view,"",1-10,plexi-view.com
netherlands,"",lassooydesign-bno,graphic design,linkedin.com/company/lassooydesign-bno,"",lassooydesign bno,"",11-50,lassooydesign.nl
