country,founded,id,industry,linkedin_url,locality,name,region,size,website
new zealand,1993,the-parenting-place,non-profit organization management,linkedin.com/company/the-parenting-place,auckland,the parenting place,auckland,51-200,theparentingplace.com
new zealand,2015,codezoneltd,computer software,linkedin.com/company/codezoneltd,otorohanga,code zone ltd,waikato,1-10,code.zone
new zealand,2008,ausesa,computer software,linkedin.com/company/ausesa,auckland,software engineering students association (uoa),auckland,11-50,sesa.org.nz
new zealand,1931,the-association-of-new-zealand-advertisers-anza-,marketing and advertising,linkedin.com/company/the-association-of-new-zealand-advertisers-anza-,"",the association of new zealand advertisers (anza),"",1-10,anza.co.nz
new zealand,2013,riot-foods-limited,food production,linkedin.com/company/riot-foods-limited,east tamaki,riot foods,auckland,11-50,riotfoods.com
new zealand,2007,madigan-freight-services-ltd,logistics and supply chain,linkedin.com/company/madigan-freight-services-ltd,mount roskill,madigan freight services ltd,auckland,1-10,madigan.co.nz
new zealand,1990,redfern-freight-express-ltd,transportation/trucking/railroad,linkedin.com/company/redfern-freight-express-ltd,haruru,redfern freight express ltd,northland,11-50,redfern.co.nz
new zealand,2017,cultural-connections-nz-,market research,linkedin.com/company/cultural-connections-nz-,"",cultural connections (nz),auckland,1-10,culturalconnections.co.nz
new zealand,2010,precision-cleaning-services-ltd,facilities services,linkedin.com/company/precision-cleaning-services-ltd,auckland,precision cleaning services ltd,auckland,11-50,precisioncleans.co.nz
new zealand,"",ruahine-kindergartens,"",linkedin.com/company/ruahine-kindergartens,"",ruahine kindergartens,"",11-50,""
new zealand,"",allscots-associates-limited,e-learning,linkedin.com/company/allscots-associates-limited,"",allscots associates limited,"",1-10,alancurtis.co.nz
new zealand,2000,mhivc,music,linkedin.com/company/mhivc,grey lynn,michael hill international violin competition,auckland,1-10,violincompetition.co.nz
new zealand,"",pixelz-ltd,"",linkedin.com/company/pixelz-ltd,"",pixelz ltd,"",1-10,pixelzp.co.nz
new zealand,1997,quantum-accounting-business-solutions-ltd,accounting,linkedin.com/company/quantum-accounting-business-solutions-ltd,motueka,quantum accounting & business solutions ltd,tasman,11-50,quantumnz.co.nz
new zealand,2008,vocus-new-zealand,telecommunications,linkedin.com/company/vocus-new-zealand,"",vocus new zealand,auckland,501-1000,vocusgroup.co.nz
new zealand,"",ppl-plastic-solutions,plastics,linkedin.com/company/ppl-plastic-solutions,hamilton,ppl plastic solutions,waikato,11-50,pplplastics.co.nz
new zealand,"",north-harbour-law,"",linkedin.com/company/north-harbour-law,"",north harbour law,"",11-50,nhlaw.co.nz
new zealand,"",new-zealander-of-the-year-awards,civic & social organization,linkedin.com/company/new-zealander-of-the-year-awards,christchurch,new zealander of the year awards,canterbury,1-10,nzawards.org.nz
new zealand,2006,themodelworkshop,architecture & planning,linkedin.com/company/themodelworkshop,auckland,the model workshop,auckland,51-200,themodelworkshop.com
new zealand,"",florida-construction-ltd,construction,linkedin.com/company/florida-construction-ltd,"",florida construction ltd,"",11-50,floridaconstruction.com.au
new zealand,"",hitchcocks-real-estate-limited,real estate,linkedin.com/company/hitchcocks-real-estate-limited,parnell,hitchcocks real estate limited,auckland,1-10,hitchcocks.co.nz
new zealand,2014,varidesk-nz,"health, wellness and fitness",linkedin.com/company/varidesk-nz,"",varidesk nz,"",1-10,varidesk.co.nz
new zealand,"",kahurangi-estate-ltd-,wine and spirits,linkedin.com/company/kahurangi-estate-ltd-,upper moutere,kahurangi estate ltd.,tasman,11-50,kahurangiwine.com
new zealand,"",taupo-district-council,government administration,linkedin.com/company/taupo-district-council,taupo,taupo district council,waikato,201-500,taupo.govt.nz
new zealand,2013,model-iq,investment banking,linkedin.com/company/model-iq,"",model iq,auckland,1-10,modeliq.co.nz
new zealand,"",richie-properties-limited,real estate,linkedin.com/company/richie-properties-limited,auckland,richie properties limited,auckland,1-10,""
new zealand,1979,nzpics-inc.,education management,linkedin.com/company/nzpics-inc.,penrose,nzpics inc.,auckland,1-10,nzpics.org.nz
new zealand,"",alliance-franรงaise-auckland,higher education,linkedin.com/company/alliance-franรงaise-auckland,grey lynn,alliance française auckland,auckland,1-10,alliance-francaise.co.nz
new zealand,2001,awaroa-partners,public relations and communications,linkedin.com/company/awaroa-partners,"",awaroa partners,wellington,1-10,awaroa.com
new zealand,"",msl-fortress,building materials,linkedin.com/company/msl-fortress,"",msl fortress,"",11-50,fortress.kiwi
new zealand,2014,cycle-blend-limited,events services,linkedin.com/company/cycle-blend-limited,"",cycle blend limited,auckland,1-10,cycleblend.co.nz
new zealand,2015,progress-people,staffing and recruiting,linkedin.com/company/progress-people,christchurch,progress people,canterbury,1-10,progresspeople.co
new zealand,2008,divine-logistics-ltd,logistics and supply chain,linkedin.com/company/divine-logistics-ltd,east tamaki,divine logistics ltd,auckland,1-10,divinelogistics.co.nz
new zealand,2009,mroffice,market research,linkedin.com/company/mroffice,auckland,mroffice limited,auckland,1-10,overview.io
new zealand,2008,mackenzie-civil,civil engineering,linkedin.com/company/mackenzie-civil,auckland,mackenzie civil,auckland,11-50,mackenziecivil.co.nz
new zealand,"",kinetic-electrical,electrical/electronic manufacturing,linkedin.com/company/kinetic-electrical,silverdale,kinetic electrical,auckland,51-200,kinetic-electric.co.nz
new zealand,2008,goggles-on-,human resources,linkedin.com/company/goggles-on-,new plymouth,goggles on!,taranaki,1-10,goggleson.co.nz
new zealand,"",comconsult-research-ltd.,e-learning,linkedin.com/company/comconsult-research-ltd.,"",comconsult research ltd.,"",1-10,""
new zealand,2009,aspiring-adventures,"leisure, travel & tourism",linkedin.com/company/aspiring-adventures,mosgiel,aspiring adventures,otago,11-50,aspiringadventures.com
new zealand,1990,nanckivellcairn,civil engineering,linkedin.com/company/nanckivellcairn,"",nancekivell cairn ltd,auckland,11-50,ncl.co.nz
