country,founded,id,industry,linkedin_url,locality,name,region,size,website
nicaragua,"",databank-s-a,"",linkedin.com/company/databank-s-a,"",databank s.a,"",1-10,databank.com.ni
nicaragua,2013,amazing-group-marketing,marketing and advertising,linkedin.com/company/amazing-group-marketing,managua,amazing group,managua,11-50,amazing-group.com
nicaragua,"",tigobusiness-nicaragua,telecommunications,linkedin.com/company/tigobusiness-nicaragua,managua,tigobusiness nicaragua,managua,11-50,tigobusiness.com.ni
nicaragua,2007,accedo-technologies,outsourcing/offshoring,linkedin.com/company/accedo-technologies,ticuantepe,accedo technologies,managua,1001-5000,accedotechnologies.com
nicaragua,"",claroempresasca,telecommunications,linkedin.com/company/claroempresasca,managua,claro empresas centroamérica,managua,5001-10000,solucionesclaro.com
nicaragua,2018,nicamisol,utilities,linkedin.com/company/nicamisol,managua,nicamisol s.a.,managua,1-10,nicamisol.com
nicaragua,"",autostar-nicaragua,"",linkedin.com/company/autostar-nicaragua,"",autostar nicaragua,"",11-50,autostar.com.ni
nicaragua,1997,conico-s-a,computer hardware,linkedin.com/company/conico-s-a,managua,conico s.a.,managua,11-50,conico.com.ni
nicaragua,2017,rcp-reparación-de-celulares-y-portátiles,information technology and services,linkedin.com/company/rcp-reparación-de-celulares-y-portátiles,managua,rcp reparación de celulares y portátiles,managua,1-10,""
nicaragua,1987,aeromundo-nicaragua---agencia-de-viajes,"leisure, travel & tourism",linkedin.com/company/aeromundo-nicaragua---agencia-de-viajes,managua,aeromundo nicaragua - agencia de viajes,managua,11-50,aeromundo.com.ni
nicaragua,"",general-coil-s-a-,information technology and services,linkedin.com/company/general-coil-s-a-,"",general coil s.a.,"",1-10,generalcoil.com
nicaragua,"",tecnoagro-s-a-,real estate,linkedin.com/company/tecnoagro-s-a-,managua,tecnoagro s.a.,managua,1-10,tecnoagro.net
nicaragua,2008,giants-foot-surf-tours,"leisure, travel & tourism",linkedin.com/company/giants-foot-surf-tours,el gigante,giant's foot surf tours,rivas,1-10,giantsfootsurf.com
nicaragua,"",commema,"",linkedin.com/company/commema,"",commema,"",51-200,nuevacommema.gob.ni
nicaragua,2009,cian-electronic,electrical/electronic manufacturing,linkedin.com/company/cian-electronic,managua,cian electronic,managua,11-50,cianelectronic.com
nicaragua,"",mantica-waid-y-cia-ltada,"",linkedin.com/company/mantica-waid-y-cia-ltada,"",mantica waid y cia ltada,"",11-50,manticawaid.com
nicaragua,1998,orto-trauma-s-a,"health, wellness and fitness",linkedin.com/company/orto-trauma-s-a,managua,"orto trauma, s.a.",managua,11-50,ortotrauma.com
nicaragua,2017,telaucom-sa-claro-nicaragua,telecommunications,linkedin.com/company/telaucom-sa-claro-nicaragua,managua,telaucom sa / claro,managua,11-50,telaucom.com
