country,founded,id,industry,linkedin_url,locality,name,region,size,website
nigeria,"",medburyng,hospital & health care,linkedin.com/company/medburyng,lagos,medbury medical services,lagos,51-200,medburymedicals.com
nigeria,1990,h--pierson-associates-limited,management consulting,linkedin.com/company/h--pierson-associates-limited,ikoyi,h. pierson associates limited,lagos,51-200,hpierson.com
nigeria,1997,waterlane-resources-limited,logistics and supply chain,linkedin.com/company/waterlane-resources-limited,"",waterlane resources limited,lagos,11-50,waterlaneng.com
nigeria,1962,landafrique,real estate,linkedin.com/company/landafrique,ikeja,landafrique - real estate & infrastructure,lagos,11-50,landafrique.com
nigeria,2008,red-zone-enterprises-limited,retail,linkedin.com/company/red-zone-enterprises-limited,"",red zone enterprises limited,lagos,11-50,redzoneenterpriseslimited.com
nigeria,2018,afriipower-global-ventures-limited,utilities,linkedin.com/company/afriipower-global-ventures-limited,lagos,afriipower global ventures limited,lagos,1-10,afriipower.com
nigeria,1990,a.g.-nisama-limited,mining & metals,linkedin.com/company/a.g.-nisama-limited,"",a.g. nisama limited,"",11-50,agnisama.com
nigeria,2016,poize-capital-global,import and export,linkedin.com/company/poize-capital-global,"",poize capital global,"",1-10,poizecapital.com
nigeria,2005,marketing-&-social-survey-limited-mss-,market research,linkedin.com/company/marketing-&-social-survey-limited-mss-,"",marketing & social survey limited (mss),lagos,1-10,mssafrica.com
nigeria,2017,africaworldwidealliancepartnerships,international trade and development,linkedin.com/company/africaworldwidealliancepartnerships,"",africa worldwide alliance partnerships,"",1-10,afriwapa.com
nigeria,2005,studio987rec,entertainment,linkedin.com/company/studio987rec,"",studio 9:87 recordings ®,lagos,1-10,studio987recordings.com
nigeria,2014,graystatic-ltd,computer software,linkedin.com/company/graystatic-ltd,lagos,graystatic ltd,lagos,11-50,graystatic.co
nigeria,2017,ultimateclassng,e-learning,linkedin.com/company/ultimateclassng,ikeja,ultimateclass,lagos,1-10,""
nigeria,2018,response-architects,marketing and advertising,linkedin.com/company/response-architects,lagos,response architects,lagos,11-50,responsearchitects.com
nigeria,2004,pathcare-nigeria,hospital & health care,linkedin.com/company/pathcare-nigeria,lagos,pathcare nigeria,lagos,51-200,pathcarenigeria.com
nigeria,"",cdnet-ltd-gte,non-profit organization management,linkedin.com/company/cdnet-ltd-gte,ikoyi,cdnet ltd/gte,lagos,1-10,cdnetng.org
nigeria,2019,omnix-bms,computer software,linkedin.com/company/omnix-bms,lagos,omnixbms,lagos,11-50,omnixbms.com
nigeria,2009,edwardekiyor&co.,law practice,linkedin.com/company/edwardekiyor&co.,"",tonbofa law practice,lagos,11-50,tonbofa.com
nigeria,"",huwe,"",linkedin.com/company/huwe,abuja,huwe® (basic healthcare provision fund),fct,1-10,""
nigeria,"",techhead,information technology and services,linkedin.com/company/techhead,osogbo,tech-head,osun,1-10,techhead.com.ng
nigeria,"",segun-adekoya-and-partners-nigeria-limited,architecture & planning,linkedin.com/company/segun-adekoya-and-partners-nigeria-limited,abuja,segun adekoya and partners nigeria limited,fct,1-10,""
nigeria,2005,kai-consulting-limited,graphic design,linkedin.com/company/kai-consulting-limited,calabar,kai consulting limited,cross river,1-10,kai.com.ng
nigeria,2007,smsam-systems-ltd,computer & network security,linkedin.com/company/smsam-systems-ltd,ikeja,smsam systems ltd,lagos,11-50,smsamic.net
nigeria,"",enovatelab,information technology and services,linkedin.com/company/enovatelab,kano,enovate lab,kano,11-50,enovatelab.org
nigeria,2017,goose&golfinternational,hospitality,linkedin.com/company/goose&golfinternational,abuja,goose & golf international,fct,1-10,""
nigeria,2018,ajemart,retail,linkedin.com/company/ajemart,lagos,ajemart,lagos,11-50,ajemart.com
nigeria,2013,ideathinkers-nigeria,information technology and services,linkedin.com/company/ideathinkers-nigeria,"",ideathinkers nigeria,lagos,1-10,ideathinkers.com.ng
nigeria,2017,dolphaledigitals,e-learning,linkedin.com/company/dolphaledigitals,lagos,dolphale digital agency,lagos,1-10,dolphale.com
nigeria,2009,brand-matrix-consulting-ltd,management consulting,linkedin.com/company/brand-matrix-consulting-ltd,lagos,brand matrix consulting ltd,lagos,1-10,brandmatrixng.org
nigeria,2013,sahel-telecoms-limited,internet,linkedin.com/company/sahel-telecoms-limited,kaduna,sahel telecoms limited,kaduna,11-50,saheltelecoms.com
nigeria,"",oat-construction-nigeria-limited,construction,linkedin.com/company/oat-construction-nigeria-limited,"",oat construction nigeria limited,"",11-50,oatconstruction.com
nigeria,2010,globalprofilers,human resources,linkedin.com/company/globalprofilers,lagos,globalprofilers ( profilers group),lagos,11-50,globalprofilers.com
nigeria,2019,crossroads-africa,non-profit organization management,linkedin.com/company/crossroads-africa,lagos,crossroads africa,lagos,1-10,crossroadsafrica.org
nigeria,2014,onelife-initiative-for-human-development,non-profit organization management,linkedin.com/company/onelife-initiative-for-human-development,ibadan,onelife initiative for human development,oyo state,1-10,onelifeinitiative.org
nigeria,2014,petromax-integrated-services-ltd,oil & energy,linkedin.com/company/petromax-integrated-services-ltd,port harcourt,petromax integrated services ltd,rivers,11-50,petromaxservices.com
nigeria,1992,sapid-holdings-limited,maritime,linkedin.com/company/sapid-holdings-limited,lagos,sapid holdings limited,lagos,51-200,sapidholdings.com
nigeria,2012,blackrexng,legal services,linkedin.com/company/blackrexng,lekki,black rex,lagos,11-50,blackrex.com
nigeria,"",blueskies-productions,media production,linkedin.com/company/blueskies-productions,ikeja,blueskies productions,lagos,11-50,blueskiesproductions.net
nigeria,1963,projet-agricole-sonouga-et-fils,farming,linkedin.com/company/projet-agricole-sonouga-et-fils,"",société agricole sonouga & fils,niger,11-50,""
nigeria,"",bace-global-resources-ltd,oil & energy,linkedin.com/company/bace-global-resources-ltd,"",bace global resources ltd,"",1-10,bacegloballtd.com.ng
nigeria,2013,ethnicheritagecentre,education management,linkedin.com/company/ethnicheritagecentre,ikoyi,ethnicheritagecentre,lagos,1-10,ethnicheritagecentre.com.ng
nigeria,2012,feh-projects,business supplies and equipment,linkedin.com/company/feh-projects,ikeja,feh projects,lagos,1-10,fehprojects.com
nigeria,2016,blacksentry,computer & network security,linkedin.com/company/blacksentry,abuja,blacksentry,fct,11-50,blacksentry.ng
nigeria,2014,fastrade-logistics,logistics and supply chain,linkedin.com/company/fastrade-logistics,"",fastrade logistics,lagos,51-200,ftl.limited
nigeria,"",niaf,renewables & environment,linkedin.com/company/niaf,"",niaf,"",11-50,niafng.org
