country,founded,id,industry,linkedin_url,locality,name,region,size,website
norway,1917,uka,entertainment,linkedin.com/company/uka,trondheim,uka,sor-trondelag,1001-5000,uka.no
norway,"",krødsherad-kommune-sektor-for-helse-og-omsorg,government administration,linkedin.com/company/krødsherad-kommune-sektor-for-helse-og-omsorg,noresund,krødsherad kommune sektor for helse og omsorg,buskerud,11-50,""
norway,"",juridisk-studentutvalg-tromsø,education management,linkedin.com/company/juridisk-studentutvalg-tromsø,tromsø,juridisk studentutvalg tromsø,troms,1-10,jsutromso.org
norway,2012,spinchip-diagnostics-as,medical devices,linkedin.com/company/spinchip-diagnostics-as,"",spinchip diagnostics as,oslo,11-50,spinchip.no
norway,"",danish-khan,"",linkedin.com/company/danish-khan,oslo,danish khan,oslo,11-50,""
norway,"",matpartner-as,motion pictures and film,linkedin.com/company/matpartner-as,melhus,matpartner as,sor-trondelag,11-50,matpartner1.no
norway,"",fredrikstad-næringsforening,"",linkedin.com/company/fredrikstad-næringsforening,fredrikstad,fredrikstad næringsforening,ostfold,11-50,fredrikstad-nf.no
norway,1957,arbor-as,building materials,linkedin.com/company/arbor-as,"",arbor as,nordland,51-200,arbor.no
norway,"",brønnøy-havn-kf,transportation/trucking/railroad,linkedin.com/company/brønnøy-havn-kf,bronnoysund,brønnøy havn kf,nordland,11-50,""
norway,1950,det-norske-solistkor,music,linkedin.com/company/det-norske-solistkor,oslo,det norske solistkor (the norwegian soloists´ choir),oslo,11-50,solistkoret.no
norway,"",itmo,human resources,linkedin.com/company/itmo,vigrestad,itmo,rogaland,11-50,itmo.biz
norway,1914,time-recorder-co-as,computer software,linkedin.com/company/time-recorder-co-as,fornebu,time recorder co as,akershus,11-50,astrow.no
norway,2011,edatek-as,electrical/electronic manufacturing,linkedin.com/company/edatek-as,trondheim,edatek as,sor-trondelag,1-10,""
norway,"",ålesund-symfoniorkester,performing arts,linkedin.com/company/ålesund-symfoniorkester,"",ålesund symfoniorkester,more og romsdal,1-10,""
norway,2007,skalar-as,internet,linkedin.com/company/skalar-as,oslo,skalar as,oslo,11-50,skalar.no
norway,2014,leypoldt-tv-&-film-music-thomas-marthinsen,motion pictures and film,linkedin.com/company/leypoldt-tv-&-film-music-thomas-marthinsen,oslo,leypoldt tv & film music thomas marthinsen,oslo,1-10,thomasleypoldt.com
norway,"",gaular-kommune-skule-og-kultur,government administration,linkedin.com/company/gaular-kommune-skule-og-kultur,"",gaular kommune skule og kultur,sogn og fjordane,51-200,""
norway,1989,movariks,government administration,linkedin.com/company/movariks,moss,movar iks,ostfold,51-200,movar.no
norway,1984,sapeg-as,maritime,linkedin.com/company/sapeg-as,tiller,sapeg as,sor-trondelag fylke,11-50,sapeg.no
norway,2010,saillogic-as,events services,linkedin.com/company/saillogic-as,"",saillogic,akershus,1-10,saillogic.no
norway,1997,målrettet-kompetanse-as,education management,linkedin.com/company/målrettet-kompetanse-as,oslo,målrettet kompetanse as,oslo,1-10,mkompetanse.no
norway,2015,adlevo-as,information services,linkedin.com/company/adlevo-as,tromso,adlevo as,troms,1-10,adlevo.no
norway,2008,bqk-productions,animation,linkedin.com/company/bqk-productions,oslo,bqk productions,oslo,1-10,bqkprod.com
norway,1995,dedicareas,staffing and recruiting,linkedin.com/company/dedicareas,"",dedicare as,oslo,201-500,dedicare.no
norway,"",viking-pharma,pharmaceuticals,linkedin.com/company/viking-pharma,"",viking pharma,"",1-10,vikingpharma.no
norway,"",kicks-norge-as,machinery,linkedin.com/company/kicks-norge-as,oslo,kicks norge as,oslo,1-10,kicks.no
norway,2019,ela-analytics,computer software,linkedin.com/company/ela-analytics,"",ela analytics as,oslo,1-10,ela-analytics.com
norway,2012,kigo-kultur-i-gamle-oslo,music,linkedin.com/company/kigo-kultur-i-gamle-oslo,oslo,kigo kultur i gamle oslo,oslo,1-10,kigo.no
norway,"",majortrans,"",linkedin.com/company/majortrans,"",majortrans,oslo,11-50,""
norway,1926,storm-elektro-as-oslo-og-akershus,civil engineering,linkedin.com/company/storm-elektro-as-oslo-og-akershus,oslo,"storm elektro as, oslo og akershus",oslo,11-50,stormelektro.no
norway,1975,elpro-group,electrical/electronic manufacturing,linkedin.com/company/elpro-group,"",elpro group as,sor-trondelag,51-200,elpro.no
norway,1989,leonberg-reklamebyr-,public relations and communications,linkedin.com/company/leonberg-reklamebyr-,sarpsborg,leonberg reklamebyrå,ostfold,1-10,leonberg.no
norway,"",health-and-human-rights-info-hhri-,"",linkedin.com/company/health-and-human-rights-info-hhri-,oslo,health and human rights info (hhri),oslo,1-10,""
norway,"",trygg-bedriftsr-dgivning-as,accounting,linkedin.com/company/trygg-bedriftsr-dgivning-as,"",trygg bedriftsrådgivning as,"",1-10,nettkatalogen.no
norway,2010,adept-mobile-as,computer software,linkedin.com/company/adept-mobile-as,"",adept mobile as,oslo,1-10,adept.as
norway,2018,fmly,individual & family services,linkedin.com/company/fmly,vollen,fmly.,akershus,11-50,""
norway,"",spar-kastellet,"",linkedin.com/company/spar-kastellet,"",spar kastellet,oslo,11-50,""
norway,2006,bs-undervisning-as,retail,linkedin.com/company/bs-undervisning-as,"",bs undervisning as,oslo,11-50,bsu.no
norway,2009,markedsheltene-no,publishing,linkedin.com/company/markedsheltene-no,skjeberg,markedsheltene.no,østfold,1-10,markedsheltene.no
