country,founded,id,industry,linkedin_url,locality,name,region,size,website
oman,"",al-farabi-pharmacy,hospital & health care,linkedin.com/company/al-farabi-pharmacy,"",al farabi pharmacy,"",51-200,alfarabipharmacy.com
oman,2012,lmpoman,real estate,linkedin.com/company/lmpoman,al `udhaybah ash shamaliyah,landmark properties llc,muscat,1-10,lmpoman.co
oman,"",oman-catering-company-llc,hospitality,linkedin.com/company/oman-catering-company-llc,"",oman catering company llc,"",11-50,""
oman,2011,global-scientific-&-equipments-gse-,international trade and development,linkedin.com/company/global-scientific-&-equipments-gse-,muscat,global scientific & equipments (gse),muscat,1-10,gse-co.com
oman,"",al-roofoof-trading,information technology and services,linkedin.com/company/al-roofoof-trading,"",al roofoof trading,"",11-50,""
oman,2016,well-engineering-&-energy-solutions-we-energy-,oil & energy,linkedin.com/company/well-engineering-&-energy-solutions-we-energy-,"",energy teks,"",1-10,we-energy.org
oman,2003,trans-gulf-information-technology,information technology and services,linkedin.com/company/trans-gulf-information-technology,seeb,trans gulf information technology,muscat,11-50,it4oman.com
oman,1993,abu-yasseen-designs,furniture,linkedin.com/company/abu-yasseen-designs,"",abu yasseen designs t&m,muscat,51-200,abuyasseen.com
oman,"",muscat-gases-co-saog,oil & energy,linkedin.com/company/muscat-gases-co-saog,"",muscat gases co saog,"",11-50,""
oman,"",oman-filters-industry-co.-saog,automotive,linkedin.com/company/oman-filters-industry-co.-saog,"",oman filters industry co. saog,"",51-200,omanfilter.com
oman,2010,tenable-fire-engineering-consultancy,design,linkedin.com/company/tenable-fire-engineering-consultancy,"",tenable fire engineering consultancy,"",11-50,tenablefec.com
oman,1997,jawahir-oman-llc,luxury goods & jewelry,linkedin.com/company/jawahir-oman-llc,"",jawahir oman llc,"",11-50,jawahiroman.com
oman,2017,lets-evolve-studio,"health, wellness and fitness",linkedin.com/company/lets-evolve-studio,muscat,let's evolve studio,muscat,1-10,lets-evolve.com
oman,"",al-wadi-al-kabir-carpentry,civil engineering,linkedin.com/company/al-wadi-al-kabir-carpentry,"",al wadi al kabir carpentry,"",1-10,""
oman,2000,orbital-projects-&-services,construction,linkedin.com/company/orbital-projects-&-services,"",orbital projects & services,"",201-500,orbitalgrp.com
oman,"",house-of-tyres,retail,linkedin.com/company/house-of-tyres,"",house of tyres,"",1-10,ashaoman.net
oman,"",middle-east-oilfield-services-llc,oil & energy,linkedin.com/company/middle-east-oilfield-services-llc,"",middle east oilfield services llc,"",11-50,midoiloman.com
oman,1992,saifalharasigroup,construction,linkedin.com/company/saifalharasigroup,ruwi,saif al harasi group of companies,muscat,1001-5000,saifalharasi.com
oman,"",oman-drilling-mud-products-company-llc,chemicals,linkedin.com/company/oman-drilling-mud-products-company-llc,"",oman drilling mud products company llc,"",1-10,""
oman,"",jebel-shams-resort,"",linkedin.com/company/jebel-shams-resort,"",jebel shams resort,"",1-10,jebelshamsresort.com
oman,2015,muscat-vision-international-llc,events services,linkedin.com/company/muscat-vision-international-llc,"",muscat vision international l.l.c.,"",1-10,mvioman.com
oman,2011,perfect-business-llc,medical devices,linkedin.com/company/perfect-business-llc,seeb,perfect business llc,muscat,11-50,perfectgroup.me
oman,"",kalhat-services-&-trading-llc,"",linkedin.com/company/kalhat-services-&-trading-llc,"",kalhat services & trading llc,"",11-50,khanco-llc.com
oman,2017,oman-aviation-services,aviation & aerospace,linkedin.com/company/oman-aviation-services,"",oman aviation services,muscat,11-50,oahc.om
oman,"",nine-homes-real-estate-agecny,real estate,linkedin.com/company/nine-homes-real-estate-agecny,muscat,nine homes real estate agency,muscat,11-50,nine9homes.com
oman,"",alanaka-tours,"leisure, travel & tourism",linkedin.com/company/alanaka-tours,"",alanaka tours,"",1-10,alanakatours.com
oman,"",salalah-medical-supplies-mfg-co-llc,"",linkedin.com/company/salalah-medical-supplies-mfg-co-llc,"",salalah medical supplies mfg co llc,"",11-50,medik-oman.com
oman,"",the-european-holiday,hospitality,linkedin.com/company/the-european-holiday,"",the european holiday,"",1-10,theeuropeanholiday.com
oman,2012,acsc-oman,information technology and services,linkedin.com/company/acsc-oman,muscat,acsc (oman hub),muscat,11-50,acsc.com.om
oman,2015,telypay,banking,linkedin.com/company/telypay,seeb,telypay,muscat,1-10,telypay.com
oman,"",indian-school-al-ghubra,"",linkedin.com/company/indian-school-al-ghubra,"",indian school al ghubra,"",201-500,indianschool.com
oman,2011,united-muscat-it-solutions,computer software,linkedin.com/company/united-muscat-it-solutions,muscat,united muscat it solutions,muscat,1-10,muscatit.com
oman,"",palmore,construction,linkedin.com/company/palmore,muscat,palmore,muscat,11-50,palmoreco.com
oman,1997,ahlibank,banking,linkedin.com/company/ahlibank,"",ahlibank,"",501-1000,ahlibank.om
oman,"",oman-refineries-and-petrochemicals-company-llc,oil & energy,linkedin.com/company/oman-refineries-and-petrochemicals-company-llc,"",oman refineries and petrochemicals company llc,"",11-50,orpc.co.om
oman,1987,golden-ways-international-llc,wholesale,linkedin.com/company/golden-ways-international-llc,seeb,golden ways international llc,muscat,51-200,sknfoods.com
oman,2012,tewares,computer software,linkedin.com/company/tewares,muscat,tewares,muscat,1001-5000,tewares.com
