country,founded,id,industry,linkedin_url,locality,name,region,size,website
pakistan,2014,solarlits,renewables & environment,linkedin.com/company/solarlits,"",solarlits,punjab,1-10,solarlits.com
pakistan,"",lums-environmental-action-forum,environmental services,linkedin.com/company/lums-environmental-action-forum,lahore,lums environmental action forum,punjab,51-200,""
pakistan,1999,amtech-systems,information technology and services,linkedin.com/company/amtech-systems,karachi,amtech systems,sindh,51-200,amtechsys.com
pakistan,2016,photographire,photography,linkedin.com/company/photographire,"",photographire,punjab,1-10,photographire.pk
pakistan,2016,talenthr,staffing and recruiting,linkedin.com/company/talenthr,karachi,talent hr solutions (talenthr),sindh,1-10,""
pakistan,2011,web-studio-55,internet,linkedin.com/company/web-studio-55,sahiwal,web studio 55,punjab,1-10,webstudio55.com
pakistan,2019,careers-pakistan,information services,linkedin.com/company/careers-pakistan,bahawalpur,careerspakistan,punjab,1-10,careerspakistan.com
pakistan,2016,oconsultingpvt,information technology and services,linkedin.com/company/oconsultingpvt,lahore,o consulting (pvt.) ltd,punjab,11-50,oconsultingworld.com
pakistan,2001,xpo-advertising-marketing-&event-solutions,marketing and advertising,linkedin.com/company/xpo-advertising-marketing-&event-solutions,karachi,xpo advertising marketing &event solutions,sindh,1-10,xpoadv.com
pakistan,2011,enrichers-private-limited,financial services,linkedin.com/company/enrichers-private-limited,lahore,enrichers private limited,punjab,51-200,enrichers.com.pk
pakistan,"",hafizassociates,real estate,linkedin.com/company/hafizassociates,lahore,hafiz associates,punjab,1-10,""
pakistan,2016,galito's-pakistan,restaurants,linkedin.com/company/galito's-pakistan,lahore,galito's pakistan,punjab,51-200,galitos.com.pk
pakistan,2014,kale-pakistan,building materials,linkedin.com/company/kale-pakistan,lahore,kale pakistan,punjab,201-500,""
pakistan,2010,global.pk-karachi.-pakistan-,marketing and advertising,linkedin.com/company/global.pk-karachi.-pakistan-,karachi,global.pk (karachi. pakistan),sindh,1-10,global.pk
pakistan,2007,worldfisheries,import and export,linkedin.com/company/worldfisheries,karachi,world fisheries,sindh,1-10,worldfisheries.net
pakistan,1992,ammar-bilal-&-company,import and export,linkedin.com/company/ammar-bilal-&-company,lahore,ammar bilal & company,punjab,11-50,abcompany.com.pk
pakistan,2002,technobird,information technology and services,linkedin.com/company/technobird,rawalpindi,technobird,punjab,1-10,technobird.com
pakistan,2004,gegasoft-corporation,internet,linkedin.com/company/gegasoft-corporation,gujranwala,gegasoft corporation,punjab,1-10,gegasoft.com
pakistan,"",wallaby-insutries,textiles,linkedin.com/company/wallaby-insutries,"",wallaby insutries,"",11-50,wallaby-industries.com
pakistan,2009,xtechnos,information technology and services,linkedin.com/company/xtechnos,gujrat,xtechnos,punjab,1-10,xtechnos.com
pakistan,2007,ahan---aik-hunar-aik-nagar-one-village-one-product-,non-profit organization management,linkedin.com/company/ahan---aik-hunar-aik-nagar-one-village-one-product-,lahore,ahan - aik hunar aik nagar (one village one product),punjab,51-200,ahan.org.pk
pakistan,2018,salville-technologies,computer software,linkedin.com/company/salville-technologies,rawalpindi,salville technologies,punjab,1-10,salville.com
pakistan,2014,oaks-pakistan,retail,linkedin.com/company/oaks-pakistan,karachi,the oaks pakistan (pvt) ltd.,sindh,51-200,""
pakistan,2017,perks-logic,internet,linkedin.com/company/perks-logic,karachi,perks logic,sindh,11-50,perkslogic.com
pakistan,2017,prizmpr,public relations and communications,linkedin.com/company/prizmpr,lahore,prizm public relations,punjab,1-10,prizmpr.net
pakistan,2018,ssolutiontech,computer software,linkedin.com/company/ssolutiontech,islamabad,smart solution technologies,islamabad,11-50,ssolutiontech.com
pakistan,2008,it-zone-computers-jatoi,public relations and communications,linkedin.com/company/it-zone-computers-jatoi,jatoi,it zone computers jatoi,punjab,1-10,itzonejatoi.blogspot.com
pakistan,"",pak-rice-village,food production,linkedin.com/company/pak-rice-village,"",pak rice village,"",1-10,pakricevillage.com
pakistan,2020,nimble-sols,information technology and services,linkedin.com/company/nimble-sols,karachi,lyne,sindh,11-50,nimblesols.com
pakistan,"",proceedglobal,marketing and advertising,linkedin.com/company/proceedglobal,karachi,proceed,sindh,11-50,letusproceed.com
pakistan,"",sadaqatlimited,textiles,linkedin.com/company/sadaqatlimited,"",sadaqat limited,punjab,11-50,""
pakistan,2004,eproperty,real estate,linkedin.com/company/eproperty,lahore,eproperty,punjab,1-10,eproperty.pk
pakistan,2001,ffnsatd,education management,linkedin.com/company/ffnsatd,abbottabad,the ffns school and college,khyber pakhtunkhwa,51-200,""
pakistan,2011,ecom-pvt-ltd,information technology and services,linkedin.com/company/ecom-pvt-ltd,karachi,ecom - leading ecommerce turnkey solutions provider,sindh,11-50,ecompk.com
pakistan,1997,constructconsultingarchitects,civil engineering,linkedin.com/company/constructconsultingarchitects,lahore,construct®,punjab,201-500,construct.com.pk
pakistan,2019,thecurrentpk,media production,linkedin.com/company/thecurrentpk,lahore,the current,punjab,11-50,thecurrent.pk
pakistan,2016,skuire-technologies,information technology and services,linkedin.com/company/skuire-technologies,"",skuire technologies,punjab,1-10,skuire.com
pakistan,2009,techibits,information technology and services,linkedin.com/company/techibits,karachi,techibits,sindh,1-10,techibits.com
pakistan,2017,adhivepk,marketing and advertising,linkedin.com/company/adhivepk,karachi,adhive,sindh,1-10,adhive.pk
pakistan,2009,uwalabs,electrical/electronic manufacturing,linkedin.com/company/uwalabs,lahore,uwalabs,punjab,11-50,uwalabs.com
pakistan,2015,zener-engineering-solutions-pvt-ltd,electrical/electronic manufacturing,linkedin.com/company/zener-engineering-solutions-pvt-ltd,"",zener engineering solutions pvt ltd,punjab,51-200,zenerengineering.com
pakistan,"",crown-foam,"",linkedin.com/company/crown-foam,"",crown foam,"",11-50,crownfoam.pk
pakistan,2002,sme-leasing-limited,financial services,linkedin.com/company/sme-leasing-limited,karachi,sme leasing limited,sindh,51-200,smelease.com
pakistan,2017,business-tech-solutions,management consulting,linkedin.com/company/business-tech-solutions,lahore,business tech solutions,punjab,11-50,""
pakistan,2011,dynasols,internet,linkedin.com/company/dynasols,"",dynasols (pvt.) ltd.,"",1-10,dynasols.com
pakistan,1981,bci-services,computer & network security,linkedin.com/company/bci-services,karachi,bci services,sindh,201-500,bcirolloffservices.com
pakistan,1861,stpatschool,higher education,linkedin.com/company/stpatschool,karachi,st. patrick's high school,sindh,501-1000,""
pakistan,2008,taana-baana-panoramic-embroideries,apparel & fashion,linkedin.com/company/taana-baana-panoramic-embroideries,lahore,taana baana,punjab,51-200,taanabaana.pk
pakistan,2008,universal-training-&-development-utd-,education management,linkedin.com/company/universal-training-&-development-utd-,karachi,universal training & development (utd),sindh,51-200,""
pakistan,"",union-power,"",linkedin.com/company/union-power,"",union power,"",11-50,unionpowerengineering.com
pakistan,"",happywebsolutions,graphic design,linkedin.com/company/happywebsolutions,multan,happywebsolutions,punjab,11-50,happywebsolutions.com
pakistan,2011,lightserve-pvt-ltd,electrical/electronic manufacturing,linkedin.com/company/lightserve-pvt-ltd,lahore,lightserve (pvt) ltd,punjab,11-50,lightserve.org
pakistan,2008,extile,textiles,linkedin.com/company/extile,lahore,extile,punjab,1-10,extileonline.com
pakistan,1992,maheeinternational,textiles,linkedin.com/company/maheeinternational,karachi,mahee international,sindh,51-200,maheeinternational.com
pakistan,2009,hsm-construction,construction,linkedin.com/company/hsm-construction,lahore,hsm construction,punjab,51-200,hsmconstruction.com.pk
pakistan,2009,magvisor-pvt-ltd,security and investigations,linkedin.com/company/magvisor-pvt-ltd,islamabad,magvisor pvt ltd,islamabad,1001-5000,magvisor.com
pakistan,2013,time-global,computer software,linkedin.com/company/time-global,karachi,time global,sindh,11-50,timeglobaltech.com
pakistan,"",wellness-lounge-islamabad,cosmetics,linkedin.com/company/wellness-lounge-islamabad,islamabad,wellness lounge islamabad,islamabad,11-50,wellnesslounge.pk
pakistan,1988,yumnah,human resources,linkedin.com/company/yumnah,multan,yumnah oep,punjab,11-50,yumnahpk.com
pakistan,2015,haymark,marketing and advertising,linkedin.com/company/haymark,karachi,haymark,sindh,1-10,hay-mark.com
pakistan,"",elevatewears,import and export,linkedin.com/company/elevatewears,sialkot,elevatewears,punjab,51-200,elevatewears.com
pakistan,2010,karobar-oxygen,marketing and advertising,linkedin.com/company/karobar-oxygen,karachi,karobar oxygen,sindh,11-50,karobaroxygen.com
pakistan,2015,sudofy,information technology and services,linkedin.com/company/sudofy,karachi,sudofy,sindh,11-50,sudofy.com
pakistan,2003,invisor-securities-private-limited,financial services,linkedin.com/company/invisor-securities-private-limited,karachi,invisor securities (private) limited,sindh,11-50,invisorsec.com
pakistan,"",university-of-azad-jammu-and-kashmir,higher education,linkedin.com/company/university-of-azad-jammu-and-kashmir,"",university of azad jammu and kashmir,"",51-200,ajku.edu.pk
pakistan,1976,luna-corporation,human resources,linkedin.com/company/luna-corporation,lahore,luna corporation,punjab,11-50,luna.com.pk
pakistan,2007,pinnacle-recycling-pvt-ltd,renewables & environment,linkedin.com/company/pinnacle-recycling-pvt-ltd,balochistan,pinnacle recycling pvt ltd,balochistān,1-10,pinnacle-recycling.com
pakistan,1984,gulbottlers,food & beverages,linkedin.com/company/gulbottlers,sukkur,gul bottlers (pvt) ltd.,sindh,1-10,gulbottlers.com
pakistan,1996,digital-systems-&-communication,industrial automation,linkedin.com/company/digital-systems-&-communication,karachi,digital systems & communication,sindh,11-50,dsc.com.pk
pakistan,2020,social-strategy-real-estate-social-media-marketing,marketing and advertising,linkedin.com/company/social-strategy-real-estate-social-media-marketing,"",savvy & social,punjab,11-50,""
pakistan,"",amj-growth,investment management,linkedin.com/company/amj-growth,"",amj growth,"",1-10,amjonline.net
pakistan,2017,sahulat4u,design,linkedin.com/company/sahulat4u,karachi,sahulat4u,sindh,1-10,sahulat4u.pk
pakistan,2017,gwadargymkhana,recreational facilities and services,linkedin.com/company/gwadargymkhana,gwadar,gwadar gymkhana,balochistan,201-500,gwadargymkhana.com.pk
pakistan,2006,cititransfers-car-rental-services,transportation/trucking/railroad,linkedin.com/company/cititransfers-car-rental-services,islamabad,cititransfers car rental services,islamabad,11-50,cititransfers.net
pakistan,2015,comtel-plc,computer software,linkedin.com/company/comtel-plc,karachi,comtel plc,sindh,11-50,comtelplc.com
pakistan,1997,tuvatbic-hrdc,oil & energy,linkedin.com/company/tuvatbic-hrdc,lahore,trainings @ tuv austria bureau of inspection & certification (pvt.) ltd.,punjab,201-500,""
pakistan,"",fbenergy,renewables & environment,linkedin.com/company/fbenergy,lahore,fb energy,punjab,201-500,fbenergy.co
pakistan,2015,al-tafseer-solutions,information technology and services,linkedin.com/company/al-tafseer-solutions,karachi,al tafseer solutions,sindh,11-50,altafseersolutions.com
pakistan,1978,iqbal-manpower-consultants,human resources,linkedin.com/company/iqbal-manpower-consultants,"",iqbal manpower consultants,"",11-50,iqbalgroup.biz
pakistan,1998,hamidsaeedimageconsultant,apparel & fashion,linkedin.com/company/hamidsaeedimageconsultant,lahore,hamid saeed image consultant,punjab,11-50,hamidsaeed.com
pakistan,2003,school-of-leadership-foundation,non-profit organization management,linkedin.com/company/school-of-leadership-foundation,karachi,school of leadership foundation,sindh,11-50,solf.org.pk
pakistan,"",maymar-builders,"",linkedin.com/company/maymar-builders,"",maymar builders,"",1-10,maymarbuilders.com.pk
pakistan,1999,zinco-systems,information technology and services,linkedin.com/company/zinco-systems,karachi,zinco systems,sindh,1-10,zinco.biz
pakistan,"",teck-international-traders,semiconductors,linkedin.com/company/teck-international-traders,sheikhupura,teck international traders,punjab,1-10,""
pakistan,"",dawn-impex,pharmaceuticals,linkedin.com/company/dawn-impex,"",dawn impex,"",11-50,dawnimpex.com
pakistan,"",pamco---punjab-agrmarketing-company,marketing and advertising,linkedin.com/company/pamco---punjab-agrmarketing-company,"",pamco - punjab agrmarketing company,"",11-50,pamco.bz
pakistan,"",ravi-tech-manufacturing-pvt-ltd,mechanical or industrial engineering,linkedin.com/company/ravi-tech-manufacturing-pvt-ltd,lahore,ravi-tech manufacturing (pvt.) ltd,punjab,201-500,ravi-tech.com
pakistan,"",karwan-e-dilawar,airlines/aviation,linkedin.com/company/karwan-e-dilawar,"",ahsan javed,"",1-10,""
