country,founded,id,industry,linkedin_url,locality,name,region,size,website
palestine,2009,neiraba-animation-studios,e-learning,linkedin.com/company/neiraba-animation-studios,"",neiraba animation studios,"",1-10,neiraba.com
palestine,2007,kamal-&-associates---attorneys-and-counsellors-at-law,legal services,linkedin.com/company/kamal-&-associates---attorneys-and-counsellors-at-law,ramallah,kamal & associates - attorneys and counsellors-at-law,west bank,11-50,kamallaw.com
palestine,"",esdc,non-profit organization management,linkedin.com/company/esdc,"",esdc,"",51-200,esdc-pal.org
palestine,2014,redcrow,security and investigations,linkedin.com/company/redcrow,ramallah,redcrow intelligence,west bank,11-50,redcrow.co
palestine,1912,palestinian-scout-association,non-profit organization management,linkedin.com/company/palestinian-scout-association,"",palestinian scout association,"",10001+,scout.ps
palestine,2010,mada-al-arab,internet,linkedin.com/company/mada-al-arab,ramallah,mada al arab,west bank,51-200,mada.ps
palestine,"",france-import-palestine,retail,linkedin.com/company/france-import-palestine,"",france import palestine,"",1-10,fipsouk.fr
palestine,2015,palbusiness,research,linkedin.com/company/palbusiness,ramallah,palbusiness,west bank,1-10,palbusiness.ps
palestine,1850,abusairpastries,food & beverages,linkedin.com/company/abusairpastries,nablus,abusair pastries حلويات ابوسير,west bank,11-50,abusairpastries.com
palestine,1993,royalgroup,plastics,linkedin.com/company/royalgroup,hebron,royal industrial trading co.,west bank,501-1000,royal.ps
