country,founded,id,industry,linkedin_url,locality,name,region,size,website
panama,2015,st-australia-real-estate-inc,real estate,linkedin.com/company/st-australia-real-estate-inc,panama city,st australia real estate inc.,provincia de panama,1-10,""
panama,2013,comprandoaqui.com,internet,linkedin.com/company/comprandoaqui.com,panama,comprandoaqui.com,panama,1-10,comprandoaqui.com
panama,1997,alcoholes-del-istmo-internacional-sa,wine and spirits,linkedin.com/company/alcoholes-del-istmo-internacional-sa,"",alcoholes del istmo internacional sa,panamá,51-200,grupoalcoholes.com
panama,"",propanamagob,government administration,linkedin.com/company/propanamagob,"",propanamagob,panamá,11-50,""
panama,1989,panama-soluciones-logisticas-int,transportation/trucking/railroad,linkedin.com/company/panama-soluciones-logisticas-int,panama,panama soluciones logisticas int - freight forwarders / agentes de carga,panama,11-50,""
panama,1984,comtelpa,telecommunications,linkedin.com/company/comtelpa,panamá,grupo comtel,panama,51-200,comtel.com.pa
panama,2004,dm-arquitectos-asociados,architecture & planning,linkedin.com/company/dm-arquitectos-asociados,panamá,dm arquitectos asociados,panama,1-10,""
panama,2016,vdc-office,architecture & planning,linkedin.com/company/vdc-office,panamá,vdc office,panama,1-10,vdcoffice.com
panama,1998,rofcorp,information technology and services,linkedin.com/company/rofcorp,panamá,rofcorp,panama,51-200,rofcorp.com
panama,"",sweetwater-securities-inc,financial services,linkedin.com/company/sweetwater-securities-inc,panamá,sweetwater securities inc.,panama,11-50,sweetwatersecurities.com
panama,2013,air-link-atlantic,aviation & aerospace,linkedin.com/company/air-link-atlantic,"",air link atlantic,panamá,1-10,airlinkatlantic.com
panama,2020,juvo-law,law practice,linkedin.com/company/juvo-law,panamá,juvo law,panama,1-10,juvolaw.com
panama,2007,organitec-panama,furniture,linkedin.com/company/organitec-panama,panama,organitec panama,panama,1-10,organitec.com.mx
panama,2006,mantis-technology-solutions,computer software,linkedin.com/company/mantis-technology-solutions,panama,mantis technology solutions,panama,1-10,mantistechs.com
panama,"",pv-international,import and export,linkedin.com/company/pv-international,"",pv international trade inc.,colon,1-10,pvintlgroup.com
panama,2019,ic-metrología,education management,linkedin.com/company/ic-metrología,"","ic metrología, s.a.",cocle,1-10,icmetrologia.com
panama,2018,oceanbuilders,real estate,linkedin.com/company/oceanbuilders,"",oceanbuilders,panamá,11-50,oceanbuilders.com
panama,2011,keyspot-networks-inc-,marketing and advertising,linkedin.com/company/keyspot-networks-inc-,panama,keyspot,panama,1-10,keyspot.com.pa
panama,1981,ftmpackaging,machinery,linkedin.com/company/ftmpackaging,panamá,ftm packaging solutions corp,panama,1-10,ftmpackaging.com
panama,"",maxitrade-corp-,marketing and advertising,linkedin.com/company/maxitrade-corp-,"",maxitrade corp.,"",11-50,maxitradecorp.com
panama,2005,durex-property-group,real estate,linkedin.com/company/durex-property-group,panamá,durex property group,panama,51-200,durexprpoperty.com
panama,"",hotel-nacional-de-david,"",linkedin.com/company/hotel-nacional-de-david,"",hotel nacional de david,"",1-10,hotelnacionalpanama.com
panama,2008,cybs-consulting,management consulting,linkedin.com/company/cybs-consulting,panama,cybs consulting,panama,11-50,cybsconsulting.com
panama,"",appcodersdev,program development,linkedin.com/company/appcodersdev,panamá,appcoders,panama,51-200,appcoders.dev
panama,"",tamir-s-a,hospital & health care,linkedin.com/company/tamir-s-a,panamá,"tamir, s.a.",panama,1-10,""
panama,2015,edutekpa,education management,linkedin.com/company/edutekpa,panamá,edutek,panama,1-10,edutek.com.pa
panama,2011,construction-equipment-depot,construction,linkedin.com/company/construction-equipment-depot,panama city,construction equipment depot,provincia de panama,51-200,constructionequipmentdepot.com
panama,"",esripanama,computer software,linkedin.com/company/esripanama,panamá,esri panamá,panama,11-50,esri.pa
panama,2019,ininfrasa,civil engineering,linkedin.com/company/ininfrasa,panamá,ininfra,panama,11-50,""
panama,2012,5senti2-s-a,marketing and advertising,linkedin.com/company/5senti2-s-a,panamá,5senti2 s.a,panama,1-10,5-senti2.com
panama,2011,strategy-panama,investment management,linkedin.com/company/strategy-panama,panamá,strategy panama corp.,panama,1-10,strategypanama.com
panama,2018,bronteconnection,management consulting,linkedin.com/company/bronteconnection,panamá,brontë connection,panama,1-10,bronteconnection.com
panama,2004,sistemas-ford-s-a-,logistics and supply chain,linkedin.com/company/sistemas-ford-s-a-,panamá,"sistemas ford, s.a.",panama,1-10,sistemasford.com
panama,1958,felipe-motta-e-hijo,wine and spirits,linkedin.com/company/felipe-motta-e-hijo,panamá,felipe motta s.a.,panama,201-500,felipemotta.com
panama,2016,aqb-lawyer,law practice,linkedin.com/company/aqb-lawyer,panamá,aqb lawyer,panama,1-10,aqb-lawyer.com
panama,2015,talent-consulting-panama,human resources,linkedin.com/company/talent-consulting-panama,el carmen,talent consulting panama,panama,1-10,talentconsultingpanama.com
panama,2004,hidroboqueron,utilities,linkedin.com/company/hidroboqueron,"","hidroboqueron, s.a.","",1-10,hidroboqueron.com
panama,2009,solutecsa,information technology and services,linkedin.com/company/solutecsa,panamá,soluciones de tecnologia (solutecsa),panama,11-50,solucionesdetecnologia.com
panama,2004,argosdefense,defense & space,linkedin.com/company/argosdefense,"",argos defense,panamá,11-50,argosdefense.com
panama,"",pmc-international-management-corp,financial services,linkedin.com/company/pmc-international-management-corp,"",pmc international management corp,"",1-10,""
panama,2004,jmc-tours-panam-,hospitality,linkedin.com/company/jmc-tours-panam-,panamá,jmc tours panamá,panama,11-50,jmctours.com
panama,1962,maxell-latin-america,consumer electronics,linkedin.com/company/maxell-latin-america,panama,maxell latin america,panama,11-50,maxellpan.com
panama,2013,popcorncommunications,marketing and advertising,linkedin.com/company/popcorncommunications,"",popcorn communications inc,panamá,1-10,popcorncommunications.com
panama,2015,amazoniarepublic,retail,linkedin.com/company/amazoniarepublic,"",amazonia republic,panamá,11-50,amazoniarepublic.com
panama,2005,tecnoserv-international-s-a,management consulting,linkedin.com/company/tecnoserv-international-s-a,panamá,"tecnoserv international, s.a.",panama,11-50,""
panama,"",materiales-karen-s-a-,"",linkedin.com/company/materiales-karen-s-a-,"",materiales karen s.a.,"",11-50,matkaren.com
panama,"",metrolibre,newspapers,linkedin.com/company/metrolibre,"",metrolibre,"",11-50,metrolibre.com
panama,2014,energía-solar-fv,renewables & environment,linkedin.com/company/energía-solar-fv,panamá,energía solar fv,panama,1-10,energiasolarfv.com
panama,2018,gab-soluciones,consumer services,linkedin.com/company/gab-soluciones,panamá,gab soluciones,panama,11-50,gabsoluciones.com
panama,"",arsa-seguros,insurance,linkedin.com/company/arsa-seguros,"",arsa seguros,panamá,1-10,segurarsa.com
panama,1996,sefisa-panama,information technology and services,linkedin.com/company/sefisa-panama,panamá,sefisa panamá,panama,1-10,""
panama,2019,delcolaw,law practice,linkedin.com/company/delcolaw,panamá,"delvalle, escalona, levy & corró (delco)",panama,1-10,delcolaw.com
panama,2015,lunchbox-panama,food & beverages,linkedin.com/company/lunchbox-panama,panamá,lunchbox panama,panama,1-10,lunchbox.com.pa
panama,1992,ingenieros-geotécnicos-s-a,civil engineering,linkedin.com/company/ingenieros-geotécnicos-s-a,panamá,ingenieros geotécnicos s. a.,panama,51-200,geo.com.pa
panama,"",pass-s-a-,"",linkedin.com/company/pass-s-a-,"",pass s.a.,"",11-50,passsa.com
panama,"",colegio-st-mary,"",linkedin.com/company/colegio-st-mary,"",colegio st. mary,"",51-200,stmarypa.com
panama,2011,marketing-trends-&-innovation-expo,marketing and advertising,linkedin.com/company/marketing-trends-&-innovation-expo,panamá,marketing trends & innovation expo,panama,1-10,marketingtrendexpo.com
panama,2013,smart-storage,logistics and supply chain,linkedin.com/company/smart-storage,panama,smart storage,panama,1-10,smartstorage.com.pa
