country,founded,id,industry,linkedin_url,locality,name,region,size,website
paraguay,2010,social-py,marketing and advertising,linkedin.com/company/social-py,asuncion,social py,central,11-50,socialpy.com
paraguay,"",trust-telecom-s.a.,telecommunications,linkedin.com/company/trust-telecom-s.a.,"",trust telecom s.a.,"",11-50,trusttelecom.com.py
paraguay,2016,cargopack-paraguay,international trade and development,linkedin.com/company/cargopack-paraguay,"",cargopack paraguay sa,asunción,1-10,cargopack.com.py
paraguay,2019,hupi-paraguay,construction,linkedin.com/company/hupi-paraguay,asuncion,hupi constructora s.a.,central,11-50,hupi.com.py
paraguay,2015,danieri-asunción-hotel,hospitality,linkedin.com/company/danieri-asunción-hotel,asuncion,danieri asunción hotel,central,11-50,danierihotel.com.py
paraguay,2011,social-eagle,marketing and advertising,linkedin.com/company/social-eagle,asuncion,social eagle,central,1-10,agenciasocialeagle.com
paraguay,2020,leaks-and-action,information technology and services,linkedin.com/company/leaks-and-action,"",leaks and action,asunción,11-50,leaksactions.com.py
paraguay,"",gorostiaga-automoviles-s-a,automotive,linkedin.com/company/gorostiaga-automoviles-s-a,"",gorostiaga automoviles s.a,"",51-200,gorostiaga.com.py
paraguay,"",fernandito-group-sa,"",linkedin.com/company/fernandito-group-sa,"",fernandito group sa,"",1-10,fernandito.net
paraguay,"",indalco-s-r-l-,"",linkedin.com/company/indalco-s-r-l-,"",indalco s.r.l.,"",1-10,""
paraguay,2002,mciconsultoraparaguay,accounting,linkedin.com/company/mciconsultoraparaguay,asuncion,mci consultora paraguay,central,11-50,""
paraguay,2014,ecolatian-control-de-plagas,environmental services,linkedin.com/company/ecolatian-control-de-plagas,lambare,ecolatina control de plagas,central,11-50,ecolatina.com.py
paraguay,1975,ica-paraguay,market research,linkedin.com/company/ica-paraguay,asuncion,ica paraguay,central,11-50,icapy.com
paraguay,"",geoconsultores,ranching,linkedin.com/company/geoconsultores,"",geoconsultores,asunción,1-10,geoconsultores.com.py
paraguay,1916,conmebol,sports,linkedin.com/company/conmebol,luque,conmebol,central,51-200,conmebol.com
paraguay,"",climarco-s-r-l-,"",linkedin.com/company/climarco-s-r-l-,"",climarco s.r.l.,"",11-50,climarco.com
paraguay,1998,compañia-dekalpar-s-a-,farming,linkedin.com/company/compañia-dekalpar-s-a-,santa rita,compañia dekalpar s.a.,alto parana,201-500,dekalpar.com.py
paraguay,2012,tecnoambiental-srl,environmental services,linkedin.com/company/tecnoambiental-srl,"",tecnoambiental srl,asunción,1-10,tecnoambiental.com.py
paraguay,1985,coop.-medalla-milagrosa-ltda.,financial services,linkedin.com/company/coop.-medalla-milagrosa-ltda.,fernando de la mora,coop. medalla milagrosa ltda.,central,51-200,medalla.org.py
paraguay,1995,rale-s-a,import and export,linkedin.com/company/rale-s-a,limpio,rale pisos de madera,central,11-50,ralesa.com
paraguay,2009,tapelogística,consumer services,linkedin.com/company/tapelogística,"",tape logística s.a,"",11-50,tapelogistica.net
paraguay,"",bioethic-pharma-s-a,"",linkedin.com/company/bioethic-pharma-s-a,"",bioethic pharma s.a,"",11-50,bioethicpharma.com.py
paraguay,1969,inmobiliaria-del-este-s-a,real estate,linkedin.com/company/inmobiliaria-del-este-s-a,asuncion,inmobiliaria del este s.a,central,51-200,idesa.com.py
paraguay,1986,data-systems-saeca,computer hardware,linkedin.com/company/data-systems-saeca,asuncion,datasystems saeca,central,11-50,""
paraguay,2016,smash-asunción,broadcast media,linkedin.com/company/smash-asunción,"",smash asunción,asunción,1-10,smashasu.com
