country,founded,id,industry,linkedin_url,locality,name,region,size,website
peru,"",frionox-sac,"",linkedin.com/company/frionox-sac,"",frionox sac,"",1-10,frionox.com
peru,"",vastion,entertainment,linkedin.com/company/vastion,"",vastion,lima,11-50,vastiongroup.com
peru,2006,ladrillos-fortes,building materials,linkedin.com/company/ladrillos-fortes,lima,ladrillos fortes,lima,201-500,ladrillosfortes.com
peru,"",colomural,executive office,linkedin.com/company/colomural,san isidro,colomural,lima,1-10,colomural.com.pe
peru,1996,carsudsac,transportation/trucking/railroad,linkedin.com/company/carsudsac,ate,cargueros sudamericanos s.a.c.,lima,51-200,carsudsac.com
peru,2015,enaccionpe,management consulting,linkedin.com/company/enaccionpe,lima,enacción,lima,1-10,enaccion.pe
peru,2016,usilventures,management consulting,linkedin.com/company/usilventures,"",usil ventures,lima,1-10,usilventures.com
peru,"",cámara-de-comercio-pyme-de-piura,civic & social organization,linkedin.com/company/cámara-de-comercio-pyme-de-piura,"",cámara de comercio pyme de piura,piura,1-10,cadmype.com
peru,2011,webtilia,marketing and advertising,linkedin.com/company/webtilia,lima,webtilia,lima,51-200,webtilia.com
peru,2016,tupac,design,linkedin.com/company/tupac,lima,tupac home design,lima,1-10,""
peru,2017,keruxteam,marketing and advertising,linkedin.com/company/keruxteam,lima,kerux,lima,1-10,kerux.com.pe
peru,2010,transmisor-s.a.c.,architecture & planning,linkedin.com/company/transmisor-s.a.c.,lima,transmisor s.a.c.,lima,1-10,transmisor.pe
peru,2020,huñuy,hospital & health care,linkedin.com/company/huñuy,lima,huñuy,lima,1-10,hunuy.com
peru,"",alfagl-oficial,information technology and services,linkedin.com/company/alfagl-oficial,lima,alfagl,lima,51-200,alfagllsc.com
peru,1995,peru-language-services,translation and localization,linkedin.com/company/peru-language-services,lima,intermusicpro - traduccion simultanea,lima,1-10,intermusicpro.com
peru,1965,adra-perú,non-profit organization management,linkedin.com/company/adra-perú,"",adra perú,lima,201-500,adra.org.pe
peru,2018,hnd-negocios-internacionales,marketing and advertising,linkedin.com/company/hnd-negocios-internacionales,lima,hnd negocios internacionales,lima,11-50,""
peru,"",mc-metco,construction,linkedin.com/company/mc-metco,lima,mc metco,lima,51-200,mc-metco.com
peru,"",trucks-and-motors-del-perú-sac,logistics and supply chain,linkedin.com/company/trucks-and-motors-del-perú-sac,chiclayo,trucks and motors del perú sac,lambayeque,201-500,tymsac.com
peru,2009,paradigma-peru-s-a-c,management consulting,linkedin.com/company/paradigma-peru-s-a-c,lima,paradigma peru s.a.c.,lima,1-10,paradigmaperu.com
peru,2017,inacoin,mechanical or industrial engineering,linkedin.com/company/inacoin,lima,inacoin sac,lima,11-50,inacoinperu.com
peru,2004,english-life-peru,education management,linkedin.com/company/english-life-peru,"",english life peru,lima,11-50,englishlifeperu.com
peru,2015,codecon-ingenieriayconstruccion,construction,linkedin.com/company/codecon-ingenieriayconstruccion,lima,wescon ingeniería y construcción,lima,51-200,wesconconstruccion.pe
peru,"",viralab-s-a-,"",linkedin.com/company/viralab-s-a-,"",viralab s.a.,"",11-50,viralabperu.com
peru,2019,summitvisuals,marketing and advertising,linkedin.com/company/summitvisuals,"",summit visuals,lima,1-10,summitvisuals.pe
peru,2014,detalles-de-corazon-flores-desayunos-y-regalos,retail,linkedin.com/company/detalles-de-corazon-flores-desayunos-y-regalos,lima,"detalles de corazon - flores, desayunos y regalos",lima,1-10,detallesdecorazon.pe
peru,"",tans-peru,airlines/aviation,linkedin.com/company/tans-peru,arequipa,tans peru,arequipa,11-50,tansperu.com.pe
peru,1990,polo-sons-international,food & beverages,linkedin.com/company/polo-sons-international,lima,polo & sons international,lima,501-1000,poloandsons.com
peru,2017,cdi-project,information technology and services,linkedin.com/company/cdi-project,"",cdi project,lima,11-50,cdiproject.com
peru,2008,tym-ingenieros-eirl,electrical/electronic manufacturing,linkedin.com/company/tym-ingenieros-eirl,lima,tym ingenieros eirl,lima,1-10,tym.com.pe
peru,1870,casa-rosselló,construction,linkedin.com/company/casa-rosselló,lima,casa rosselló,lima,51-200,rossello.com.pe
peru,2017,brands-solutions-perú,marketing and advertising,linkedin.com/company/brands-solutions-perú,lima,brand solutions perú,lima,11-50,""
peru,2010,perugbc,construction,linkedin.com/company/perugbc,lima,peru gbc (peru green building council),lima,1-10,perugbc.org.pe
peru,2017,lacastellanaproyectos,commercial real estate,linkedin.com/company/lacastellanaproyectos,chiclayo,la castellana - inmobiliaria,lambayeque,51-200,inmobiliarialacastellana.com
peru,"",jqa-ingenieros,mechanical or industrial engineering,linkedin.com/company/jqa-ingenieros,chincha alta,jqa ingenieros eirl,ica,1-10,jqaingenieros.com
peru,"",eotperu,electrical/electronic manufacturing,linkedin.com/company/eotperu,lima,energy automation technologies,lima,11-50,""
peru,1998,iasacorp-international,retail,linkedin.com/company/iasacorp-international,"",iasacorp international,"",1001-5000,iasacorp.com
peru,2016,gergobus,investment management,linkedin.com/company/gergobus,lima,gergobus,lima,1-10,gergobus.com
peru,"",eurolift-peru,machinery,linkedin.com/company/eurolift-peru,lima,eurolift perú,lima,51-200,ltperu.pe
peru,2012,empresa-digital-peruana,internet,linkedin.com/company/empresa-digital-peruana,lima,busportal,lima region,11-50,busportal.pe
peru,"",argentaperu,food & beverages,linkedin.com/company/argentaperu,barranco,argenta perú,lima,11-50,argentaperu.com
peru,2020,capitannetwork,marketing and advertising,linkedin.com/company/capitannetwork,la victoria,foqus,lima,1-10,""
peru,2017,senoridea,marketing and advertising,linkedin.com/company/senoridea,lima,sr. idea,lima,1-10,senoridea.com
