country,founded,id,industry,linkedin_url,locality,name,region,size,website
philippines,2006,vectordata,computer software,linkedin.com/company/vectordata,manila,"vectordata, inc.- authorized archicad reseller in the philippines",manila,11-50,vector-data.com
philippines,2018,unistopinc,information technology and services,linkedin.com/company/unistopinc,"",unistop outsourcing inc.,central luzon,11-50,""
philippines,1991,one-mega-group-inc-,media production,linkedin.com/company/one-mega-group-inc-,capital,"one mega group, inc.",quezon city,201-500,onemegagroup.com
philippines,2018,coindrop,financial services,linkedin.com/company/coindrop,makati,coindrop,manila,1-10,coindrop.com.ph
philippines,2013,fulgardev,construction,linkedin.com/company/fulgardev,manila,fulgar development corporation,manila,11-50,fulgardev.com
philippines,"",colortex-processing-inc-,real estate,linkedin.com/company/colortex-processing-inc-,"",colortex processing inc.,"",1-10,""
philippines,"",rooms498,real estate,linkedin.com/company/rooms498,mandaluyong city,rooms498,metro manila,11-50,roomsforrent.ph
philippines,"",red-ribbon-bakeshop,food & beverages,linkedin.com/company/red-ribbon-bakeshop,san juan,red ribbon bakeshop,metro manila,1-10,redribbonbakeshop.us
philippines,2018,r3-meat-and-food-resources-inc,food & beverages,linkedin.com/company/r3-meat-and-food-resources-inc,manila,r3 meat and food resources inc.,manila,1-10,r3meatandfood.com
philippines,2016,imhotelph,hospitality,linkedin.com/company/imhotelph,makati,i'm hotel,manila,51-200,imhotel.com
philippines,"",san-luis-national-high-school,"",linkedin.com/company/san-luis-national-high-school,"",san luis national high school,"",11-50,slnhs.com
philippines,"",dict-laguna,government administration,linkedin.com/company/dict-laguna,laguna,dict laguna,dumaguete,1-10,dictlaguna.com
philippines,"",geoplan-cebu-foundation-inc-,think tanks,linkedin.com/company/geoplan-cebu-foundation-inc-,"","geoplan cebu foundation, inc.","",11-50,geoplancebu.ph
philippines,2012,golden-sapphire,consumer goods,linkedin.com/company/golden-sapphire,manila,golden sapphire,manila,1-10,goldensapphire.com.ph
philippines,1991,mdmdllc,media production,linkedin.com/company/mdmdllc,makati city,mdmdllc,metro manila,1-10,dopadoc.com
philippines,"",prominent-business-solutions-corp-,consumer services,linkedin.com/company/prominent-business-solutions-corp-,"",prominent business solutions corp.,"",11-50,""
philippines,"",saint-theresa-college,higher education,linkedin.com/company/saint-theresa-college,"",saint theresa college,"",1-10,stcqc.edu.ph
philippines,1984,philippine-seven-corporation,retail,linkedin.com/company/philippine-seven-corporation,manila,philippine seven corporation,manila,501-1000,7-eleven.com.ph
philippines,"",primebeef-company,food & beverages,linkedin.com/company/primebeef-company,manila,primebeef company,manila,11-50,primebeef.com.ph
philippines,"",robinsons-land-philippines,real estate,linkedin.com/company/robinsons-land-philippines,manila,robinsons land philippines,manila,10001+,robinsonslandphilippines.com
philippines,2002,trends,information technology and services,linkedin.com/company/trends,manila,"trends & technologies, inc.",manila,501-1000,trendscn.com
philippines,2018,protecsteelphilippines,mechanical or industrial engineering,linkedin.com/company/protecsteelphilippines,pampanga,protec steel,davao city,11-50,protecsteelph.com
philippines,1981,cfsi_2,non-profit organization management,linkedin.com/company/cfsi_2,capital,community and family services international,quezon city,501-1000,cfsi.ph
philippines,"",verostar-services-inc-,internet,linkedin.com/company/verostar-services-inc-,"",verostar services inc.,"",1-10,""
philippines,"",arvyn-construction-incorporated,construction,linkedin.com/company/arvyn-construction-incorporated,manila,arvyn construction incorporated,manila,51-200,arvynconstructioninc.com
philippines,"",gotoh-philippines-corporation,electrical/electronic manufacturing,linkedin.com/company/gotoh-philippines-corporation,calamba,gotoh philippines corporation,calabarzon,11-50,gotohphils.com
philippines,2014,trackr-ph,internet,linkedin.com/company/trackr-ph,taguig city,trackr ph,metro manila,1-10,trackr.ph
