country,founded,id,industry,linkedin_url,locality,name,region,size,website
poland,1978,novol-sp-z-o-o-,chemicals,linkedin.com/company/novol-sp-z-o-o-,"",novol sp. z o.o.,"",501-1000,novol.pl
poland,2009,wik-consulting,banking,linkedin.com/company/wik-consulting,warsaw,wik consulting,mazowieckie,11-50,wikconsulting.be
poland,2004,zaga-fundusze-europejskie,management consulting,linkedin.com/company/zaga-fundusze-europejskie,opole,zaga fundusze europejskie,opolskie,11-50,zaga.pl
poland,2014,wolf3d,design,linkedin.com/company/wolf3d,kozerki,wolf3d,mazowieckie,1-10,wolf3d.pl
poland,2011,aria-private-equity,investment management,linkedin.com/company/aria-private-equity,warsaw,aria fund s.a.,mazowieckie,11-50,ariafund.com
poland,2001,ruciński-&-łyko-legal-advisors-lp,legal services,linkedin.com/company/ruciński-&-łyko-legal-advisors-lp,"",ruciński & łyko legal advisors lp,"",1-10,rucinski-lyko.pl
poland,2010,bravelab.io,internet,linkedin.com/company/bravelab.io,kraków,bravelab software house,lesser poland voivodeship,11-50,bravelab.io
poland,"",asystent,"",linkedin.com/company/asystent,"",asystent,"",11-50,asystent.com.pl
poland,"",alfacommunications,public relations and communications,linkedin.com/company/alfacommunications,warsaw,alfa communications,mazowieckie,1-10,alfacommunications.pl
poland,2005,fullpro,animation,linkedin.com/company/fullpro,"",fullpro,"",1-10,fullpro.pl
poland,"",skoda-auto-polska-s.a.,automotive,linkedin.com/company/skoda-auto-polska-s.a.,"",skoda auto polska s.a.,"",51-200,skoda-auto.pl
poland,2005,ekstraklasa-s-a-,sports,linkedin.com/company/ekstraklasa-s-a-,warsaw,ekstraklasa s.a,mazovia,11-50,ekstraklasa.org
poland,"",turystyka,package/freight delivery,linkedin.com/company/turystyka,czestochowa,turystyka,slaskie,1-10,dbv.pl
poland,"",mib-pol,"",linkedin.com/company/mib-pol,"",mib-pol,"",1-10,mib-pol.com.pl
poland,"",elektrowat,construction,linkedin.com/company/elektrowat,sanok,elektrowat,subcarpathian voivodeship,1-10,elektrowat.com
poland,"",wojewódzki-szpital-dla-nerwowo-i-psychicznie-chorych,medical practice,linkedin.com/company/wojewódzki-szpital-dla-nerwowo-i-psychicznie-chorych,suchowola,wojewódzki szpital dla nerwowo i psychicznie chorych,lodzkie,1-10,szpitalsuchowola.pl
poland,"",ekoekspert,"",linkedin.com/company/ekoekspert,"",ekoekspert,"",1-10,ekoekspert.pl
poland,2016,visionspace,telecommunications,linkedin.com/company/visionspace,kraków,visionspace sp. z o.o.,lesser poland voivodeship,11-50,spark.pl
poland,2005,carework,staffing and recruiting,linkedin.com/company/carework,lubuskie,carework,lubuskie,501-1000,carework.pl
poland,2014,4screens,internet,linkedin.com/company/4screens,warsaw,4screens,mazowieckie,1-10,4screens.net
