country,founded,id,industry,linkedin_url,locality,name,region,size,website
portugal,2016,dynamik---tecnologias-e-comunicação,information technology and services,linkedin.com/company/dynamik---tecnologias-e-comunicação,ilhavo,dynamik - tecnologias e comunicação,aveiro,1-10,""
portugal,2015,psicologia-digital,"health, wellness and fitness",linkedin.com/company/psicologia-digital,portimão,psicologia digital,faro,1-10,psicologiadigital.net
portugal,2011,loopaudiovisual,motion pictures and film,linkedin.com/company/loopaudiovisual,lisbon,loop audiovisual studio,lisbon,1-10,loopaudiovisual.com
portugal,"",amadeu-ferreira-da-silva-lda,renewables & environment,linkedin.com/company/amadeu-ferreira-da-silva-lda,lisbon,"amadeu ferreira da silva, lda",lisbon,1-10,afs-ascensores.com
portugal,2017,anepbpt-associação-nacional-dos-estudantes-e-pesquisadores-brasileiros-em-portugal,higher education,linkedin.com/company/anepbpt-associação-nacional-dos-estudantes-e-pesquisadores-brasileiros-em-portugal,"",anepbpt - associação nacional dos estudantes e pesquisadores brasileiros em portugal,braganca,11-50,anepbp.org
portugal,"",central-de-compras-electr-nicas-da-rea-metropolitana-de-lisboa,government administration,linkedin.com/company/central-de-compras-electr-nicas-da-rea-metropolitana-de-lisboa,"",central de compras electrónicas da área metropolitana de lisboa,"",11-50,""
portugal,1995,ubineec,higher education,linkedin.com/company/ubineec,covilha,ubineec- núcleo de estudantes de economia da ubi,castelo branco,11-50,""
portugal,"",emarp,"",linkedin.com/company/emarp,"",emarp,"",51-200,emarp.pt
portugal,"",fernando-roda-lda,"",linkedin.com/company/fernando-roda-lda,"",fernando roda lda,"",11-50,fernandoroda.pt
portugal,"",salvor-s-a-,"",linkedin.com/company/salvor-s-a-,lisbon,salvor s.a.,lisbon,1-10,""
portugal,"",federação-portuguesa-de-aikido,internet,linkedin.com/company/federação-portuguesa-de-aikido,carcavelos,federação portuguesa de aikido,lisbon,11-50,fpaikido.pt
portugal,2008,sa-formacao,professional training & coaching,linkedin.com/company/sa-formacao,torres vedras,sa formação,lisbon,51-200,sa-formacao.pt
portugal,2017,strategic-fawnders,management consulting,linkedin.com/company/strategic-fawnders,matosinhos,strategic fawnders,porto,1-10,strategicfawnders.pt
portugal,2008,imogain-sa,commercial real estate,linkedin.com/company/imogain-sa,"","imogain, sa","",1-10,imogain.pt
portugal,2005,corrisiel-lda,design,linkedin.com/company/corrisiel-lda,oeiras,"corrisiel - imobilíaria, importação, exportação,lda",lisbon,11-50,contento.com.pt
portugal,2000,hpztavira,information technology and services,linkedin.com/company/hpztavira,tavira,hpz ricoh,faro,11-50,hpz.pt
portugal,2009,grupo-ccra,restaurants,linkedin.com/company/grupo-ccra,lisbon,grupo ccra,lisbon,51-200,ccragroup.com
portugal,2016,gata-comunicação,marketing and advertising,linkedin.com/company/gata-comunicação,lisbon,gata /// comunicação,lisbon,1-10,gata.pt
portugal,1998,via-directa,insurance,linkedin.com/company/via-directa,lisbon,via directa,lisbon,51-200,viadirecta.pt
portugal,2003,anywind,renewables & environment,linkedin.com/company/anywind,"",anywind,"",201-500,anywind.com
portugal,"",next-proaudio,consumer electronics,linkedin.com/company/next-proaudio,rio tinto,next-proaudio,porto,1-10,next-proaudio.com
portugal,2009,sysnovare,information technology and services,linkedin.com/company/sysnovare,"",sysnovare - innovative solutions s.a.,porto,11-50,sysnovare.pt
portugal,1948,marcal_homedecorproducts,building materials,linkedin.com/company/marcal_homedecorproducts,porto,marçal home decor products,porto,51-200,marcalfilhos.pt
portugal,2018,hdp-consulting-lda,marketing and advertising,linkedin.com/company/hdp-consulting-lda,fontinha,hdp consulting lda,coimbra,1-10,hdpconsulting.pt
portugal,1989,drc-data-risk-and-consulting,information technology and services,linkedin.com/company/drc-data-risk-and-consulting,carnaxide,drc data risk and consulting,lisbon,1-10,""
portugal,2013,web2business,internet,linkedin.com/company/web2business,"",web2business,braga,1-10,web2business.pt
portugal,"",in-situ-conserva-o-de-bens-culturais,museums and institutions,linkedin.com/company/in-situ-conserva-o-de-bens-culturais,rio de mouro,in situ conservação de bens culturais,lisbon,11-50,insitu.pt
portugal,2017,cuddle-home,textiles,linkedin.com/company/cuddle-home,"",cuddle home,porto,1-10,cuddle-home.com
portugal,1953,megasa-megasider,mining & metals,linkedin.com/company/megasa-megasider,portugal,megasa portugal,portalegre,501-1000,""
portugal,1994,pse---produtos-e-servi-os-de-estat-stica-lda,information technology and services,linkedin.com/company/pse---produtos-e-servi-os-de-estat-stica-lda,lisbon,"pse - produtos e serviços de estatística, lda",lisbon,11-50,pse.pt
portugal,2015,brandhunters,marketing and advertising,linkedin.com/company/brandhunters,lisbon,brandhunters,lisbon,1-10,brandhunters.net
portugal,2018,goitconcept,information technology and services,linkedin.com/company/goitconcept,oliveira de azemeis,go it concept,aveiro,1-10,goitconcept.com
portugal,1995,speakwell,professional training & coaching,linkedin.com/company/speakwell,parede,cli - consultores de línguas - cursos speakwell,lisbon,11-50,speakwell.pt
portugal,2009,chlorus,online media,linkedin.com/company/chlorus,porto,chlorus,porto,1-10,wos-chlorus.com
portugal,2017,invesport-real-estate,real estate,linkedin.com/company/invesport-real-estate,campo grande,invesport real estate,viana do castelo,1-10,invesportgroup.com
portugal,1991,latino-coelho-87-business-center,commercial real estate,linkedin.com/company/latino-coelho-87-business-center,lisbon,latino coelho 87 business center,lisbon,1-10,latinocoelho87.pt
portugal,2000,área-pedagógica,human resources,linkedin.com/company/área-pedagógica,lisbon,área pedagógica,lisbon,11-50,areapedagogica.com
portugal,2013,owlpharma-consulting-lda,pharmaceuticals,linkedin.com/company/owlpharma-consulting-lda,"",owlpharma,coimbra,11-50,owlpharma.pt
portugal,2012,inspirart-lda,design,linkedin.com/company/inspirart-lda,amadora,inspirart lda,lisbon,1-10,inspirart.pt
portugal,2020,projaqk,design,linkedin.com/company/projaqk,guimarães,projaqk,braga,1-10,projaqk.com
portugal,2007,sos-animal---grupo-de-socorro-animal-de-portugal,non-profit organization management,linkedin.com/company/sos-animal---grupo-de-socorro-animal-de-portugal,lisbon,sos animal - grupo de socorro animal de portugal,lisbon,11-50,sosanimal.com
portugal,"",unixira,human resources,linkedin.com/company/unixira,vila franca de xira,unixira,lisbon,11-50,unixira.pt
portugal,1998,associação-juvenil-cume,non-profit organization management,linkedin.com/company/associação-juvenil-cume,arganil,associação juvenil c.u.m.e,coimbra,11-50,ajcume.pt
portugal,1983,rorene,textiles,linkedin.com/company/rorene,valongo,rorene confeções lda,porto,51-200,rorene.pt
portugal,2008,united-resins-sa,chemicals,linkedin.com/company/united-resins-sa,figueira da foz,united resins sa,coimbra,11-50,unitedresins.com
portugal,2019,here4you,telecommunications,linkedin.com/company/here4you,azambuja,here4you - soluções empresariais,lisbon,1-10,""
portugal,2013,cafeína,marketing and advertising,linkedin.com/company/cafeína,vila do conde,cafeína,porto,11-50,cafeina.ec
portugal,2003,cdca,law practice,linkedin.com/company/cdca,lisbon,cdca,lisbon,1-10,cdca.com.pt
portugal,2004,associa-o-viver-a-ci-ncia,fund-raising,linkedin.com/company/associa-o-viver-a-ci-ncia,lisbon,associação viver a ciência,lisbon,1-10,viveraciencia.org
portugal,2008,elergone-energia-lda,renewables & environment,linkedin.com/company/elergone-energia-lda,leca da palmeira,"elergone energia, lda",porto,11-50,elergone.pt
portugal,"",especial-1-segurança-privada-s.a,"",linkedin.com/company/especial-1-segurança-privada-s.a,olhao,"especial 1, segurança privada s.a",faro,1-10,""
portugal,"",futuro-feliz-em-fam-lia-apoio-domicili-rio-e-ajudas-t-cnicas,hospital & health care,linkedin.com/company/futuro-feliz-em-fam-lia-apoio-domicili-rio-e-ajudas-t-cnicas,"",futuro feliz em família-apoio domiciliário e ajudas técnicas,"",11-50,fff.pt
portugal,2014,socold-lda.,mechanical or industrial engineering,linkedin.com/company/socold-lda.,ovar,socold lda.,aveiro,11-50,socold.pt
portugal,2014,home-hunting,internet,linkedin.com/company/home-hunting,lisbon,home hunting lisboa,lisbon,11-50,homehunting.pt
portugal,2013,completamente,"health, wellness and fitness",linkedin.com/company/completamente,almada,completamente - saúde & educação,setubal,1-10,completamente.pt
portugal,2016,terzihan,luxury goods & jewelry,linkedin.com/company/terzihan,"",terzihan,lisbon,11-50,terzihan.com
portugal,2002,bee-consulting-lda,human resources,linkedin.com/company/bee-consulting-lda,"","bee consulting, lda",porto,1-10,bee.pt
portugal,"",gerauxilio,individual & family services,linkedin.com/company/gerauxilio,carcavelos,"gerauxílio - serviço de apoio domiciliário, unipessoal lda.",lisbon,11-50,gerauxilio.pt
portugal,"",talentship-forma-o-e-gest-o-de-talentos,human resources,linkedin.com/company/talentship-forma-o-e-gest-o-de-talentos,lisbon,talentship - recrutamento e gestão de talentos,lisbon,11-50,talentship.com.pt
portugal,2017,blue-tale,furniture,linkedin.com/company/blue-tale,gaia,blue tale,castelo branco,1-10,blue-tale.com
portugal,2011,sefrea-com---systems-engineering-and-software-development-,information technology and services,linkedin.com/company/sefrea-com---systems-engineering-and-software-development-,freamunde,sefrea - systems engineering and software development.,porto,1-10,sefrea.com
portugal,1999,fundação-do-gil,non-profit organization management,linkedin.com/company/fundação-do-gil,lisbon,fundação do gil,lisbon,11-50,fundacaodogil.pt
