country,founded,id,industry,linkedin_url,locality,name,region,size,website
puerto rico,"",w-med-solutions,medical devices,linkedin.com/company/w-med-solutions,"",w.med solutions,gurabo,11-50,wmedsolutions.com
puerto rico,2020,orderjetson,consumer goods,linkedin.com/company/orderjetson,san juan,jetson,san juan,1-10,orderjetson.com
puerto rico,"",h.e.l.p.-inc.-humans-engaged-in-learning-procedures-,management consulting,linkedin.com/company/h.e.l.p.-inc.-humans-engaged-in-learning-procedures-,"","h.e.l.p., inc. (humans engaged in learning procedures)","",1-10,helpincpr.com
puerto rico,"",world-solar-pro,renewables & environment,linkedin.com/company/world-solar-pro,san juan,world solar pro,san juan,51-200,worldsolarpro.com
puerto rico,"",citi-international-financial-services-llc,investment management,linkedin.com/company/citi-international-financial-services-llc,"","citi international financial services, llc",san juan,1001-5000,netxselect.com
puerto rico,2017,getpade,internet,linkedin.com/company/getpade,"",pade,san juan,1-10,pade.io
puerto rico,"",prgd,"",linkedin.com/company/prgd,"",prgd,"",11-50,prgdco.com
puerto rico,2008,rf-consulting-p.s.c.,telecommunications,linkedin.com/company/rf-consulting-p.s.c.,"","rf consulting, p.s.c.","",1-10,rfconsultingpr.com
puerto rico,"",dtrh,"",linkedin.com/company/dtrh,"",dtrh,"",201-500,""
puerto rico,"",cooperativa-hermanos-unidos,financial services,linkedin.com/company/cooperativa-hermanos-unidos,"",cooperativa hermanos unidos,"",11-50,cachupr.com
puerto rico,"",quebradacoop,"",linkedin.com/company/quebradacoop,"",quebradacoop,"",11-50,quebradacoop.com
puerto rico,1949,asociacion-interamericana-de-contabilidad,accounting,linkedin.com/company/asociacion-interamericana-de-contabilidad,san juan,asociación interamericana de contabilidad,san juan,10001+,contadores-aic.org
puerto rico,"",caribbean-school,education management,linkedin.com/company/caribbean-school,"",caribbean school,"",51-200,caribbeanschool.org
puerto rico,2015,stclaircollection,hospitality,linkedin.com/company/stclaircollection,"",st. clair collection,carolina,51-200,stclaircollection.com
puerto rico,"",business-management-consultant,management consulting,linkedin.com/company/business-management-consultant,"",business management consultant,"",1-10,escueladenegociospr.com
puerto rico,"",buenas-cosas,higher education,linkedin.com/company/buenas-cosas,"",buenas cosas,bayamón,1-10,buenascosas.info
puerto rico,2020,oxour-consulting,information technology and services,linkedin.com/company/oxour-consulting,"",oxour consulting,san juan,1-10,oxourconsulting.com
puerto rico,"",circo-toys,retail,linkedin.com/company/circo-toys,"",circo toys,"",51-200,circotoys.com
puerto rico,"",casiano-communications,publishing,linkedin.com/company/casiano-communications,"",casiano communications,san juan,51-200,casiano.com
puerto rico,2017,formosaco,"",linkedin.com/company/formosaco,"",formosa,san juan,1-10,formosaco.io
puerto rico,"",nu-vue-industries,"",linkedin.com/company/nu-vue-industries,"",nu-vue industries,"",11-50,nuvuepr.com
