country,founded,id,industry,linkedin_url,locality,name,region,size,website
qatar,1976,teyseer-building-materials-&-transport-co.-w.l.l.,building materials,linkedin.com/company/teyseer-building-materials-&-transport-co.-w.l.l.,"",teyseer building materials & transport co. w.l.l.,"",201-500,teyseerbm.com
qatar,2019,coursesindoha,education management,linkedin.com/company/coursesindoha,doha,courses in doha,ad dawhah,11-50,coursesindoha.com
qatar,"",جريدة-قطر,newspapers,linkedin.com/company/جريدة-قطر,doha,qatar newspaper,ad dawhah,1-10,qatarnewspaper.net
qatar,2008,technobyte-it-solutions,information technology and services,linkedin.com/company/technobyte-it-solutions,"",technobyte,al wakrah,1-10,technobyteqa.com
qatar,2004,dorex-engineering,construction,linkedin.com/company/dorex-engineering,doha,dorex engineering,ad dawhah,201-500,dorexeng.com.qa
qatar,"",amiantit-qatar-pipes-co-,plastics,linkedin.com/company/amiantit-qatar-pipes-co-,doha,amiantit qatar pipes co.,ad dawhah,201-500,aqap.com.qa
qatar,"",premier-teknomedia,marketing and advertising,linkedin.com/company/premier-teknomedia,doha,premier teknomedia,ad dawhah,11-50,premierqatar.com
qatar,2012,shifteventsmedia&exhibitions,events services,linkedin.com/company/shifteventsmedia&exhibitions,doha,shift events media & exhibitions,ad dawhah,11-50,shiftevents.qa
qatar,1976,boodai-trading-company-w-l-l-qatar,business supplies and equipment,linkedin.com/company/boodai-trading-company-w-l-l-qatar,doha,boodai trading company w.l.l (qatar),ad dawhah,201-500,""
qatar,2013,dohabus-tours,"leisure, travel & tourism",linkedin.com/company/dohabus-tours,doha,dohabus company,ad dawhah,51-200,dohabus.com
qatar,2007,automationmate,mechanical or industrial engineering,linkedin.com/company/automationmate,doha,automate,ad dawhah,11-50,automationmate.com
qatar,2015,al-sedriyah-hospitality,hospitality,linkedin.com/company/al-sedriyah-hospitality,doha,al sedriyah hospitality,ad dawhah,51-200,alsedriyah.com.qa
qatar,"",advanced-infrastructure-engineering,construction,linkedin.com/company/advanced-infrastructure-engineering,doha,advanced infrastructure engineering,ad dawhah,51-200,aie.com.sg
qatar,1997,qatar-airways,airlines/aviation,linkedin.com/company/qatar-airways,doha,qatar airways,ad dawhah,10001+,qatarairways.com
qatar,2009,gravity-group-of-comapanies,hospitality,linkedin.com/company/gravity-group-of-comapanies,doha,gravity group of companies,ad dawhah,11-50,gravityqatar.com
qatar,"",nabina-ceramic,building materials,linkedin.com/company/nabina-ceramic,doha,nabina ceramic,ad dawhah,201-500,nabinaceramic.com
qatar,1998,ali-bin-ali-medical,medical devices,linkedin.com/company/ali-bin-ali-medical,doha,ali bin ali medical wll,ad dawhah,51-200,""
qatar,"",gulf-medium-industries,business supplies and equipment,linkedin.com/company/gulf-medium-industries,doha,gulf medium industries,ad dawhah,51-200,gulfmediumindustries.com
qatar,2009,classic-tec-trading-building-materials,building materials,linkedin.com/company/classic-tec-trading-building-materials,doha,classic tec trading & building materials,ad dawhah,201-500,classictec.net
qatar,2010,qd-sbg-construction,construction,linkedin.com/company/qd-sbg-construction,"",qatari diar saudi binladin group,"",5001-10000,qd-sbg.com.qa
qatar,"",malki-tech,information technology and services,linkedin.com/company/malki-tech,"",malki technologies,"",1-10,malkitech.com
qatar,"",orient-1-ltd-,building materials,linkedin.com/company/orient-1-ltd-,"",orient 1 ltd.,"",1-10,""
qatar,2015,crowne-plaza-doha-westbay,hospitality,linkedin.com/company/crowne-plaza-doha-westbay,doha,crowne plaza doha west bay,ad dawhah,201-500,""
qatar,"",saleh-al-hamad-al-mana,automotive,linkedin.com/company/saleh-al-hamad-al-mana,doha,saleh al hamad al mana,ad dawhah,51-200,nissanqatar.com
qatar,"",al-maktab-al-qatari-al-hollandi-w-l-l,import and export,linkedin.com/company/al-maktab-al-qatari-al-hollandi-w-l-l,doha,al maktab al qatari al hollandi w.l.l,ad dawhah,1-10,""
qatar,2015,hertz-equipment-rental-qatar,construction,linkedin.com/company/hertz-equipment-rental-qatar,doha,hertz equipment rental - qatar,ad dawhah,51-200,hertzequip.me
qatar,2017,al-mansour-suites-hotel,hospitality,linkedin.com/company/al-mansour-suites-hotel,doha,al mansour suites hotel,ad dawhah,51-200,almansoursuites.com
qatar,2002,seven-star-trading-&-general-services,public relations and communications,linkedin.com/company/seven-star-trading-&-general-services,doha,seven star trading & general services,ad dawhah,11-50,""
qatar,"",shannon-trading-and-contracting,electrical/electronic manufacturing,linkedin.com/company/shannon-trading-and-contracting,doha,shannon trading and contracting,ad dawhah,11-50,elifrancecafe.com
qatar,2016,solusta,events services,linkedin.com/company/solusta,doha,solusta,ad dawhah,1-10,solusta.com
qatar,2020,uuqatar,education management,linkedin.com/company/uuqatar,doha,ulster university qatar,ad dawhah,11-50,ulsteruniversity.qa
qatar,2013,iss-qatar,facilities services,linkedin.com/company/iss-qatar,doha,iss qatar,ad dawhah,11-50,iss-qa.com
qatar,"",salam-bounian-development-company-p-s-c-,real estate,linkedin.com/company/salam-bounian-development-company-p-s-c-,doha,salam bounian development company p.s.c.,ad dawhah,11-50,""
qatar,2020,paywisehq,internet,linkedin.com/company/paywisehq,doha,paywise,ad dawhah,1-10,paywise.io
qatar,2010,dl-trading-hospitality,hospitality,linkedin.com/company/dl-trading-hospitality,al hitmi,dl trading and hospitality,ad dawhah,51-200,""
qatar,2008,anti-doping-lab-qatar,hospital & health care,linkedin.com/company/anti-doping-lab-qatar,doha,anti-doping lab qatar,ad dawhah,51-200,adlqatar.net
qatar,"",kheira-holding,investment management,linkedin.com/company/kheira-holding,doha,kheira holding,ad dawhah,51-200,kheiraholding.com
qatar,2010,queenhospital,hospital & health care,linkedin.com/company/queenhospital,doha,queen hospital,ad dawhah,201-500,""
qatar,"",aluminum-gulf-ray,construction,linkedin.com/company/aluminum-gulf-ray,"",aluminum gulf ray,"",51-200,agrqatar.com
qatar,2014,jefe-technology,information technology and services,linkedin.com/company/jefe-technology,doha,jefe technologies,ad dawhah,11-50,jefe.technology
qatar,2014,pixel-fox,events services,linkedin.com/company/pixel-fox,doha,pixel fox,ad dawhah,1-10,pixelfox.qa
qatar,2016,kingsdoha,primary/secondary education,linkedin.com/company/kingsdoha,doha,king's college doha,ad dawhah,11-50,kingscollegedoha.com
qatar,2018,spectrumqatar,design,linkedin.com/company/spectrumqatar,doha,spectrum lighting & trading llc,ad dawhah,1-10,spectrumqatar.com
qatar,1993,american-qatari-international-trade-co.w.l.l,international trade and development,linkedin.com/company/american-qatari-international-trade-co.w.l.l,doha,american qatari international trade co. w.l.l,ad dawhah,11-50,aqitc.com
qatar,2007,united-east-project-llc,international trade and development,linkedin.com/company/united-east-project-llc,"",united east project wll,"",51-200,uepmct.com
