country,founded,id,industry,linkedin_url,locality,name,region,size,website
romania,2000,leaders-foundation,education management,linkedin.com/company/leaders-foundation,bucharest,leaders foundation,bucuresti,51-200,leaders.ro
romania,2017,arttourromania,"leisure, travel & tourism",linkedin.com/company/arttourromania,"",arttour romania,bacău,11-50,arttour.ro
romania,2016,amslaboratorgenetic,hospital & health care,linkedin.com/company/amslaboratorgenetic,"",amslaboratorgenetic,bucureşti,11-50,amsgeneticlab.ro
romania,2004,axten,information technology and services,linkedin.com/company/axten,"",axten,cluj,1-10,axten.ro
romania,2004,imobiliare,commercial real estate,linkedin.com/company/imobiliare,timisoara,sinergyest imobiliare,timis,11-50,eugene.ro
romania,2010,george-enescu-philharmonic-foundation,civic & social organization,linkedin.com/company/george-enescu-philharmonic-foundation,bucharest,george enescu foundation,bucuresti,11-50,fundatiaenescu.ro
romania,2012,lic-29-instalatii,retail,linkedin.com/company/lic-29-instalatii,timisoara,lic 29 instalatii,timis,1-10,instalatiitm.ro
romania,2012,pinewood-consulting,telecommunications,linkedin.com/company/pinewood-consulting,bucharest,pinewood consulting,bucuresti,1-10,pinewood-consulting.com
romania,2018,creative-marketing-ro,marketing and advertising,linkedin.com/company/creative-marketing-ro,oradea,creative marketing,bihor,1-10,creative-marketing.ro
romania,2007,rt-solutions-romania,telecommunications,linkedin.com/company/rt-solutions-romania,timisoara,rt solutions romania,timis,11-50,rtsolutions.ro
romania,1997,romero,financial services,linkedin.com/company/romero,"",romero,"",51-200,romero.ro
romania,"",netmeon-,telecommunications,linkedin.com/company/netmeon-,"",netmeon!,bucureşti,1-10,netmeon.ro
romania,2015,youthcancereurope,non-profit organization management,linkedin.com/company/youthcancereurope,"",youth cancer europe,cluj,1-10,youthcancereurope.org
romania,"",aldmagic-film,motion pictures and film,linkedin.com/company/aldmagic-film,"",aldmagic film,"",1-10,aldmagic.com
romania,2013,bellesser-living-art,retail,linkedin.com/company/bellesser-living-art,"",bellesser living art,"",51-200,bellesser.ro
romania,2015,spitalul-humanitas,hospital & health care,linkedin.com/company/spitalul-humanitas,"",spitalul humanitas,cluj,11-50,spitalhumanitas.ro
romania,1994,prisum-international-trading-co-s-r-l-,pharmaceuticals,linkedin.com/company/prisum-international-trading-co-s-r-l-,bucharest,prisum international trading co s.r.l.,bucuresti,51-200,prisum.ro
romania,2012,berylstudio,architecture & planning,linkedin.com/company/berylstudio,bucharest,berylstudio,bucuresti,1-10,berylstudio.ro
romania,2010,vakukfilms,animation,linkedin.com/company/vakukfilms,"",vakukfilms,"",1-10,vakukfilms.com
romania,"",woodcraftcompany,"",linkedin.com/company/woodcraftcompany,"",woodcraftcompany,"",1-10,woodcraftcompany.ro
romania,2005,essensys-software,computer software,linkedin.com/company/essensys-software,bucharest,essensys software,bucuresti,51-200,essensys.ro
romania,2007,blue-point-telecom,outsourcing/offshoring,linkedin.com/company/blue-point-telecom,bucharest,blue point telecom,bucuresti,201-500,blue-point.ro
romania,2012,transcom-danmar,import and export,linkedin.com/company/transcom-danmar,piteşti,transcom danmar,arges,11-50,frigo-express.ro
romania,"",millennium-bank,banking,linkedin.com/company/millennium-bank,"",millennium bank,"",501-1000,millenniumbank.ro
romania,2011,the-csr-agency,management consulting,linkedin.com/company/the-csr-agency,"",the csr agency,bucureşti,1-10,thecsragency.ro
romania,"",car-invatamant,"",linkedin.com/company/car-invatamant,"",car invatamant,"",51-200,car-invatamant.ro
romania,2010,epoque-hotel-bucharest,hospitality,linkedin.com/company/epoque-hotel-bucharest,bucharest,epoque hotel bucharest,bucuresti,51-200,epoque.ro
romania,"",esperandza-com-impex,"",linkedin.com/company/esperandza-com-impex,"",esperandza com impex,"",11-50,esperandza.ro
romania,2007,expert-it-srl,information technology and services,linkedin.com/company/expert-it-srl,reghin,expert it srl,mures,1-10,expertit.ro
romania,"",aquamarin-clinique,mental health care,linkedin.com/company/aquamarin-clinique,"","clinica aquamarin - psihologie, psihoterapie",bucureşti,1-10,aquamarin.ro
romania,1994,casaautotimisoara,automotive,linkedin.com/company/casaautotimisoara,timisoara,casa auto timisoara,timis,51-200,casaautotimisoara.ro
romania,"",onlinet-systems,information technology and services,linkedin.com/company/onlinet-systems,"",onlinet systems,bucureşti,11-50,onlinet.ro
romania,2014,brand-a-leader,higher education,linkedin.com/company/brand-a-leader,"",brand a leader,"",1-10,intrapenor.ro
romania,"",romanel,building materials,linkedin.com/company/romanel,bucharest,romanel,bucuresti,501-1000,romanel.ro
romania,"",atom-hosting,telecommunications,linkedin.com/company/atom-hosting,"",atom hosting,"",1-10,atom-hosting.com
romania,1994,cosmétiques-de-france,cosmetics,linkedin.com/company/cosmétiques-de-france,"",cosmétiques de france,bucuresti,501-1000,cosmetiquesdefrance.com
romania,"",kbt-equipment,machinery,linkedin.com/company/kbt-equipment,"",kbt equipment,"",1-10,cabinestivuitoare.ro
romania,2002,alf-company,real estate,linkedin.com/company/alf-company,pipera,alf company,ilfov,11-50,alfcompany.ro
romania,2012,hogash,internet,linkedin.com/company/hogash,bucharest,hogash,bucuresti,1-10,hogash.com
romania,2018,homemade-advertising,marketing and advertising,linkedin.com/company/homemade-advertising,bucharest,homemade advertising,bucuresti,1-10,homemade.agency
romania,2004,sato-imobiliare,real estate,linkedin.com/company/sato-imobiliare,"",sato imobiliare,bucureşti,1-10,satoimobiliare.ro
romania,"",resurse-psy,human resources,linkedin.com/company/resurse-psy,"",resurse psy,"",1-10,resursepsy.ro
romania,2008,lee-white-management,facilities services,linkedin.com/company/lee-white-management,"",lee white management,"",51-200,leewhite.ro
romania,"",delta-clinic-dent,"",linkedin.com/company/delta-clinic-dent,"",delta clinic dent,bucureşti,1-10,""
romania,2005,professional-translations,translation and localization,linkedin.com/company/professional-translations,timisoara,professional translations,timis,1-10,professional-translations.eu
romania,"",regie-radio-music,"",linkedin.com/company/regie-radio-music,"",regie radio music,"",11-50,rrm.ro
romania,"",vipas,"",linkedin.com/company/vipas,"",vipas,"",11-50,vipas.ro
romania,2014,csomopont,civic & social organization,linkedin.com/company/csomopont,"",csomopont,covasna,1-10,csomopont.com
romania,2003,neon-sign-romania,architecture & planning,linkedin.com/company/neon-sign-romania,reghin,neon&sign reghin,mures,51-200,neon-sign.ro
romania,1996,thyssenkrupp-bilstein,automotive,linkedin.com/company/thyssenkrupp-bilstein,cristian,thyssenkrupp bilstein sibiu,sibiu,501-1000,bilstein.ro
romania,"",azuga-waters,"",linkedin.com/company/azuga-waters,"",azuga waters,"",11-50,azugawaters.ro
romania,"",ctotech,computer software,linkedin.com/company/ctotech,"",ctotech,cluj,1-10,ctotech.io
romania,2016,aptet-hr,human resources,linkedin.com/company/aptet-hr,bucharest,aptet hr,bucuresti,1-10,aptet.ro
romania,1993,matrix-rom,computer software,linkedin.com/company/matrix-rom,bucharest,matrix rom,bucuresti,11-50,matrixrom.ro
romania,2004,internet-marketing-online-timisoara,gambling & casinos,linkedin.com/company/internet-marketing-online-timisoara,timisoara,internet marketing online timisoara,timis,51-200,imoservices.com
romania,"",cg-tech-labs,information technology and services,linkedin.com/company/cg-tech-labs,bucharest,cg tech labs,bucuresti,1-10,cgtechlabs.com
romania,1991,cronos-romania,business supplies and equipment,linkedin.com/company/cronos-romania,targoviste,cronos romania,dambovita,11-50,cronos-tgv.ro
romania,"",asociatialumebuna,education management,linkedin.com/company/asociatialumebuna,bucharest,asociatia lume buna,bucuresti,1-10,asociatialumebuna.com
romania,2019,frenchtechbucharest,information technology and services,linkedin.com/company/frenchtechbucharest,bucharest,french tech bucharest,bucuresti,1-10,""
romania,2016,grte-real-estate-investment,real estate,linkedin.com/company/grte-real-estate-investment,"",grte real estate investment,"",1-10,grte.ro
romania,"",iridex_2,civil engineering,linkedin.com/company/iridex_2,"",iridex,"",501-1000,iridexgroup.ro
romania,2013,vires-construct-srl,construction,linkedin.com/company/vires-construct-srl,"",vires construct srl,cluj,11-50,viresconstruct.com
romania,2015,leaders-reunited,online media,linkedin.com/company/leaders-reunited,bucharest,leaders reunited,bucuresti,1-10,leadersreunited.com
romania,2009,dachser-romania-srl,logistics and supply chain,linkedin.com/company/dachser-romania-srl,"",dachser romania srl,"",1-10,""
romania,2006,dolphin-communication-management,marketing and advertising,linkedin.com/company/dolphin-communication-management,"",dolphin communication management,bucuresti,11-50,dolphinmanagement.ro
romania,2011,fundatia-comunitara-bucuresti,non-profit organization management,linkedin.com/company/fundatia-comunitara-bucuresti,"",fundația comunitară bucurești,bucureşti,1-10,fundatiacomunitarabucuresti.ro
romania,"",mysong,entertainment,linkedin.com/company/mysong,"",mysong,"",1-10,mysong.ro
romania,2007,uzina-de-logo-srl,design,linkedin.com/company/uzina-de-logo-srl,bucharest,uzina de logo srl,bucuresti,1-10,delogo.ro
romania,"",rivium-galeria-mall-srl,retail,linkedin.com/company/rivium-galeria-mall-srl,"",rivium galeria mall srl,"",1-10,moldovamall.ro
romania,2014,next-gen-leaders-hub,education management,linkedin.com/company/next-gen-leaders-hub,bucharest,next gen leaders hub,bucuresti,1-10,nextgenclub.org
romania,2005,konis-kon,packaging and containers,linkedin.com/company/konis-kon,iasi,konis kon,iasi,11-50,konis.ro
romania,2004,ruxandra-elena-gindu-law-firm,legal services,linkedin.com/company/ruxandra-elena-gindu-law-firm,bucharest,ruxandra elena gindu law firm,bucuresti,1-10,avocat-gindu.ro
romania,2010,edge-business-restructuring-advisors-sprl,management consulting,linkedin.com/company/edge-business-restructuring-advisors-sprl,bucharest,edge business restructuring advisors sprl,bucuresti,1-10,edgeadvisors.ro
romania,1932,cluj-napoca-international-airport,aviation & aerospace,linkedin.com/company/cluj-napoca-international-airport,"",cluj-napoca international airport,cluj,201-500,""
romania,1993,opticris,retail,linkedin.com/company/opticris,"",opticris,"",11-50,opticris.ro
romania,2000,resonance-distribution,retail,linkedin.com/company/resonance-distribution,iasi,resonance distribution,iasi,51-200,resonance.ro
romania,2019,corebapp,information technology and services,linkedin.com/company/corebapp,"",corebapp | core business applications srl,ilfov,1-10,corebapp.com
romania,2015,webmarc,information technology and services,linkedin.com/company/webmarc,"",webmarc,bucureşti,11-50,""
romania,2016,decorentromania,events services,linkedin.com/company/decorentromania,bucharest,decorent,bucuresti,1-10,decorent.ro
romania,2018,the-guild-hall-cluj,recreational facilities and services,linkedin.com/company/the-guild-hall-cluj,"",the guild hall,cluj,1-10,guildhall.ro
romania,1997,smartsoft3ss,computer software,linkedin.com/company/smartsoft3ss,"",smartsoft,mures,51-200,smartsoft.ro
romania,2005,kingsmen-estate,real estate,linkedin.com/company/kingsmen-estate,"",kingsmen estate,bucureşti,1-10,kingsmen-estate.ro
romania,"",afi-europe-cotroceni-mall-bucharest-romania,recreational facilities and services,linkedin.com/company/afi-europe-cotroceni-mall-bucharest-romania,"","afi europe,cotroceni mall-bucharest romania","",51-200,afi-europe.eu
romania,"",clinica-urechii,medical practice,linkedin.com/company/clinica-urechii,"",clinica urechii,"",1-10,clinicaurechii.ro
romania,2008,bio-circle-surface-technology-srl,chemicals,linkedin.com/company/bio-circle-surface-technology-srl,"",bio-circle surface technology srl,braşov,11-50,bio-circle.ro
romania,"",tibi-clenci,"",linkedin.com/company/tibi-clenci,"",tibi clenci,"",1-10,tibiclenci.com
romania,2015,foundation-of-assessment-in-education,computer software,linkedin.com/company/foundation-of-assessment-in-education,"",fundatia de evaluare in educatie,"",1-10,yokomedia.ro
romania,2007,z&a-logistic,farming,linkedin.com/company/z&a-logistic,arad,z&a logistic,arad,1-10,zalogistic.ro
romania,1990,j&r-enterprises,apparel & fashion,linkedin.com/company/j&r-enterprises,bucharest,j&r enterprises,bucuresti,1001-5000,jaren.ro
romania,1994,paper-print-invest,printing,linkedin.com/company/paper-print-invest,"",paper print invest,braila,1-10,tipografiebraila.ro
romania,"",business-risto-development,"",linkedin.com/company/business-risto-development,feleacu,business risto development,cluj,1-10,""
romania,2008,x-hostel,hospitality,linkedin.com/company/x-hostel,bucharest,x hostel,bucuresti,11-50,xhostel.com
romania,2009,ayonesoftware,information technology and services,linkedin.com/company/ayonesoftware,iasi,ayone software,iasi,1-10,ayonesoftware.com
romania,"",quick-service,"",linkedin.com/company/quick-service,"",quick service,"",201-500,qs.ro
romania,2001,exe-software,computer software,linkedin.com/company/exe-software,bucharest,exe software,bucuresti,51-200,exesoftware.ro
romania,"",pegas-srl,food production,linkedin.com/company/pegas-srl,"",pegas srl,"",1-10,pegas.md
romania,"",hotel-koronna,hospitality,linkedin.com/company/hotel-koronna,timisoara,hotel koronna,timis,11-50,hotelkoronna.ro
romania,"",diamedix-impex-sa,"",linkedin.com/company/diamedix-impex-sa,"",diamedix impex sa,"",51-200,""
romania,1994,international-g&t,mechanical or industrial engineering,linkedin.com/company/international-g&t,"",international g&t,ilfov,11-50,internationalgt.ro
romania,2002,efectro-srl,information technology and services,linkedin.com/company/efectro-srl,"",efect.ro,"",11-50,efect.ro
romania,"",sepala,furniture,linkedin.com/company/sepala,"",sepala,"",11-50,sepala.ro
romania,2017,elixirtravel,"leisure, travel & tourism",linkedin.com/company/elixirtravel,ploieşti,elixir travel,prahova,1-10,elixirtravel.ro
romania,2018,vasile-buciuman-attorneys,legal services,linkedin.com/company/vasile-buciuman-attorneys,bucharest,vasile & buciuman | attorneys,bucuresti,1-10,vbalaw.ro
romania,2011,vertical-media-studio,design,linkedin.com/company/vertical-media-studio,"",vertical media studio,"",1-10,verticalmediastudio.com
romania,"",automatic-control,design,linkedin.com/company/automatic-control,"",automatic control,"",11-50,automatic-control.ro
romania,"",softwarex-srl,information technology and services,linkedin.com/company/softwarex-srl,"",softwarex srl,"",1-10,""
romania,2000,pharma-iasi,pharmaceuticals,linkedin.com/company/pharma-iasi,iasi,pharma iasi,iasi,201-500,pharma-iasi.ro
romania,2010,visual-playground-design-school,design,linkedin.com/company/visual-playground-design-school,bucharest,visual playground design school,bucuresti,1-10,visualplayground.ro
romania,1994,cord-impex,logistics and supply chain,linkedin.com/company/cord-impex,"",cord impex,"",201-500,cordimpex.ro
romania,"",cronus-ebusiness,information technology and services,linkedin.com/company/cronus-ebusiness,"",cronus ebusiness,"",11-50,cronus.ro
romania,2007,hyllan-pharma,pharmaceuticals,linkedin.com/company/hyllan-pharma,bucharest,hyllan pharma,bucuresti,51-200,hyllan.ro
romania,"",wall-street-cafe-trading,"",linkedin.com/company/wall-street-cafe-trading,craiova,wall street café,dolj,11-50,""
