country,founded,id,industry,linkedin_url,locality,name,region,size,website
russia,2016,sunstrikestudios,computer games,linkedin.com/company/sunstrikestudios,saint petersburg,sunstrike studios,st.-petersburg,51-200,sunstrikestudios.com
russia,1995,соверен-банк,banking,linkedin.com/company/соверен-банк,"","","",51-200,svrbank.ru
russia,"",institute-for-biological-instrumentation-of-russian-academy-of-sciences,research,linkedin.com/company/institute-for-biological-instrumentation-of-russian-academy-of-sciences,pushchino,institute for biological instrumentation of russian academy of sciences,moskva,11-50,ibp-ran.ru
russia,2003,aswellas,staffing and recruiting,linkedin.com/company/aswellas,"",a.s. wellas,volgograd,11-50,""
russia,2012,gordost,human resources,linkedin.com/company/gordost,moscow,gordost,moscow,11-50,gordo.st
russia,2017,greenway-worldwide-consumer-network,consumer goods,linkedin.com/company/greenway-worldwide-consumer-network,"",greenway worldwide partner network,novosibirsk,10001+,mygreenway.com
russia,2010,-smsfinance-,financial services,linkedin.com/company/-smsfinance-,novosibirsk,[ smsfinance },novosibirsk,51-200,smsfinance.ru
russia,2010,total-cargo-management,logistics and supply chain,linkedin.com/company/total-cargo-management,moscow,total cargo management,moscow city,1-10,total-cargo.ru
russia,"",novosibirsk-institute-of-economics-and-management,research,linkedin.com/company/novosibirsk-institute-of-economics-and-management,moscow,novosibirsk institute of economics and management,moscow,11-50,ukc-sputnik.ru
russia,2011,ооо-торговый-дом-бф-,pharmaceuticals,linkedin.com/company/ооо-торговый-дом-бф-,"","","",51-200,td-bf.ru
russia,"",creative-machinery-and-tool-corporation,business supplies and equipment,linkedin.com/company/creative-machinery-and-tool-corporation,"",creative machinery and tool corporation,"",11-50,jonwai.ru
russia,2010,vestnik,newspapers,linkedin.com/company/vestnik,moscow,vestnik,moscow city,1-10,""
russia,"",kinolab,architecture & planning,linkedin.com/company/kinolab,moskva,kinolab,pskov,11-50,kinolab.ru
russia,2007,георг-полимер,packaging and containers,linkedin.com/company/георг-полимер,"","","",51-200,georgpolymer.ru
russia,"",apride-logistic,"",linkedin.com/company/apride-logistic,"",apride logistic,"",1-10,apride.ru
russia,2015,rizolux,arts and crafts,linkedin.com/company/rizolux,moscow,rizo,moscow city,11-50,rizolux.com
russia,2006,premiere-video,motion pictures and film,linkedin.com/company/premiere-video,"",premiere video,"",11-50,premiere-video.ru
russia,2012,impex-industry-llc,wholesale,linkedin.com/company/impex-industry-llc,"",impex industry llc,"",1-10,impexindustry.info
russia,2008,fortune-communications,public relations and communications,linkedin.com/company/fortune-communications,"",fortune communications,moscow,1-10,fortune-com.ru
russia,1998,bic-inform-ltd-,security and investigations,linkedin.com/company/bic-inform-ltd-,saint petersburg,bic-inform ltd.,st.-petersburg,11-50,bic-inform.ru
russia,"",klk-leasing-uk,financial services,linkedin.com/company/klk-leasing-uk,"",klk leasing uk,"",11-50,klk-leasing.ru
russia,"",aivengo,"",linkedin.com/company/aivengo,saint petersburg,aivengo,st.-petersburg,11-50,aivengo-cargo.spb.ru
russia,2008,angel-taxi-com-79-angel-taxi,transportation/trucking/railroad,linkedin.com/company/angel-taxi-com-79-angel-taxi,"",angel-taxi.com +79-angel-taxi,moscow,1001-5000,angel-taxi.com
russia,"",aerzenrus,mechanical or industrial engineering,linkedin.com/company/aerzenrus,"",aerzen rus ooo,moscow,11-50,""
russia,"",qwantel,marketing and advertising,linkedin.com/company/qwantel,"",qwantel,"",1-10,qwantel.ru
russia,1991,romona-inc,oil & energy,linkedin.com/company/romona-inc,"",romona inc,sakhalin,51-200,romona.ru
russia,"",premiumflor,"",linkedin.com/company/premiumflor,"",premiumflor,"",1-10,premiumflor.ru
russia,2014,рекламная-студия-медиа-партнер-,marketing and advertising,linkedin.com/company/рекламная-студия-медиа-партнер-,"",media partner,"",11-50,media-partner.pro
russia,2012,auto-testing-ru,information technology and services,linkedin.com/company/auto-testing-ru,"",auto-testing.ru,"",11-50,auto-testing.ru
russia,2010,russian-film-service-ltd,motion pictures and film,linkedin.com/company/russian-film-service-ltd,"",russian film service,"",1-10,russianfilmservice.ru
russia,"",amparo,"",linkedin.com/company/amparo,"",amparo,"",11-50,amparo.com.ru
russia,2002,orby,consumer goods,linkedin.com/company/orby,"",orby,kostroma,501-1000,orby.ru
russia,1987,biopharmos-group,biotechnology,linkedin.com/company/biopharmos-group,st petersburg,biopharmos group,st.-petersburg,11-50,bioconstructor.ru
russia,2014,квадрат-медведя,media production,linkedin.com/company/квадрат-медведя,"","","",11-50,sqbr.ru
russia,1995,laima-lux-group,wholesale,linkedin.com/company/laima-lux-group,moscow,laima lux group,moscow city,51-200,laimalux.com
russia,"",vnt-group,"",linkedin.com/company/vnt-group,"",vnt group,"",11-50,vntgroup.ru
russia,"",summerpalace,"",linkedin.com/company/summerpalace,"",summerpalace,"",1-10,""
russia,1928,myllyn-paras-russia,food & beverages,linkedin.com/company/myllyn-paras-russia,"",myllyn paras russia,moscow,51-200,myllynparas.ru
russia,1991,russia-partners,venture capital & private equity,linkedin.com/company/russia-partners,"",russia partners,moscow,11-50,russiapartners.com
russia,2013,magellanstrategy,management consulting,linkedin.com/company/magellanstrategy,moscow,magellan,moscow city,1-10,magellanstrategy.ru
russia,2013,агентство-salesmotor,marketing and advertising,linkedin.com/company/агентство-salesmotor,"",агентство salesmotor,"",1-10,salesmotor.ru
russia,"",g2-moscow,marketing and advertising,linkedin.com/company/g2-moscow,"",g2 moscow,"",51-200,g2moscow.ru
russia,2013,lowlands-accounting-services-russia,accounting,linkedin.com/company/lowlands-accounting-services-russia,moscow,lowlands accounting services russia,moscow city,11-50,lowlands.ru
russia,1998,institute-of-the-information-society,information technology and services,linkedin.com/company/institute-of-the-information-society,moscow,institute of the information society,moscow,11-50,iis.ru
russia,"",gigafone-technologies-ltd-,telecommunications,linkedin.com/company/gigafone-technologies-ltd-,moscow,gigafone technologies ltd.,moscow,11-50,gigafone.com
russia,2012,cariera-si-personalitate,human resources,linkedin.com/company/cariera-si-personalitate,"",cariera si personalitate,"",1-10,carierasipersonalitate.ro
russia,2018,ceo-russia,investment banking,linkedin.com/company/ceo-russia,moskva,ceo russia,pskov,501-1000,""
russia,2017,be-one-co,internet,linkedin.com/company/be-one-co,"",be-one.co,moscow,1-10,be-one.co
russia,2009,-gemini-guild,architecture & planning,linkedin.com/company/-gemini-guild,"",:gemini guild,moscow,11-50,oogemini.ru
russia,2016,rybakovfoundation,philanthropy,linkedin.com/company/rybakovfoundation,moskva,rybakov foundation,pskov,11-50,rybakovfond.ru
russia,2018,mpstrategy,management consulting,linkedin.com/company/mpstrategy,moscow,mp strategy,moscow,1-10,mpstrategy.net
russia,"",russian-academy-of-economics,information technology and services,linkedin.com/company/russian-academy-of-economics,"",russian academy of economics,"",1001-5000,""
russia,"",baltexpert,"",linkedin.com/company/baltexpert,"",baltexpert,"",1-10,baltexpert39.ru
russia,2013,softcraft-ru,computer software,linkedin.com/company/softcraft-ru,kazan,softcraft offshore custom software development,tatarstan,51-200,softcraft.io
russia,2012,томесто,information technology and services,linkedin.com/company/томесто,"",tomesto,"",51-200,tomesto.ru
