country,founded,id,industry,linkedin_url,locality,name,region,size,website
réunion,2009,lacoupure,motion pictures and film,linkedin.com/company/lacoupure,"",lacoupure,"",1-10,lacoupure.net
réunion,"",afpar,"",linkedin.com/company/afpar,"",afpar,"",501-1000,afpar.com
réunion,"",qwalilab,environmental services,linkedin.com/company/qwalilab,la possession,qwalilab,reunion,11-50,qwalilab.fr
réunion,2013,sun-hotel,hospitality,linkedin.com/company/sun-hotel,"",sun hotel,"",11-50,hotelsun.ro
réunion,"",arh-immobilier,real estate,linkedin.com/company/arh-immobilier,"",arh immobilier,"",11-50,arhimmobilier.com
réunion,"",darwin-concept,architecture & planning,linkedin.com/company/darwin-concept,"",darwin concept,reunion,51-200,darwin-concept.com
réunion,"",grandparent,civic & social organization,linkedin.com/company/grandparent,"",grandparent,reunion,1-10,""
réunion,1992,format-sarl,information technology and services,linkedin.com/company/format-sarl,"",format sarl,reunion,11-50,format.fr
réunion,"",3-brasseurs-de-ste-marie,"",linkedin.com/company/3-brasseurs-de-ste-marie,"",3 brasseurs de ste marie,"",11-50,les3brasseurs.re
réunion,1995,c-carre,marketing and advertising,linkedin.com/company/c-carre,"",c carre marketing,"",1-10,c-carre.com
réunion,2016,pamplemousse-light,architecture & planning,linkedin.com/company/pamplemousse-light,"",pamplemousse light,reunion,1-10,pamplemousselight.com
réunion,"",provanille,computer software,linkedin.com/company/provanille,"",provanille,reunion,11-50,""
réunion,1980,moto-2000,automotive,linkedin.com/company/moto-2000,"",moto 2000,reunion,11-50,moto2000.re
réunion,"",lycee-general-et-technologique-pierre-poivre,primary/secondary education,linkedin.com/company/lycee-general-et-technologique-pierre-poivre,"",lycee general et technologique pierre poivre,reunion,51-200,""
réunion,"",stm-logistique-translog,transportation/trucking/railroad,linkedin.com/company/stm-logistique-translog,le port,stm logistique & translog,reunion,11-50,transports-cheung.fr
