country,founded,id,industry,linkedin_url,locality,name,region,size,website
saudi arabia,2016,rootsaudi,information technology and services,linkedin.com/company/rootsaudi,"",rootsaudi,"",11-50,root.sa
saudi arabia,2008,cranes-and-steel-co-,mechanical or industrial engineering,linkedin.com/company/cranes-and-steel-co-,jeddah,cranes & steel | karrar,makkah,51-200,cranes-steel.com
saudi arabia,2003,age-contracting,construction,linkedin.com/company/age-contracting,jeddah,age contracting,makkah,51-200,age.sa
saudi arabia,2007,cleantech-gulf-fzco,business supplies and equipment,linkedin.com/company/cleantech-gulf-fzco,riyadh,cleantech gulf fzco,ar riyāḑ,1-10,cleantechgulf.com
saudi arabia,"",ballast-nedam-groep-nv,events services,linkedin.com/company/ballast-nedam-groep-nv,riyadh,ballast nedam groep nv,ar riyāḑ,1-10,constructarabia.com
saudi arabia,1995,alhaddad-medical,hospital & health care,linkedin.com/company/alhaddad-medical,jeddah,alhaddad medical,makkah,11-50,haddadmed.com
saudi arabia,2008,nabila's-creations,arts and crafts,linkedin.com/company/nabila's-creations,riyadh,nabila's creations,ar riyāḑ,1-10,nabilascreations.com
saudi arabia,1986,alshera-a-holding-company,"",linkedin.com/company/alshera-a-holding-company,riyadh,alshera'a holding co.,ar riyāḑ,201-500,""
saudi arabia,2008,nau-marketing,marketing and advertising,linkedin.com/company/nau-marketing,riyadh,nau marketing,ar riyāḑ,11-50,naumarketing.com
saudi arabia,2010,arabian-energy-systems,electrical/electronic manufacturing,linkedin.com/company/arabian-energy-systems,"",arabian energy systems,"",51-200,ensys.com.sa
saudi arabia,2016,gulf-think-tank,think tanks,linkedin.com/company/gulf-think-tank,riyadh,gulf think tank | مركز الخليج لدعم اتخاذ القرار,ar riyāḑ,11-50,gulfthinktank.org
saudi arabia,"",hadia-abdul-latif-jameel-co.,real estate,linkedin.com/company/hadia-abdul-latif-jameel-co.,"",hadia abdul latif jameel co.,"",51-200,jameelsquare.com
saudi arabia,2018,7marksco,public relations and communications,linkedin.com/company/7marksco,"",seven marks,makkah,11-50,7marks.co
saudi arabia,2019,moather-sa,marketing and advertising,linkedin.com/company/moather-sa,riyadh,moather-sa,ar riyāḑ,11-50,moather.co
saudi arabia,"",carlo-gavazzi-arabia-co-ltd-,"",linkedin.com/company/carlo-gavazzi-arabia-co-ltd-,"",carlo gavazzi arabia co. ltd.,"",201-500,carlogavazziarabia.com
saudi arabia,"",saudi-arabian-agencies-ltd,information technology and services,linkedin.com/company/saudi-arabian-agencies-ltd,jeddah,saudi arabian agencies ltd,makkah,1-10,""
saudi arabia,"",kayan-club-نادي-كيان,professional training & coaching,linkedin.com/company/kayan-club-نادي-كيان,khobar,kayan club - نادي كيان,eastern province,1-10,""
saudi arabia,"",omatra,"",linkedin.com/company/omatra,"",omatra,"",51-200,omatra.org
saudi arabia,2003,3asolutions-group,management consulting,linkedin.com/company/3asolutions-group,riyadh,3asolutions group,ar riyāḑ,11-50,3asgroup.com
saudi arabia,1989,king-fahd-military-medical-complex,hospital & health care,linkedin.com/company/king-fahd-military-medical-complex,"",king fahad military medical complex - kfmmc,"",10001+,kfmmc.med.sa
saudi arabia,1970,mepsaudi,government administration,linkedin.com/company/mepsaudi,riyadh,ministry of economy and planning - mepsaudi,ar riyāḑ,1001-5000,mep.gov.sa
saudi arabia,2016,saudi-tech-team,computer networking,linkedin.com/company/saudi-tech-team,riyadh,saudi tech team,ar riyāḑ,10001+,sauditechteam.org
saudi arabia,"",center-for-consulting-and-health-skills-training,"",linkedin.com/company/center-for-consulting-and-health-skills-training,"",center for consulting and health skills training,"",1-10,cmegulf-online.net
saudi arabia,"",gulf-west-co-ltd,"",linkedin.com/company/gulf-west-co-ltd,"",gulf west co. ltd,"",51-200,gulfwest.com.sa
saudi arabia,1982,gulf-haulage-heavy-lift-co-,transportation/trucking/railroad,linkedin.com/company/gulf-haulage-heavy-lift-co-,dammam,gulf haulage heavy lift co.,eastern province,501-1000,ghhl.net
saudi arabia,1990,asconarabia,information technology and services,linkedin.com/company/asconarabia,riyadh,ascon erp arabia,ar riyāḑ,201-500,""
saudi arabia,"",dhts,oil & energy,linkedin.com/company/dhts,jubail,d'hondt thermal solutions,eastern province,201-500,dh-ts.com
saudi arabia,2017,flion-media,online media,linkedin.com/company/flion-media,jeddah,flion media,makkah,1-10,flion.co
saudi arabia,"",identiti-saudi-arabia,computer software,linkedin.com/company/identiti-saudi-arabia,riyadh,identiti - saudi arabia,ar riyāḑ,501-1000,itentiti.team
saudi arabia,2014,سافي-savvy,retail,linkedin.com/company/سافي-savvy,"",savvy shop,"",1-10,savvy.sa
saudi arabia,2010,global-standards,management consulting,linkedin.com/company/global-standards,jeddah,global standards,makkah,11-50,globalstandards.com.pk
saudi arabia,2010,uturnent,entertainment,linkedin.com/company/uturnent,"",uturn entertainment,"",51-200,uturn.me
saudi arabia,"",jamal-baghlaf-holding,hospitality,linkedin.com/company/jamal-baghlaf-holding,riyadh,jamal baghlaf holding group,ar riyāḑ,501-1000,amalalkhair.com
saudi arabia,2010,dar-delta-information-technology,information technology and services,linkedin.com/company/dar-delta-information-technology,riyadh,dar delta for information technology,ar riyāḑ,51-200,dardelta.com.sa
saudi arabia,1978,sabb,banking,linkedin.com/company/sabb,riyadh,sabb,ar riyāḑ,1001-5000,sabb.com
saudi arabia,2015,hroof-حروف,media production,linkedin.com/company/hroof-حروف,mecca,hroof | حروف,makkah,11-50,hroof.tv
saudi arabia,"",distinctcare,apparel & fashion,linkedin.com/company/distinctcare,jeddah,sotra,makkah,11-50,sotraonline.com
saudi arabia,2018,nuzhah,internet,linkedin.com/company/nuzhah,riyadh,nuzhah,ar riyāḑ,1-10,nuzhah.co
saudi arabia,"",infgme,information technology and services,linkedin.com/company/infgme,riyadh,infinigence consulting wll,ar riyāḑ,1-10,infinigence.me
saudi arabia,1996,advanced-construction-company-for-contracting-maintenance,construction,linkedin.com/company/advanced-construction-company-for-contracting-maintenance,jeddah,advanced construction co. for contracting& maintenance,makkah,501-1000,advancedconstruction.com.sa
saudi arabia,"",durrat-arriyadh-development-company,real estate,linkedin.com/company/durrat-arriyadh-development-company,"",durrat arriyadh development company,"",11-50,durratarriyadh.com.sa
saudi arabia,"",sharqawi-ducting-factory,building materials,linkedin.com/company/sharqawi-ducting-factory,jeddah,sharqawi ducting factory,makkah,1-10,""
saudi arabia,2002,zenith-arabia,information technology and services,linkedin.com/company/zenith-arabia,"",zenith arabia,"",11-50,zenitharabia.com.sa
saudi arabia,2017,tedxalrakkah,non-profit organization management,linkedin.com/company/tedxalrakkah,"",tedxalrakkah,"",11-50,tedxalrakkah.com
saudi arabia,2002,continental-technologies-w.l.l.,information technology and services,linkedin.com/company/continental-technologies-w.l.l.,"",continental technologies w.l.l.,"",11-50,conti-tech.com
saudi arabia,1977,al-tuwairqi-group,mining & metals,linkedin.com/company/al-tuwairqi-group,dammam,al tuwairqi group,eastern province,1001-5000,altuwairqi.com
saudi arabia,2015,warm-&-frosty-café,food & beverages,linkedin.com/company/warm-&-frosty-café,jeddah,warm & frosty café,makkah,1-10,warmfrosty.com
saudi arabia,2015,tech-design,computer & network security,linkedin.com/company/tech-design,"",tech design,"",1-10,t-d.sa
saudi arabia,2017,iipc,chemicals,linkedin.com/company/iipc,riyadh,innovative industrial products co.,ar riyāḑ,11-50,iipc.com.sa
saudi arabia,2016,relaynetworks,computer software,linkedin.com/company/relaynetworks,riyadh,relaynetworks,ar riyāḑ,1-10,relaybiz.com
