country,founded,id,industry,linkedin_url,locality,name,region,size,website
senegal,"",agence-immobilière-dakar,real estate,linkedin.com/company/agence-immobilière-dakar,dakar,agence immobilière dakar,dakar,1-10,mbimmofrance.com
senegal,2015,challenge-2000-sarl,construction,linkedin.com/company/challenge-2000-sarl,"",challenge 2000 sarl,kedougou,11-50,challenge2000.sn
senegal,2018,ksbimmobilier,real estate,linkedin.com/company/ksbimmobilier,"",ksb immobilier,dakar,1-10,ksb-immo.com
senegal,2016,lesenfantsdabord,philanthropy,linkedin.com/company/lesenfantsdabord,thies,les enfants d'abord,thies,1-10,enfants-dabord.org
senegal,2017,terangabusiness,computer software,linkedin.com/company/terangabusiness,dakar,teranga business solutions,dakar,1-10,terangabusiness.com
senegal,2012,sen-assurance-vie,insurance,linkedin.com/company/sen-assurance-vie,"",sen assurance vie,"",11-50,senassurancevie.sn
senegal,2017,ieconsulting,management consulting,linkedin.com/company/ieconsulting,dakar,intelligence and excellence consulting,dakar,1-10,""
senegal,2014,hommage-services-communication,marketing and advertising,linkedin.com/company/hommage-services-communication,dakar,hommage communication,dakar,1-10,hommagecommunication.com
senegal,2016,engineering-and-supplies-services-sarl,civil engineering,linkedin.com/company/engineering-and-supplies-services-sarl,"",engineering and supplies services sarl,dakar,1-10,""
senegal,2019,brainbox-lab,media production,linkedin.com/company/brainbox-lab,"",brainbox lab,dakar,1-10,brainboxlab.net
senegal,"",rcd-africa,publishing,linkedin.com/company/rcd-africa,"",the regional consortium for development (rcd africa),dakar,11-50,rced.org
senegal,2009,dariss-consulting-officiel,information technology and services,linkedin.com/company/dariss-consulting-officiel,"",dariss consulting (officiel),dakar,1-10,""
senegal,2013,kiya-software-&-solutions-informatique-technologie,computer software,linkedin.com/company/kiya-software-&-solutions-informatique-technologie,"",kiya software & solutions informatique / technologie,dakar,1-10,kiyasoft.net
senegal,"",ydk-international-consulting,"",linkedin.com/company/ydk-international-consulting,dakar,ydk international consulting,dakar,1-10,ydkic.com
senegal,2013,idev-tech,information technology and services,linkedin.com/company/idev-tech,dakar,idev technologies,dakar,51-200,""
senegal,2016,e-jaaba,consumer services,linkedin.com/company/e-jaaba,dakar,e-jaaba,dakar,1-10,cosmoscreances.com
senegal,"",diallo-tours-services,"leisure, travel & tourism",linkedin.com/company/diallo-tours-services,"",diallo tours services,"",1-10,diallotours.com
senegal,2019,mapinvest-holding,financial services,linkedin.com/company/mapinvest-holding,"",mapinvest holding,dakar,11-50,mapinvest.sn
senegal,"",mtick,consumer services,linkedin.com/company/mtick,dakar,mtick,dakar,1-10,mtick.sn
senegal,2016,gns-afrique-global-network-solution-,computer networking,linkedin.com/company/gns-afrique-global-network-solution-,"",gns afrique (global network solution),dakar,1-10,gnsafrique.com
senegal,"",somicoa,maritime,linkedin.com/company/somicoa,dakar,somicoa,dakar,51-200,""
senegal,"",cabinet-archik,architecture & planning,linkedin.com/company/cabinet-archik,dakar,archik,dakar,1-10,""
senegal,2016,afrika---rh,human resources,linkedin.com/company/afrika---rh,"",afrika- rh,dakar,1-10,afrikarh.com
senegal,2017,beugue-lire,libraries,linkedin.com/company/beugue-lire,"",beugue lire,dakar,1-10,beuguelire.com
