country,founded,id,industry,linkedin_url,locality,name,region,size,website
serbia,"",putevi-ad-uzice,civil engineering,linkedin.com/company/putevi-ad-uzice,uzice,putevi ad uzice,vojvodina,201-500,puteviuzice.com
serbia,2010,breeze-e-magazine,online media,linkedin.com/company/breeze-e-magazine,belgrade,breeze magazin,central serbia,1-10,breeze.rs
serbia,2013,bs4u-balkan-d-o-o-,gambling & casinos,linkedin.com/company/bs4u-balkan-d-o-o-,belgrade,bs4u balkan d.o.o.,central serbia,11-50,bs4u.rs
serbia,2008,art-school-da-vinci,fine art,linkedin.com/company/art-school-da-vinci,niš,art school da vinci,central serbia,1-10,studiodavinci.rs
serbia,2007,civis-association-of-ngos-of-southeast-europe,civic & social organization,linkedin.com/company/civis-association-of-ngos-of-southeast-europe,belgrade,civis association of ngos of southeast europe,central serbia,1-10,civis-see.org
serbia,2018,association-for-promoting-cultural-diversity-alia-mundi,publishing,linkedin.com/company/association-for-promoting-cultural-diversity-alia-mundi,vozdovac,association for promoting cultural diversity alia mundi,belgrade,1-10,""
serbia,1991,konto-servis,accounting,linkedin.com/company/konto-servis,cukarica,konto servis,"",1-10,knjigovodstvena-agencija-cukarica.com
serbia,2017,multicateringpro,food production,linkedin.com/company/multicateringpro,novi beograd,multicatering catering pro,vojvodina,11-50,ketering.catering
serbia,"",fashion-company,retail,linkedin.com/company/fashion-company,belgrade,fashion company,central serbia,201-500,fashioncompany.rs
serbia,1992,desing-doo,food production,linkedin.com/company/desing-doo,belgrade,desing doo,central serbia,11-50,desing.rs
serbia,"",pokega,computer games,linkedin.com/company/pokega,belgrade,pokega,central serbia,1-10,pokega.com
serbia,2004,tc-law,law practice,linkedin.com/company/tc-law,belgrade,trifunovic&co law office,central serbia,1-10,tclaw.co.rs
serbia,2017,cornitliga,sports,linkedin.com/company/cornitliga,vracar,it liga,"",1-10,itliga.rs
serbia,2004,secamcctv,security and investigations,linkedin.com/company/secamcctv,"",secamcctv,"",11-50,secamcctv.co.rs
serbia,2004,solers-d-o-o-,computer software,linkedin.com/company/solers-d-o-o-,belgrade,solers d.o.o.,central serbia,1-10,solers.co.rs
serbia,2017,pro---digi-agency,marketing and advertising,linkedin.com/company/pro---digi-agency,belgrade,pro - digi agency,central serbia,1-10,""
serbia,2005,t3-d-o-o-beograd,information technology and services,linkedin.com/company/t3-d-o-o-beograd,belgrade,t3 d.o.o. beograd,central serbia,11-50,t3.rs
