country,founded,id,industry,linkedin_url,locality,name,region,size,website
singapore,"",bbdo-asia1,marketing and advertising,linkedin.com/company/bbdo-asia1,singapore,bbdo/proximity asia,central singapore,1001-5000,24labs.net
singapore,2019,archlogbook,architecture & planning,linkedin.com/company/archlogbook,singapore,archlogbook,central singapore,1-10,archlogbook.co
singapore,2019,m-badminton-academy,sports,linkedin.com/company/m-badminton-academy,singapore,m badminton academy,central singapore,1-10,mbadmintonacademy.com
singapore,1934,davis-langdon-&-seah-singapore-pte-ltd,construction,linkedin.com/company/davis-langdon-&-seah-singapore-pte-ltd,"",langdon & seah singapore pte ltd,"",51-200,""
singapore,2002,concourseaero,aviation & aerospace,linkedin.com/company/concourseaero,singapore,concourse aerospace pte ltd,central singapore,1-10,concourse.aero
singapore,"",smiggle,retail,linkedin.com/company/smiggle,singapore,smiggle,"",201-500,smiggle.com
singapore,2006,lovebonito,apparel & fashion,linkedin.com/company/lovebonito,singapore,"love, bonito","",201-500,lovebonito.com
singapore,2018,group-east,marketing and advertising,linkedin.com/company/group-east,singapore,group east,"",1-10,east.sg
singapore,2010,casa-italia---gelato-cafe,restaurants,linkedin.com/company/casa-italia---gelato-cafe,singapore,casa italia pte ltd,"",1-10,casaitalia1962.com
singapore,2013,interfone-international-a-s,telecommunications,linkedin.com/company/interfone-international-a-s,singapore,interfone pte ltd,central singapore,11-50,interfone.com
singapore,2016,dynamic-grc,information technology and services,linkedin.com/company/dynamic-grc,singapore,dynamic-grc,central singapore,1-10,dynamic-grc.com
singapore,"",interconsultants-pte-ltd,"",linkedin.com/company/interconsultants-pte-ltd,"",interconsultants pte ltd,"",51-200,interc.com.sg
singapore,2011,resources-xp-pte-ltd,accounting,linkedin.com/company/resources-xp-pte-ltd,singapore,resources xp pte ltd,central singapore,1-10,resourcesxp.com
singapore,"",enotus-international-inc.,international trade and development,linkedin.com/company/enotus-international-inc.,"",enotus international inc.,"",1-10,""
singapore,2013,lee-co-suite,e-learning,linkedin.com/company/lee-co-suite,singapore,lee & co,central singapore,11-50,""
singapore,2009,scalacademy,construction,linkedin.com/company/scalacademy,singapore,scal academy pte ltd,central singapore,11-50,scal-academy.com.sg
singapore,2009,halimah-services,printing,linkedin.com/company/halimah-services,"",halimah services,"",1-10,halimahs.com
singapore,2014,turbo-dynamics,oil & energy,linkedin.com/company/turbo-dynamics,"",turbodynamics,"",1-10,""
singapore,1984,comat-training-services-pte-ltd,education management,linkedin.com/company/comat-training-services-pte-ltd,singapore,comat training services pte ltd,central singapore,51-200,comat.com.sg
singapore,1996,the-asian-banker,banking,linkedin.com/company/the-asian-banker,singapore,the asian banker,central singapore,51-200,theasianbanker.com
singapore,"",3v-souceone-capital,venture capital & private equity,linkedin.com/company/3v-souceone-capital,"",3v souceone capital,"",11-50,3vs1.com
singapore,2009,imkon,information technology and services,linkedin.com/company/imkon,singapore,imkon,central singapore,1-10,imkon.com
singapore,2018,lionsbot,industrial automation,linkedin.com/company/lionsbot,singapore,lionsbot international pte ltd,central singapore,11-50,lionsbot.com
singapore,2011,urbanhabitat,design,linkedin.com/company/urbanhabitat,singapore,urban habitat design pte ltd,central singapore,51-200,urbanhabitat.com.sg
singapore,"",chinatown-food-corporation-pte-ltd,marketing and advertising,linkedin.com/company/chinatown-food-corporation-pte-ltd,singapore,chinatown food corporation pte ltd,"",1-10,chinatownfood.com.sg
singapore,"",alfa-laval-singapore-pte-ltd,education management,linkedin.com/company/alfa-laval-singapore-pte-ltd,"",alfa laval singapore pte ltd,"",11-50,alfalaval.sg
singapore,"",decal-singapore-pte-ltd,printing,linkedin.com/company/decal-singapore-pte-ltd,"",decal singapore pte ltd,"",11-50,decalsp.com
singapore,2010,elitez-pte-ltd,human resources,linkedin.com/company/elitez-pte-ltd,singapore,elitez pte ltd,central singapore,501-1000,elitez.com.sg
singapore,2014,megamind-consulting-pte-ltd,staffing and recruiting,linkedin.com/company/megamind-consulting-pte-ltd,singapore,megamind consulting pte ltd,central singapore,51-200,megamind.com.sg
singapore,2005,p-a-w-veterinary-centre-pte-ltd,veterinary,linkedin.com/company/p-a-w-veterinary-centre-pte-ltd,singapore,p.a.w. veterinary centre pte ltd,central singapore,1-10,pawvetscentre.com
singapore,"",flyingbots,aviation & aerospace,linkedin.com/company/flyingbots,singapore,flying bots pte ltd,central singapore,1-10,flyingbots.net
singapore,2016,primasio,information technology and services,linkedin.com/company/primasio,singapore,primas,central singapore,51-200,primas.io
singapore,"",searchasiaconsulting,staffing and recruiting,linkedin.com/company/searchasiaconsulting,singapore,searchasia consulting pte ltd,central singapore,51-200,searchasia.com.sg
singapore,2007,aquabis-asiapte-ltd,fishery,linkedin.com/company/aquabis-asiapte-ltd,singapore,aquabis asia pte ltd,"",1-10,aquabis.com
singapore,"",kbs-global-s-pte-ltd,import and export,linkedin.com/company/kbs-global-s-pte-ltd,singapore,kbs global (s) pte ltd,central singapore,11-50,kbs-global.com
singapore,"",mayinartgallery,fine art,linkedin.com/company/mayinartgallery,singapore,mayinart,central singapore,1-10,mayinart.com
singapore,2013,invictus-intelligence-bureau-pte-ltd-,research,linkedin.com/company/invictus-intelligence-bureau-pte-ltd-,singapore,invictus intelligence bureau,"",1-10,invictusintelbureau.com
singapore,2007,bcs-consulting-pte-ltd,management consulting,linkedin.com/company/bcs-consulting-pte-ltd,singapore,bcs consulting pte ltd,central singapore,1-10,bcs-consulting.com
singapore,2019,vaynermedia-apac,marketing and advertising,linkedin.com/company/vaynermedia-apac,singapore,vaynermedia apac,central singapore,51-200,""
singapore,2002,infoplus-solutions-pte-ltd,information technology and services,linkedin.com/company/infoplus-solutions-pte-ltd,"",infoplus solutions,"",11-50,infoplus.com.sg
singapore,2012,cadence-rehabilitation-pte-ltd,hospital & health care,linkedin.com/company/cadence-rehabilitation-pte-ltd,singapore,cadence rehabilitation pte ltd,"",1-10,cadencerehab.com
singapore,1996,danmax-security-management-pte-ltd,security and investigations,linkedin.com/company/danmax-security-management-pte-ltd,singapore,danmax security management pte ltd,"",51-200,danmax.com.sg
singapore,2008,jn-technologies-pte-ltd,"glass, ceramics & concrete",linkedin.com/company/jn-technologies-pte-ltd,singapore,jn technologies pte ltd,central singapore,1-10,jnt-group.com
singapore,2001,mindlinkgroups,real estate,linkedin.com/company/mindlinkgroups,singapore,mindlinkgroups,central singapore,51-200,mindlink.com.sg
singapore,"",eng-bee-foodstuffs-mfg-pte-ltd,food production,linkedin.com/company/eng-bee-foodstuffs-mfg-pte-ltd,singapore,eng bee foodstuffs mfg pte ltd,"",1-10,""
singapore,2015,kodakit,photography,linkedin.com/company/kodakit,singapore,kodakit,"",51-200,kodakit.com
singapore,2017,u-shipz,management consulting,linkedin.com/company/u-shipz,singapore,u shipz,central singapore,1-10,ushipz.com
singapore,2020,mimefinance,internet,linkedin.com/company/mimefinance,singapore,mime,central singapore,1-10,mimeblog.com
singapore,1993,samudera-shipping-line-ltd,transportation/trucking/railroad,linkedin.com/company/samudera-shipping-line-ltd,singapore,samudera shipping line ltd,central singapore,201-500,""
singapore,"",zweec-analytics-pte-ltd,computer software,linkedin.com/company/zweec-analytics-pte-ltd,singapore,zweec analytics pte ltd,"",1-10,""
singapore,"",st-asset-management-ltd,investment management,linkedin.com/company/st-asset-management-ltd,singapore,st asset management ltd,"",51-200,stassetmgt.com
singapore,2015,hundred-thoughts-preschool,education management,linkedin.com/company/hundred-thoughts-preschool,"",hundred thoughts preschool,"",1-10,hundredthoughtspreschool.com
singapore,1890,singapore-teochew-lee-clan-association-新加坡潮州陇西李氏公会,non-profit organization management,linkedin.com/company/singapore-teochew-lee-clan-association-新加坡潮州陇西李氏公会,singapore,singapore teochew lee clan association 新加坡潮州陇西李氏公会,central singapore,51-200,""
singapore,2018,singaporedigitalchambersofcommerce,information technology and services,linkedin.com/company/singaporedigitalchambersofcommerce,singapore,sgdcc foundation,central singapore,11-50,sgdcc.org
singapore,2019,gxcom,financial services,linkedin.com/company/gxcom,singapore,gx,central singapore,51-200,gx.com
singapore,1970,tayrona-capital-financial-group,investment management,linkedin.com/company/tayrona-capital-financial-group,singapore,tayrona capital financial group,central singapore,201-500,""
singapore,2016,lim-loges-&-masters,human resources,linkedin.com/company/lim-loges-&-masters,singapore,lim-loges & masters,"",11-50,limlogesmasters.com
singapore,"",bricon-associates-pte-ltd,hospitality,linkedin.com/company/bricon-associates-pte-ltd,singapore,bricon associates pte ltd,"",11-50,bricon.com.sg
singapore,"",creative-engineering-pte-ltd,construction,linkedin.com/company/creative-engineering-pte-ltd,singapore,creative engineering pte ltd,central singapore,11-50,cepl.sg
singapore,2005,alpha-advisory,investment banking,linkedin.com/company/alpha-advisory,singapore,alpha advisory pte ltd,central singapore,1-10,alphaadvisory.com
singapore,2018,worknetics,human resources,linkedin.com/company/worknetics,singapore,worknetics,central singapore,1-10,worknetics.net
singapore,2014,wave-design-consultants-pte-ltd,architecture & planning,linkedin.com/company/wave-design-consultants-pte-ltd,singapore,wave design consultants pte ltd,central singapore,1-10,wave.global
singapore,2012,unitedlanguagecentre,education management,linkedin.com/company/unitedlanguagecentre,singapore,united language centre,central singapore,11-50,ulc.edu.sg
