country,founded,id,industry,linkedin_url,locality,name,region,size,website
slovakia,"",comix-s-r-o-,information technology and services,linkedin.com/company/comix-s-r-o-,"",comix s.r.o.,"",1-10,comix.sk
slovakia,"",dag-slovakia-a-s-,"",linkedin.com/company/dag-slovakia-a-s-,"",dag slovakia a.s.,"",11-50,dagslovakia.sk
slovakia,"",hgv-parts-s-r-o-,"",linkedin.com/company/hgv-parts-s-r-o-,"",hgv parts s.r.o.,"",1-10,genparts.eu
slovakia,1996,heitec-slovensko,mechanical or industrial engineering,linkedin.com/company/heitec-slovensko,trencin,heitec slovensko,trencin,11-50,heitec.sk
slovakia,"",vamex-a-s-košice,"",linkedin.com/company/vamex-a-s-košice,"",vamex a.s. košice,"",11-50,vamex.sk
slovakia,2012,bactor&wirney,marketing and advertising,linkedin.com/company/bactor&wirney,bratislava,bactor & wirney,bratislavský,1-10,b-w.sk
slovakia,2020,robotfederation,computer software,linkedin.com/company/robotfederation,bratislava,robot federation,bratislava,1-10,robotfederation.com
slovakia,"",colormetal,"",linkedin.com/company/colormetal,"",colormetal,"",1-10,colormetal.sk
slovakia,2015,super-vision-s.r.o,automotive,linkedin.com/company/super-vision-s.r.o,bratislava,super vision s.r.o,bratislavský,11-50,supervision-ges.eu
slovakia,"",marat-n-real-s.r.o.,real estate,linkedin.com/company/marat-n-real-s.r.o.,kosice,"maratón real, s.r.o.",kosice,1-10,maratonreal.sk
slovakia,"",premium-business-hotel-bratislava,hospitality,linkedin.com/company/premium-business-hotel-bratislava,bratislava,premium**** business hotel bratislava,bratislavský,1-10,hotel-premium.sk
slovakia,2017,madosoft,computer software,linkedin.com/company/madosoft,"",madosoft,"",1-10,madosoft.eu
slovakia,2016,hub-hub,commercial real estate,linkedin.com/company/hub-hub,bratislava,hubhub_,bratislavský,11-50,hubhub.com
slovakia,1995,zdru-enie-pre-riadenie-a-rozvoj-udsk-ch-zdrojov,human resources,linkedin.com/company/zdru-enie-pre-riadenie-a-rozvoj-udsk-ch-zdrojov,"",hrcomm - združenie pre riadenie a rozvoj ľudských zdrojov,"",11-50,""
slovakia,1993,stor-cad-–-graitec-s.r.o.,computer software,linkedin.com/company/stor-cad-–-graitec-s.r.o.,nivy,štor cad – graitec s.r.o.,bratislava,11-50,stor.sk
slovakia,2007,mbank-bre-bank-sa,banking,linkedin.com/company/mbank-bre-bank-sa,bratislava,"mbank s.a., pobočka zahraničnej banky",bratislavský,51-200,mbank.sk
slovakia,1995,excimer-očné-laserové-centrum,hospital & health care,linkedin.com/company/excimer-očné-laserové-centrum,bratislava,excimer očné laserové centrum,bratislavský,11-50,excimer.sk
slovakia,2001,havel-partners,legal services,linkedin.com/company/havel-partners,bratislava,"havel & partners, slovak republic",bratislavský,501-1000,havelpartners.sk
slovakia,2001,garage-66,automotive,linkedin.com/company/garage-66,"",garage 66,"",11-50,garage66.com
slovakia,2017,themarketing,marketing and advertising,linkedin.com/company/themarketing,bratislava,themarketing | marketing & advertising,bratislavský,1-10,themarketing.sk
slovakia,"",bowa-s.r.o.,"",linkedin.com/company/bowa-s.r.o.,bratislava,bowa s.r.o.,bratislavský,11-50,""
slovakia,"",cbp-carbon-industries-inc-cbpj-,environmental services,linkedin.com/company/cbp-carbon-industries-inc-cbpj-,bratislava,cbp carbon industries inc (cbpj),bratislavský,1-10,cbpcarbon.com
slovakia,"",dorpss.r.o.,computer software,linkedin.com/company/dorpss.r.o.,bratislava,dorps s.r.o.,bratislavský,1-10,dorps.sk
slovakia,2014,aqist-a--s-,information technology and services,linkedin.com/company/aqist-a--s-,bratislava,"aqist, a. s.",bratislavský,1-10,aqist.sk
slovakia,2007,powerplay-studio,computer games,linkedin.com/company/powerplay-studio,bratislava,powerplay studio,bratislavský,51-200,powerplay.studio
slovakia,2004,crystal-call-a.s.,telecommunications,linkedin.com/company/crystal-call-a.s.,bratislava,"crystal call, a.s.",bratislavský,1001-5000,crystalcall.eu
slovakia,2012,electronic-star-a-s-,retail,linkedin.com/company/electronic-star-a-s-,bratislava,electronic-star a.s.,bratislava,51-200,electronic-star.sk
slovakia,"",euroinex,"",linkedin.com/company/euroinex,"",euroinex,"",1-10,euroinex.sk
slovakia,2008,arbitas,computer software,linkedin.com/company/arbitas,bratislava,arbitas,bratislavský,11-50,arbitas.com
slovakia,1954,-evt-a-s-,retail,linkedin.com/company/-evt-a-s-,bratislava,ševt a.s.,bratislavský,201-500,sevt.sk
slovakia,2010,interiersklo,"glass, ceramics & concrete",linkedin.com/company/interiersklo,"",interiersklo,"",11-50,interiersklo.eu
slovakia,2004,grain-slovakia,information technology and services,linkedin.com/company/grain-slovakia,bratislava,grain slovakia s.r.o.,bratislavský,11-50,grain.sk
slovakia,"",bmz,"",linkedin.com/company/bmz,"",bmz,"",201-500,bmz.sk
