country,founded,id,industry,linkedin_url,locality,name,region,size,website
slovenia,1992,goldpack,"",linkedin.com/company/goldpack,hoce,goldpack packaging systems,brezovica commune,51-200,goldpack-packaging.com
slovenia,2000,inside-d-o-o-,telecommunications,linkedin.com/company/inside-d-o-o-,ljubljana,inside d.o.o.,ljubljana,1-10,domenar.net
slovenia,2006,quiksilver-windsurf-school,sports,linkedin.com/company/quiksilver-windsurf-school,ljubljana,quiksilver windsurf school,ljubljana,1-10,quiksilverwindsurfschool.com
slovenia,1950,etigroup-electrical,electrical/electronic manufacturing,linkedin.com/company/etigroup-electrical,izlake,eti - protection of electrical installations,bohinj commune,1001-5000,etigroup.eu
slovenia,1989,intra-lighting-d.o.o.,electrical/electronic manufacturing,linkedin.com/company/intra-lighting-d.o.o.,miren,intra lighting d.o.o.,miren-kostanjevica,201-500,intra-lighting.com
slovenia,"",media24-d.o.o.,publishing,linkedin.com/company/media24-d.o.o.,"",media24 d.o.o.,"",51-200,media24.si
slovenia,2013,doctrina,pharmaceuticals,linkedin.com/company/doctrina,ljubljana,doctrina,ljubljana,11-50,doctrina.biz
slovenia,1991,delavska-hranilnica-d-d-,banking,linkedin.com/company/delavska-hranilnica-d-d-,"",delavska hranilnica d.d.,"",51-200,""
slovenia,1984,javno-podjetje-komunalno-podjetje-vrhnika-d-o-o-,utilities,linkedin.com/company/javno-podjetje-komunalno-podjetje-vrhnika-d-o-o-,"","javno podjetje komunalno podjetje vrhnika, d. o. o.",vrhnika,51-200,kpv.si
slovenia,1991,comtradeinternational,information technology and services,linkedin.com/company/comtradeinternational,ljubljana,comtrade system integration international,bohinj commune,11-50,comtrade.international
slovenia,1994,minoa-informacijske-resitve,information technology and services,linkedin.com/company/minoa-informacijske-resitve,"","minoa, informacijske rešitve, d.o.o.",ljubljana,1-10,minoa.si
slovenia,2009,arhides-d-o-o,information technology and services,linkedin.com/company/arhides-d-o-o,"",arhides d. o. o.,maribor,11-50,arhides.si
slovenia,2013,lean-resitve,professional training & coaching,linkedin.com/company/lean-resitve,dolina,lean rešitve d.o.o.,tržič,1-10,lean-resitve.com
slovenia,2006,tigran,information technology and services,linkedin.com/company/tigran,"",tigran,trzin,1-10,tigran.si
slovenia,"",clubforce,sports,linkedin.com/company/clubforce,"",sportimus.eu,velenje,1-10,sportimus.eu
slovenia,"",pohistvo-bregar,furniture,linkedin.com/company/pohistvo-bregar,"",pohištvo bregar,lasko,1-10,pohisvobregar.si
slovenia,1995,proeventdoo,events services,linkedin.com/company/proeventdoo,"",proevent d.o.o.,ljubljana,11-50,proevent.si
slovenia,2016,potenza-innova-d.o.o.,pharmaceuticals,linkedin.com/company/potenza-innova-d.o.o.,novo mesto,potenza innova ltd.,novo mesto,1-10,potenza-innova.si
slovenia,2005,rial-trade-d.o.o.,food & beverages,linkedin.com/company/rial-trade-d.o.o.,castel dobra,"lesizza gold 22k - rial trade, d.o.o.",bohinj commune,1-10,lesizza.com
slovenia,1989,konto-d-o-o,accounting,linkedin.com/company/konto-d-o-o,"",konto d.o.o.,ljubljana,11-50,konto.si
slovenia,1991,astec_2,information technology and services,linkedin.com/company/astec_2,"",pro.astec d.o.o.,ljubljana,11-50,astec.si
slovenia,2012,firmica-si,international trade and development,linkedin.com/company/firmica-si,"",firmica.si,ljubljana,1-10,firmica.si
slovenia,2013,ek-visuals,media production,linkedin.com/company/ek-visuals,"",ekvisuals,ljubljana,1-10,ekvisuals.com
slovenia,1998,zveza-komisp,non-profit organization management,linkedin.com/company/zveza-komisp,ljubljana,zveza študentskih zvez in društev za mednarodno sodelovanje in izobraževanje - komisp,bohinj commune,1-10,komisp.si
slovenia,1998,young-project-managers-slovenia,management consulting,linkedin.com/company/young-project-managers-slovenia,"",mpm - mladi projektni managerji slovenija,ljubljana,11-50,mpm.si
slovenia,"",zavod-voluntariat,non-profit organization management,linkedin.com/company/zavod-voluntariat,"",zavod voluntariat,ljubljana,1-10,zavod-voluntariat.si
slovenia,"",javna-razsvetljava-d-d-,electrical/electronic manufacturing,linkedin.com/company/javna-razsvetljava-d-d-,ljubljana,javna razsvetljava d.d.,bohinj commune,11-50,""
slovenia,2014,računalniške-storitve-igor-srdoč-s.p.,computer software,linkedin.com/company/računalniške-storitve-igor-srdoč-s.p.,ljubljana,"računalniške storitve, igor srdoč s.p.",bohinj commune,1-10,srdoc.si
slovenia,2014,tosla,food production,linkedin.com/company/tosla,ljubljana,tosla,bohinj commune,1-10,tosla.si
slovenia,2013,wave-group-ltd,internet,linkedin.com/company/wave-group-ltd,"",wave group ltd,ljubljana,11-50,wave.si
slovenia,"",zavod-zri,education management,linkedin.com/company/zavod-zri,"",zavod zri,"",1-10,zavod-zri.si
slovenia,2014,zalepepe,consumer goods,linkedin.com/company/zalepepe,"",zâle & pépe,nova gorica,1-10,zale-pepe.com
slovenia,2008,poslovni-biser-d.o.o.,management consulting,linkedin.com/company/poslovni-biser-d.o.o.,"",poslovni biser d.o.o.,postojna,1-10,poslovni-biser.com
slovenia,"",rebel-d-o-o-,"",linkedin.com/company/rebel-d-o-o-,"",rebel d.o.o.,"",11-50,rebel.si
slovenia,1991,gemini-logistics-customs-clearing,logistics and supply chain,linkedin.com/company/gemini-logistics-customs-clearing,koper,gemini logistics & customs clearing,koper-capodistria,11-50,gemini.si
slovenia,1970,videojet-slovenija,information technology and services,linkedin.com/company/videojet-slovenija,ljubljana,videojet slovenija,bohinj commune,1-10,""
slovenia,1990,mit-informatika,information technology and services,linkedin.com/company/mit-informatika,"",mit informatika d.o.o.,kranj,11-50,mit-ing.si
slovenia,1879,weiler-abrasives-emea,consumer goods,linkedin.com/company/weiler-abrasives-emea,"",weiler abrasives emea,maribor,501-1000,""
slovenia,2010,visible-group,entertainment,linkedin.com/company/visible-group,"",visible - creative technology group,ljubljana,1-10,visible.si
slovenia,1992,carmec-d-o-o-,automotive,linkedin.com/company/carmec-d-o-o-,miren,carmec d.o.o.,miren-kostanjevica,11-50,carmec.eu
slovenia,2008,kreativne-komunikacije-d.o.o.,marketing and advertising,linkedin.com/company/kreativne-komunikacije-d.o.o.,"",kreativne komunikacije d.o.o.,maribor,1-10,krekom.si
slovenia,2013,enjoylocal,"leisure, travel & tourism",linkedin.com/company/enjoylocal,portoroz,enjoy local,bohinj commune,1-10,enjoylocal.si
slovenia,2009,iteron,information technology and services,linkedin.com/company/iteron,koper,iteron,koper-capodistria,1-10,iteron.si
slovenia,"",atrij-d-o-o-,"",linkedin.com/company/atrij-d-o-o-,"",atrij d.o.o.,"",1-10,atrij.si
slovenia,2010,equa-products,consumer goods,linkedin.com/company/equa-products,"",equa products,"",1-10,""
slovenia,2015,cosmethicallyactive,cosmetics,linkedin.com/company/cosmethicallyactive,"",cosmethically active,ljubljana,1-10,moderncosmethics.com
slovenia,2012,kaldi,computer software,linkedin.com/company/kaldi,"",kaldi it - creating digital masterpieces,ljubljana,11-50,kaldi.si
slovenia,"",studio-mosh,design,linkedin.com/company/studio-mosh,"",studio mosh,ljubljana,1-10,studiomosh.com
slovenia,2014,minicity-ltd,marketing and advertising,linkedin.com/company/minicity-ltd,"",minicity ltd,ljubljana,11-50,minicity.si
slovenia,2002,solveralynx,information technology and services,linkedin.com/company/solveralynx,"",solvera lynx,ljubljana,11-50,solvera-lynx.com
slovenia,2004,diplomat-d-o-o-,renewables & environment,linkedin.com/company/diplomat-d-o-o-,sladki vrh,diplomat d.o.o.,brezovica commune,1-10,diplomat.si
slovenia,2005,natisni-si,printing,linkedin.com/company/natisni-si,"",natisni.si,"",1-10,""
slovenia,2002,aggregata,management consulting,linkedin.com/company/aggregata,"",aggregata,"",1-10,aggregata.com
slovenia,2004,sigas-d.o.o.,information technology and services,linkedin.com/company/sigas-d.o.o.,krmelj,sigas d.o.o.,sevnica,1-10,sigas.si
slovenia,2015,mbp-inženiring-d-o-o-,computer software,linkedin.com/company/mbp-inženiring-d-o-o-,ljubljana,mbp inženiring d.o.o.,bohinj commune,1-10,mbp-inzeniring.si
slovenia,1900,rokus-klett-slovenija,publishing,linkedin.com/company/rokus-klett-slovenija,"",rokus klett slovenija,"",1-10,rokus-klett.si
slovenia,"",institute-of-oncology,hospital & health care,linkedin.com/company/institute-of-oncology,"",institute of oncology,ljubljana,1001-5000,""
slovenia,"",slovely,hospitality,linkedin.com/company/slovely,ljubljana,slovely,ljubljana,51-200,slovely.si
slovenia,1991,populus-ltd,architecture & planning,linkedin.com/company/populus-ltd,"",populus ltd,ljubljana,1-10,populus.si
slovenia,"",mtv-adria-d.o.o.,marketing and advertising,linkedin.com/company/mtv-adria-d.o.o.,"",mtv adria d.o.o.,"",11-50,mtv.si
slovenia,1999,reni-d-o-o,mechanical or industrial engineering,linkedin.com/company/reni-d-o-o,"",reni d.o.o.,ljubljana,11-50,reni.si
slovenia,1990,fmg-facility-management-group,facilities services,linkedin.com/company/fmg-facility-management-group,"",fmg facility management group,kranj,201-500,fmg.si
slovenia,1976,plastoform-smarjeta,plastics,linkedin.com/company/plastoform-smarjeta,"",plastoform smarjeta,šmarješke toplice,51-200,plastoform.eu
slovenia,2007,oh-design,internet,linkedin.com/company/oh-design,"",oh!design,"",1-10,ohdesign.ru
slovenia,2015,salvador-club,arts and crafts,linkedin.com/company/salvador-club,"",salvador club,ljubljana,1-10,salvador-club.com
