country,founded,id,industry,linkedin_url,locality,name,region,size,website
south africa,"",kuluvuyo-consultancy-and-wellness,"",linkedin.com/company/kuluvuyo-consultancy-and-wellness,"",kuluvuyo consultancy and wellness,"",11-50,kuluvuyo.co.za
south africa,"",sivtek-holdings,"",linkedin.com/company/sivtek-holdings,johannesburg,sivtek holdings,gauteng,11-50,""
south africa,"",buddymed,"",linkedin.com/company/buddymed,"",buddymed,"",11-50,buddymed.co.za
south africa,2019,zero1-creations,marketing and advertising,linkedin.com/company/zero1-creations,cape town,zero1 creations,western cape,1-10,zero1creations.com
south africa,"",athens-finance,"",linkedin.com/company/athens-finance,"",athens finance,"",1-10,athensfinance.co.za
south africa,"",emerging-search-consultants-pty-ltd-,human resources,linkedin.com/company/emerging-search-consultants-pty-ltd-,johannesburg,emerging search consultants,gauteng,1-10,emergingsc.com
south africa,1992,midcompofficial,printing,linkedin.com/company/midcompofficial,johannesburg,midcomp – pty ltd.,gauteng,51-200,midcomp.co.za
south africa,"",reece-recruitment-agency-pty-ltd,staffing and recruiting,linkedin.com/company/reece-recruitment-agency-pty-ltd,johannesburg,reece recruitment agency pty ltd,gauteng,1-10,""
south africa,2020,woegroup,management consulting,linkedin.com/company/woegroup,bryanston,world of ethics,gauteng,1-10,woegroup.org
south africa,2002,breinstorm-brand-architects,design,linkedin.com/company/breinstorm-brand-architects,johannesburg,breinstorm brand architects,gauteng,1-10,breinstorm.co.za
south africa,2002,traditional-healer,alternative medicine,linkedin.com/company/traditional-healer,johannesburg,traditional healer,gauteng,51-200,traditional-healer.net
south africa,2014,rm-tucker-attorneys,law practice,linkedin.com/company/rm-tucker-attorneys,johannesburg,rm tucker attorneys,gauteng,1-10,rmtucker.co.za
south africa,1998,yale-engineering-products-pty-ltd,mechanical or industrial engineering,linkedin.com/company/yale-engineering-products-pty-ltd,honeydew,yale engineering products (pty) ltd,gauteng,11-50,yalejhb.co.za
south africa,2005,ditshaba-management-holdings-pty-ltd,human resources,linkedin.com/company/ditshaba-management-holdings-pty-ltd,johannesburg,ditshaba human capital,gauteng,51-200,ditshaba.co.za
south africa,1978,the-specialists-group-pty-ltd,consumer services,linkedin.com/company/the-specialists-group-pty-ltd,verwoerdburg,the specialists group pty ltd,gauteng,1-10,""
south africa,2014,clockwork-acorn,computer games,linkedin.com/company/clockwork-acorn,"",clockwork acorn,"",1-10,clockworkacorn.com
