country,founded,id,industry,linkedin_url,locality,name,region,size,website
south korea,2016,bifrost-technology-inc,computer software,linkedin.com/company/bifrost-technology-inc,"","bifrost technology, inc.",seoul,11-50,thebifrost.io
south korea,2008,korea-carbon-finance,banking,linkedin.com/company/korea-carbon-finance,seoul,korea carbon finance,seoul-t'ukpyolsi,11-50,""
south korea,"",thomson-reuters-korea,information technology and services,linkedin.com/company/thomson-reuters-korea,"",thomson reuters korea,seoul,51-200,thomsonreuters.co.kr
south korea,"",hanshin-group,import and export,linkedin.com/company/hanshin-group,seoul,hanshin group,seoul,11-50,hanshingroup.com
south korea,2000,genicom,electrical/electronic manufacturing,linkedin.com/company/genicom,"",genicom,daejeon,51-200,geni-uv.com
south korea,"",canadawoodkorea,construction,linkedin.com/company/canadawoodkorea,"",canada wood korea,seoul,1-10,canadawood.or.kr
south korea,2003,medika-hearing-technology,medical devices,linkedin.com/company/medika-hearing-technology,kwangju,medika hearing technology,ch'ungch'ong-namdo,11-50,sori33.co.kr
south korea,"",domo-trading,consumer electronics,linkedin.com/company/domo-trading,seoul,domo trading,seoul,1-10,domotrading.com
south korea,"",kyeryong-construction-industrial-co-ltd-013580-,real estate,linkedin.com/company/kyeryong-construction-industrial-co-ltd-013580-,daejeon,kyeryong construction industrial co ltd (013580),daejeon,1-10,krcon.co.kr
south korea,2009,genesiscg,architecture & planning,linkedin.com/company/genesiscg,seoul,genesiscg,seoul-t'ukpyolsi,11-50,genesiscg.com
south korea,"",kwang-myung-ink-co-,printing,linkedin.com/company/kwang-myung-ink-co-,"",kwang myung ink co.,"",1-10,kmink.com
south korea,"",mercedes-benz-korea,automotive,linkedin.com/company/mercedes-benz-korea,seoul,mercedes-benz korea ltd.,seoul-t'ukpyolsi,201-500,mercedes-benz.co.kr
south korea,2011,samsung-biologics,biotechnology,linkedin.com/company/samsung-biologics,"",samsung biologics,incheon,1001-5000,samsungbiologics.com
south korea,2016,augmentedk,information technology and services,linkedin.com/company/augmentedk,"",augmented knowledge corp.,incheon,1-10,augmentedk.com
south korea,2015,anton-paar-korea,electrical/electronic manufacturing,linkedin.com/company/anton-paar-korea,"",anton paar korea,seoul,11-50,""
south korea,1984,sk-telecom,telecommunications,linkedin.com/company/sk-telecom,seoul,sk telecom,seoul-t'ukpyolsi,1001-5000,sktelecom.com
south korea,2018,seads-co-ltd,biotechnology,linkedin.com/company/seads-co-ltd,seoul,seads co. ltd,seoul,11-50,seads.eu
south korea,2009,project-carrier,transportation/trucking/railroad,linkedin.com/company/project-carrier,"","project carrier co., ltd.","",1-10,heavybulk.com
south korea,2000,dongwon-technology-co-ltd-,automotive,linkedin.com/company/dongwon-technology-co-ltd-,"",dongwon technology co. ltd.,"",201-500,dongwontech.com
south korea,2010,visionarena,management consulting,linkedin.com/company/visionarena,seoul,visionarena,seoul-t'ukpyolsi,1-10,visionarena.co.kr
south korea,2014,konnected-solutions,design,linkedin.com/company/konnected-solutions,seoul,konnected solutions,seoul-t'ukpyolsi,1-10,""
south korea,1974,sejung,apparel & fashion,linkedin.com/company/sejung,"",sejung group,"",501-1000,sejung.co.kr
south korea,2017,ibs-center-for-climate-physics,research,linkedin.com/company/ibs-center-for-climate-physics,"",ibs center for climate physics,"",11-50,ibsclimate.org
south korea,"",ssang-bang-wool-ltd,textiles,linkedin.com/company/ssang-bang-wool-ltd,seoul,ssang bang wool ltd,seoul-t'ukpyolsi,1-10,""
south korea,"",lotte-home-shopping-inc-,electrical/electronic manufacturing,linkedin.com/company/lotte-home-shopping-inc-,"",lotte home shopping inc.,seoul,11-50,lotteimall.com
south korea,2013,yap-company,information technology and services,linkedin.com/company/yap-company,seoul,yap company,seoul,201-500,yap.net
south korea,"",renault-samsung-motors,automotive,linkedin.com/company/renault-samsung-motors,seoul,renault samsung motors,seoul-t'ukpyolsi,1001-5000,renaultsamsungm.com
south korea,2014,futureplay,venture capital & private equity,linkedin.com/company/futureplay,seoul,futureplay,seoul-t'ukpyolsi,11-50,futureplay.co
south korea,"",namyang-dairy-products-co-ltd-003920-,dairy,linkedin.com/company/namyang-dairy-products-co-ltd-003920-,seoul,namyang dairy products co ltd (003920),seoul-t'ukpyolsi,1-10,namyangi.com
south korea,1994,pm-machinery-co-ltd-,machinery,linkedin.com/company/pm-machinery-co-ltd-,"","pm machinery co., ltd.",incheon,11-50,pmmachinery.net
south korea,1985,etudehouse,cosmetics,linkedin.com/company/etudehouse,"",etude,seoul,201-500,etude.com
south korea,2001,isu-abxis-co.-ltd,biotechnology,linkedin.com/company/isu-abxis-co.-ltd,seoul,"isu abxis co.,ltd",seoul-t'ukpyolsi,51-200,abxis.com
south korea,1988,koram-biotech-corp,biotechnology,linkedin.com/company/koram-biotech-corp,seoul,koram biogen & koram biotech corp,seoul-t'ukpyolsi,51-200,korambiogen.com
south korea,2013,chris-&-partners,events services,linkedin.com/company/chris-&-partners,seoul,chris & partners 크리스앤파트너스,seoul-t'ukpyolsi,11-50,chrisnp.co.kr
