country,founded,id,industry,linkedin_url,locality,name,region,size,website
spain,1999,virtualb.com,internet,linkedin.com/company/virtualb.com,las palmas,virtualb.com,canarias,1-10,virtualb.com
spain,"",clear-channel-espa-a,marketing and advertising,linkedin.com/company/clear-channel-espa-a,"",clear channel españa,"",201-500,clearchannel.es
spain,"",roqueta-origen,wine and spirits,linkedin.com/company/roqueta-origen,barcelona,roqueta origen,catalonia,11-50,roquetaorigen.com
spain,2012,pov-art,information technology and services,linkedin.com/company/pov-art,sant feliu de llobregat,povart estrategia digital,catalonia,1-10,povart.es
spain,2005,grupo-elisa-interactive,internet,linkedin.com/company/grupo-elisa-interactive,barcelona,grupo elisa interactive,catalonia,11-50,elisa-interactive.com
spain,2009,asociaci-n-de-webmasters-de-granada,internet,linkedin.com/company/asociaci-n-de-webmasters-de-granada,"",asociación de webmasters de granada,"",1-10,webmastergranada.es
spain,"",fiberco-instrumentacion-industrial-sl,mining & metals,linkedin.com/company/fiberco-instrumentacion-industrial-sl,madrid,fiberco instrumentacion industrial sl,madrid,11-50,""
spain,"",core-servicios-inform-ticos-s.l.,environmental services,linkedin.com/company/core-servicios-inform-ticos-s.l.,"","core servicios informáticos, s.l.","",11-50,core-global.com
spain,"",quality-digital-agencia-seo-barcelona,marketing and advertising,linkedin.com/company/quality-digital-agencia-seo-barcelona,molins de rei,quality-digital: agencia seo barcelona,catalonia,1-10,quality-digital.com
spain,2007,red-ebersalud-s-l-,information technology and services,linkedin.com/company/red-ebersalud-s-l-,plasencia,esaludate,extremadura,11-50,esaludate.com
spain,1997,iuct,research,linkedin.com/company/iuct,mollet del valles,inkemia iuct group - españa,catalonia,11-50,inkemia.com
spain,"",fundación-granada-educa,"",linkedin.com/company/fundación-granada-educa,"",fundación granada educa,"",11-50,fundaciongranadaeduca.org
spain,2010,quavision,security and investigations,linkedin.com/company/quavision,alcobendas,quavision seguridad,madrid,11-50,quavision.com
spain,"",balloon-federation-of-america,non-profit organization management,linkedin.com/company/balloon-federation-of-america,madrid,balloon federation of america,madrid,1-10,bfa.net
spain,"",venexma-europa-sl,"",linkedin.com/company/venexma-europa-sl,san fernando de henares,venexma europa sl,madrid,1-10,venexma.com
spain,"",eurocars-mazda,automotive,linkedin.com/company/eurocars-mazda,madrid,eurocars mazda,madrid,11-50,eurocarsmazda.com.au
spain,2017,vilatoivilato,architecture & planning,linkedin.com/company/vilatoivilato,barcelona,vilató i vilató,catalonia,11-50,vilatoivilato.com
spain,1990,manuel-navarro-arquitecto,architecture & planning,linkedin.com/company/manuel-navarro-arquitecto,malaga,manuel navarro. arquitecto,andalucia,1-10,arquitectomanuelnavarro.es
spain,2006,ayar-alinter,restaurants,linkedin.com/company/ayar-alinter,barcelona,grupo ceviche,catalonia,51-200,ceviche103.es
spain,"",eye-care-of-san-diego,medical practice,linkedin.com/company/eye-care-of-san-diego,madrid,eye care of san diego,madrid,51-200,""
spain,2013,archivex,computer software,linkedin.com/company/archivex,salamanca,archivex,castilla y leon,1-10,archivex.es
spain,"",tecseo,internet,linkedin.com/company/tecseo,santa coloma de gramenet,tecseo,catalonia,1-10,tecseo.es
spain,"",trans-european-transport-suardiaz-sl,medical devices,linkedin.com/company/trans-european-transport-suardiaz-sl,gijon,trans european transport suardiaz sl,asturias,11-50,""
spain,"",nvs-installation-ab,information technology and services,linkedin.com/company/nvs-installation-ab,madrid,nvs installation ab,madrid,1-10,""
spain,"",alfe,"",linkedin.com/company/alfe,"",alfe,"",11-50,alfe.com
spain,2015,group-st-laurent,real estate,linkedin.com/company/group-st-laurent,barcelona,group st laurent,catalonia,11-50,groupstlaurent.com
spain,"",renewable-energy-innovative-consulting-s.l.,renewables & environment,linkedin.com/company/renewable-energy-innovative-consulting-s.l.,"","renewable energy innovative consulting, s.l.","",1-10,""
spain,"",jamon-y-salud,food & beverages,linkedin.com/company/jamon-y-salud,llerena,jamon y salud,extremadura,1-10,""
spain,1986,orujo-de-liebana-s-a-orulisa,food & beverages,linkedin.com/company/orujo-de-liebana-s-a-orulisa,santander,orujo de liebana s.a. orulisa,cantabria,1-10,orulisa.com
spain,2009,craplatform,research,linkedin.com/company/craplatform,"",cra platform s.l.,"",51-200,craplatform.com
spain,"",sequoia-desarrollos-inmobiliarios,real estate,linkedin.com/company/sequoia-desarrollos-inmobiliarios,madrid,sequoia desarrollos inmobiliarios,madrid,1-10,laboratorio-urbano.com
spain,1991,la-toque-magazine,publishing,linkedin.com/company/la-toque-magazine,madrid,la toque magazine,madrid,11-50,latoque.fr
spain,2020,gestión-y-talento,management consulting,linkedin.com/company/gestión-y-talento,logroño,gestión y talento,la rioja,1-10,""
spain,1995,mumcor-textil-s-l,apparel & fashion,linkedin.com/company/mumcor-textil-s-l,argentona,mumcor textil s.l,catalonia,11-50,mumcor.com
spain,"",ortesis-serveis-sl,retail,linkedin.com/company/ortesis-serveis-sl,cabrera de mar,ortesis serveis sl,catalonia,1-10,""
spain,1987,club-de-rugby-sant-cugat,sports,linkedin.com/company/club-de-rugby-sant-cugat,sant cugat del valles,club de rugby sant cugat,catalonia,201-500,santcugat.com
spain,2014,e-property-es,information technology and services,linkedin.com/company/e-property-es,"",e-property es,"",1-10,e-property.es
spain,2012,la-torre-asociaci-n-de-comercios-empresas-y-aut-nomos-de-alhaur-n-de-la-torre,non-profit organization management,linkedin.com/company/la-torre-asociaci-n-de-comercios-empresas-y-aut-nomos-de-alhaur-n-de-la-torre,alhaurin de la torre,circulo de empresarios de alhaurín de la torre.,malaga,1-10,alhaurin.eu
spain,"",accept-кадровый-центр,staffing and recruiting,linkedin.com/company/accept-кадровый-центр,madrid,accept кадровый центр,madrid,11-50,""
spain,2012,restaurantesdeespa-a-es,information technology and services,linkedin.com/company/restaurantesdeespa-a-es,santander,restaurantesdeespaña.es,cantabria,1-10,restaurantesdeespaña.es
spain,1985,bellespanaalimentacion,food & beverages,linkedin.com/company/bellespanaalimentacion,fuensalida,bell españa alimentación s.l.u.,toledo,51-200,sanchezalcaraz.com
spain,2013,workroom-barcelona,motion pictures and film,linkedin.com/company/workroom-barcelona,barcelona,workroom barcelona,catalonia,1-10,workroombarcelona.com
spain,"",escuela-superior-criminologia,e-learning,linkedin.com/company/escuela-superior-criminologia,el campello,escuela superior criminologia,valencia,1-10,escuelasuperiorcriminalistica.es
spain,2001,biomédica-trinon,hospital & health care,linkedin.com/company/biomédica-trinon,san sebastián de los reyes,biomédica trinon s.l.,madrid,11-50,biotrinon.com
spain,1969,hospiten,"health, wellness and fitness",linkedin.com/company/hospiten,"",hospiten,canarias,1001-5000,hospiten.com
