country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2016,dream-ceylon-lanka-travels-&-leisure-pvt-ltd,"leisure, travel & tourism",linkedin.com/company/dream-ceylon-lanka-travels-&-leisure-pvt-ltd,colombo,"dream ceylon lanka travels & leisure pvt ltd , sri lanka",western,1-10,dreamceylontravels.com
sri lanka,"",university-of-kelaniya,higher education,linkedin.com/company/university-of-kelaniya,colombo,university of kelaniya,western,10001+,kln.ac.lk
sri lanka,2016,fortune-bio-science-pvt-ltd,pharmaceuticals,linkedin.com/company/fortune-bio-science-pvt-ltd,"",fortune bio science (pvt) ltd,central,1-10,fortunebioscience.com
sri lanka,2015,ixsworld,information technology and services,linkedin.com/company/ixsworld,dehiwala,integrated xtreme solutions (pvt) ltd,western,11-50,ixsworld.com
sri lanka,"",ceylon-leather-products-plc,"",linkedin.com/company/ceylon-leather-products-plc,"",ceylon leather products plc,"",51-200,clplsrilanka.com
sri lanka,"",merc-power-transmission,oil & energy,linkedin.com/company/merc-power-transmission,colombo,merc power & transmission,western,11-50,mercpt.com
sri lanka,2016,creative-domains-pvt-limited,marketing and advertising,linkedin.com/company/creative-domains-pvt-limited,colombo,creative domains (pvt) limited,western,11-50,creativedomains.net
sri lanka,"",thinknet-websolutions,information technology and services,linkedin.com/company/thinknet-websolutions,gonawala,thinknet websolutions,western,1-10,thinknet.lk
sri lanka,"",united-logistics-colombo-pvt-ltd,logistics and supply chain,linkedin.com/company/united-logistics-colombo-pvt-ltd,colombo,united logistics colombo (pvt) ltd,western,11-50,unitedlogisticscmb.com
sri lanka,1998,ranpath-paper-pvt-ltd,printing,linkedin.com/company/ranpath-paper-pvt-ltd,colombo,ranpath paper (pvt) ltd,western,51-200,ranpath.lk
sri lanka,"",ally-weerasinghe-ltd,construction,linkedin.com/company/ally-weerasinghe-ltd,"",ally weerasinghe ltd,"",11-50,allyweerasinghe.lk
sri lanka,2015,visit-my-city-travels-pvt-limited,hospitality,linkedin.com/company/visit-my-city-travels-pvt-limited,colombo,visit my city travels (pvt) limited,western,1-10,visitmycity.lk
sri lanka,1919,aiainsurancesrilankaplc,insurance,linkedin.com/company/aiainsurancesrilankaplc,colombo,aia sri lanka,western,11-50,""
sri lanka,2004,softcodeit-solutions-pvt-ltd,computer software,linkedin.com/company/softcodeit-solutions-pvt-ltd,colombo,softcodeit solutions (pvt) ltd.,western,51-200,softcodeit.com
sri lanka,2005,butterfly-vacations,"leisure, travel & tourism",linkedin.com/company/butterfly-vacations,"",butterfly vacations,western,11-50,butterflyvacation.com
sri lanka,"",noratel-international-pvt-ltd,electrical/electronic manufacturing,linkedin.com/company/noratel-international-pvt-ltd,"",noratel international (pvt) ltd,western,1001-5000,""
sri lanka,1955,coca-cola-beverages-sri-lanka-ltd.,food & beverages,linkedin.com/company/coca-cola-beverages-sri-lanka-ltd.,biyagama,coca-cola beverages sri lanka ltd.,western,501-1000,""
sri lanka,"",creativecreations-lk94,arts and crafts,linkedin.com/company/creativecreations-lk94,wattala,creative creations,western,1-10,""
sri lanka,2009,siba-campus,education management,linkedin.com/company/siba-campus,"",siba campus (sri lanka international buddhist academy),central,11-50,siba.edu.lk
sri lanka,2016,pro-x-technologies-pvt-ltd,computer software,linkedin.com/company/pro-x-technologies-pvt-ltd,nugegoda,pro-x technologies (pvt) ltd.,western,11-50,prox.lk
sri lanka,2014,ivatechnology,computer software,linkedin.com/company/ivatechnology,colombo,iva technology,western,11-50,ivatechnology.com
sri lanka,2018,fitzkyapp,"health, wellness and fitness",linkedin.com/company/fitzkyapp,"",fitzky,western,11-50,fitzky.com
sri lanka,2014,proit-solutions,information technology and services,linkedin.com/company/proit-solutions,colombo,proit solutions (pvt) ltd,western,1-10,""
sri lanka,2016,hospitalitysrilanka,hospitality,linkedin.com/company/hospitalitysrilanka,colombo,hospitality sri lanka,western,1-10,hospitalitysrilanka.com
sri lanka,1988,marangoni-industrial-tyres-s-r-l,mechanical or industrial engineering,linkedin.com/company/marangoni-industrial-tyres-s-r-l,colombo,marangoni industrial tyres s.r.l.,western,201-500,marangoniindustrialtyres.it
sri lanka,2016,ingenii-lanka,information technology and services,linkedin.com/company/ingenii-lanka,kelaniya,ingenii lanka,western,11-50,ingeniilanka.com
