country,founded,id,industry,linkedin_url,locality,name,region,size,website
sudan,2010,rafeefcompany,import and export,linkedin.com/company/rafeefcompany,khartoum,rafeef for integrated solutions. co. ltd.,khartoum,11-50,rafeefgroup.com
sudan,"",sudanese-french-bank,banking,linkedin.com/company/sudanese-french-bank,"",sudanese french bank,"",51-200,sfbank.net
sudan,2002,dalfoodindustries,food & beverages,linkedin.com/company/dalfoodindustries,"","dal food industries, sudan",khartoum,1001-5000,dalfoodindustries.com
sudan,"",omeco,oil & energy,linkedin.com/company/omeco,"",omeco,"",51-200,omeco-sudan.com
sudan,2006,ict-integrated-computer-technologies-,computer software,linkedin.com/company/ict-integrated-computer-technologies-,khartoum,ict (integrated computer technologies),khartoum,11-50,ict-smartlife.com
sudan,1960,unifert-sudan,farming,linkedin.com/company/unifert-sudan,"",unifert-sudan,khartoum,11-50,unifert-aa.com
sudan,"",national-ribat-university,"",linkedin.com/company/national-ribat-university,"",national ribat university,"",201-500,ribat.edu.sd
sudan,2016,woi-studio,media production,linkedin.com/company/woi-studio,khartoum,woi studio,khartoum,11-50,woistudio.com
sudan,2014,شروق-المستقبل-الهندسية,computer networking,linkedin.com/company/شروق-المستقبل-الهندسية,khartoum,"",khartoum,1-10,shuruqhost.com
sudan,2015,nibble&nosh,restaurants,linkedin.com/company/nibble&nosh,khartoum,nibble&nosh,khartoum,11-50,nibblenosh.com
