country,founded,id,industry,linkedin_url,locality,name,region,size,website
sweden,2017,aspen-maskinuthyrning-ab,construction,linkedin.com/company/aspen-maskinuthyrning-ab,goteborg,aspen maskinuthyrning ab,vastra gotaland,1-10,""
sweden,"",spangenberg-konsultation-ab,management consulting,linkedin.com/company/spangenberg-konsultation-ab,"",spangenberg konsultation ab,stockholm,1-10,spangenberg.se
sweden,2015,cloud-clarity-ltd,information technology and services,linkedin.com/company/cloud-clarity-ltd,"",cloud clarity ltd,"",1-10,cloud-clarity.co.uk
sweden,"",advokaterna-drott-trege,law practice,linkedin.com/company/advokaterna-drott-trege,helsingborg,advokaterna drott & trege,skåne,1-10,drottochtrege.se
sweden,2003,evansmedia,media production,linkedin.com/company/evansmedia,"",evansmedia,stockholm,1-10,evansmedia.se
sweden,"",glocalnet,telecommunications,linkedin.com/company/glocalnet,"",glocalnet,"",11-50,glocalnet.se
sweden,2018,salesvoice,telecommunications,linkedin.com/company/salesvoice,varmdo,salesvoice consulting ab,stockholms lan,1-10,salesvoice.se
sweden,"",gadvise-ab,information technology and services,linkedin.com/company/gadvise-ab,goteborg,gadvise ab,vastra gotaland,1-10,""
sweden,2006,kalmarsundsregionens-renhållare,renewables & environment,linkedin.com/company/kalmarsundsregionens-renhållare,"",ksrr - kalmarsundsregionens renhållare,kalmar,51-200,ksrr.se
sweden,2017,stockholm-business-support-ab,international trade and development,linkedin.com/company/stockholm-business-support-ab,"",stockholm business support ab,"",1-10,stockholmbusiness.support
sweden,2012,vinkollektivet,wine and spirits,linkedin.com/company/vinkollektivet,"",vinkollektivet,"",1-10,vinkollektivet.dk
sweden,"",j-mtland-h-rjedalen-turism,"leisure, travel & tourism",linkedin.com/company/j-mtland-h-rjedalen-turism,östersund,jämtland härjedalen turism,jaemtland,11-50,jamtland.se
sweden,"",orsa-kommun,government administration,linkedin.com/company/orsa-kommun,orsa,orsa kommun,dalarna,201-500,orsa.se
sweden,2004,epooq-business-management,management consulting,linkedin.com/company/epooq-business-management,"",epooq business management,stockholm,1-10,epooq.com
sweden,2019,rith-m,hospital & health care,linkedin.com/company/rith-m,stockholm,biotel europe,stockholm,1001-5000,biotel.se
sweden,"",familjecoachen-i-norr,professional training & coaching,linkedin.com/company/familjecoachen-i-norr,"",familjecoachen i norr,"",1-10,mariaklein.se
sweden,"",vacci,computer software,linkedin.com/company/vacci,"",vacci,stockholm,1-10,vacci.se
sweden,"",ab-rörpojkarna,"",linkedin.com/company/ab-rörpojkarna,västra frölunda,ab rörpojkarna,vaestra goetaland,11-50,""
sweden,2015,go-active-travel,"leisure, travel & tourism",linkedin.com/company/go-active-travel,"",go active travel,"",1-10,goactivetravel.se
sweden,"",volvo-financial-services-ab,legal services,linkedin.com/company/volvo-financial-services-ab,"",volvo financial services ab,"",1-10,""
sweden,"",flyttspecialisten-i-mälardalen-ab,"",linkedin.com/company/flyttspecialisten-i-mälardalen-ab,hagersten,flyttspecialisten i mälardalen ab,stockholms lan,11-50,""
sweden,"",apricus,"",linkedin.com/company/apricus,"",apricus,"",11-50,apricus.pro
sweden,2009,attest-nu-i-sverige-ab,information technology and services,linkedin.com/company/attest-nu-i-sverige-ab,östersund,attest.nu i sverige ab,jaemtland,11-50,attest.nu
sweden,"",strand-kapitalförvaltning,"",linkedin.com/company/strand-kapitalförvaltning,"",strand kapitalförvaltning,"",11-50,strandkapital.se
sweden,2015,stagecast,events services,linkedin.com/company/stagecast,stockholm,stagecast ab,stockholm,1-10,stagecast.se
sweden,"",exposmeter-ab,environmental services,linkedin.com/company/exposmeter-ab,"",exposmeter ab,"",1-10,exposmeter.se
sweden,"",svenska-trädmästarna-ab,"",linkedin.com/company/svenska-trädmästarna-ab,"",svenska trädmästarna ab,stockholm,11-50,""
sweden,2003,medam-ab,construction,linkedin.com/company/medam-ab,norsborg,medam ab,stockholm,11-50,medam.se
sweden,1990,lw-balsta,industrial automation,linkedin.com/company/lw-balsta,edsbyn,lw-balsta,gaevleborg,11-50,lwbalsta.se
sweden,1999,öretel,telecommunications,linkedin.com/company/öretel,"",öretel,"",11-50,oretel.se
sweden,"",midama-ekonomi-ab,"",linkedin.com/company/midama-ekonomi-ab,ljusdal,midama ekonomi ab,gavleborgs lan,11-50,""
sweden,2007,louise-edlund-utbildningar-ab,"health, wellness and fitness",linkedin.com/company/louise-edlund-utbildningar-ab,stockholm,louise edlund utbildningar ab,stockholms lan,1-10,louiseedlund.se
sweden,"",thunderful-malmö,computer games,linkedin.com/company/thunderful-malmö,"",thunderful malmö,skåne,1-10,thunderfulgames.com
sweden,2017,dist-sthlm,marketing and advertising,linkedin.com/company/dist-sthlm,"",dist sthlm,stockholm,1-10,diststhlm.com
sweden,2012,min-f-rskola-sverige-ab,information technology and services,linkedin.com/company/min-f-rskola-sverige-ab,"",min förskola sverige ab,"",1-10,minforskola.se
sweden,2009,xelmo-ab,information technology and services,linkedin.com/company/xelmo-ab,ase,xelmo ab,vasternorrlands lan,1-10,xelmo.com
sweden,2016,magenta-akustik-ab,construction,linkedin.com/company/magenta-akustik-ab,stockholm,magenta akustik ab,stockholm,1-10,magentaakustik.se
sweden,2016,miljoanalys,environmental services,linkedin.com/company/miljoanalys,falun,miljöanalys scandinavia ab,dalarnas lan,11-50,miljoanalys.com
sweden,1990,mvv-international-ab,mechanical or industrial engineering,linkedin.com/company/mvv-international-ab,vara,mvv,vaestra goetaland,51-200,mvv.se
sweden,1927,volvo-personbilar-sverige,automotive,linkedin.com/company/volvo-personbilar-sverige,goteborg,volvo car sverige,vastra gotaland,1001-5000,""
sweden,2015,aim-4-knowledge-ab,professional training & coaching,linkedin.com/company/aim-4-knowledge-ab,"",aim 4 knowledge ab,stockholm,1-10,aim4knowledge.se
sweden,1906,eio,non-profit organization management,linkedin.com/company/eio,"",elektriska installatörsorganisationen eio,stockholm,51-200,eio.se
sweden,"",swemedia-ab,marketing and advertising,linkedin.com/company/swemedia-ab,"",swemedia ab,"",51-200,swemedia.se
sweden,2011,gotime-elektronisk-körjournal,consumer electronics,linkedin.com/company/gotime-elektronisk-körjournal,jonkoping,gotime ab,jonkopings lan,1-10,gotime.se
sweden,2010,intdesign,internet,linkedin.com/company/intdesign,malmö,intdesign,skåne,1-10,intdesign.se
sweden,"",tankmobil-ab,"",linkedin.com/company/tankmobil-ab,ystad,tankmobil ab,skåne,11-50,""
sweden,2012,castellane-future-ideation,staffing and recruiting,linkedin.com/company/castellane-future-ideation,vaxholm,castellane future ideation,stockholm,1-10,castellane.se
sweden,2008,ab-franska-bukten,real estate,linkedin.com/company/ab-franska-bukten,stockholm,ab franska bukten,stockholm,11-50,franskabukten.se
sweden,2004,xeeda,management consulting,linkedin.com/company/xeeda,"",xeeda,stockholm,11-50,xeeda.se
sweden,"",rotationsplast-i-munka-ljungby-ab,"",linkedin.com/company/rotationsplast-i-munka-ljungby-ab,munka ljungby,rotationsplast i munka-ljungby ab,skåne,11-50,""
sweden,2001,ekerö-utbildning-ab,professional training & coaching,linkedin.com/company/ekerö-utbildning-ab,"",ekerö utbildning ab,"",1-10,ekeroutbildning.se
sweden,2017,favo,restaurants,linkedin.com/company/favo,boras,favo,vastra gotaland,11-50,favo.se
sweden,2010,thessén-&-ek-byggentreprenad-ab,construction,linkedin.com/company/thessén-&-ek-byggentreprenad-ab,skogas,thessén & ek byggentreprenad ab,stockholm,11-50,thessen-ek.se
sweden,2001,fjord-network-ab,telecommunications,linkedin.com/company/fjord-network-ab,"",fjord network ab,"",11-50,fjord.se
sweden,1921,belysningsbranschen,think tanks,linkedin.com/company/belysningsbranschen,stockholm,belysningsbranschen,stockholm,11-50,belysningsbranschen.se
sweden,2018,dashingdogs,internet,linkedin.com/company/dashingdogs,kungsbacka,dashing dogs,hallands lan,1-10,dashingdogs.se
sweden,2010,apotekia-ab,pharmaceuticals,linkedin.com/company/apotekia-ab,hägersten,apotekia ab,stockholm,1-10,""
sweden,"",pinq-mango-capital-partners,banking,linkedin.com/company/pinq-mango-capital-partners,stockholm,pinq mango capital partners,stockholms lan,11-50,pinkmango.org
sweden,"",agilon,computer software,linkedin.com/company/agilon,"",agilon,"",1-10,agilon.se
sweden,1990,camozzi-automation-ab,industrial automation,linkedin.com/company/camozzi-automation-ab,"",camozzi pneumatik ab,skåne,11-50,camozzi.se
sweden,1896,fordstorehedbergsbil,automotive,linkedin.com/company/fordstorehedbergsbil,"",fordstore hedbergs bil,skåne,51-200,hedbergs.se
sweden,"",mireille-art-production,fine art,linkedin.com/company/mireille-art-production,lund,mireille art production,skåne,1-10,mireille.nu
sweden,"",leaders-alliance,education management,linkedin.com/company/leaders-alliance,stockholm,leaders alliance,stockholms lan,11-50,leadersalliance.se
sweden,2001,travelize-international-ab,computer software,linkedin.com/company/travelize-international-ab,gothenburg,travelize international ab,västra götaland,11-50,travelize.com
sweden,1995,invest-sweden,government administration,linkedin.com/company/invest-sweden,stockholm,invest sweden,stockholms lan,11-50,""
sweden,2017,big-blue-charter,maritime,linkedin.com/company/big-blue-charter,"",big blue,stockholm,1-10,bigblue.fun
sweden,2015,quantus-mechatronics,electrical/electronic manufacturing,linkedin.com/company/quantus-mechatronics,"",quantus mechatronics,"",1-10,quantusmechatronics.com
sweden,1965,sidsjo-persienn-markis,consumer goods,linkedin.com/company/sidsjo-persienn-markis,sundsvall,sidsjö persienn & markis ab,vasternorrlands lan,1-10,sidsjo.nu
sweden,"",tsab-i-sollefteå-ab,"",linkedin.com/company/tsab-i-sollefteå-ab,langsele,tsab i sollefteå ab,västernorrland,11-50,""
sweden,2001,dalafrakt-ab,transportation/trucking/railroad,linkedin.com/company/dalafrakt-ab,leksand,dalafrakt ab,dalarna,201-500,dalafrakt.se
sweden,2004,ankar-arkitekter-ab,architecture & planning,linkedin.com/company/ankar-arkitekter-ab,"",ankar arkitekter ab,stockholm,1-10,ankar-arkitekter.se
sweden,"",ekolea-ekologisk-hud-och-hårvård-ab,"",linkedin.com/company/ekolea-ekologisk-hud-och-hårvård-ab,karlstad,ekolea ekologisk hud och hårvård ab,värmland,1-10,""
sweden,1992,reklambyrån-stt,marketing and advertising,linkedin.com/company/reklambyrån-stt,tranemo,reklambyrån stt,vaestra goetaland,1-10,reklambyranstt.se
sweden,2015,bryne-ab,mechanical or industrial engineering,linkedin.com/company/bryne-ab,almhult,bryne ab,kronobergs lan,1-10,bryne.se
sweden,1997,allert-järn-&-bygg,retail,linkedin.com/company/allert-järn-&-bygg,kisa,allert järn & bygg,ostergotlands lan,1-10,allertjarn.se
sweden,"",tessitura,music,linkedin.com/company/tessitura,"",tessitura,"",1-10,tessitura.se
sweden,1979,gms-group,education management,linkedin.com/company/gms-group,stockholm,gms group,stockholms lan,51-200,gmsgroup.us.com
sweden,2011,eqc-group,civil engineering,linkedin.com/company/eqc-group,borlange,eqc group,dalarnas lan,51-200,eqcgroup.se
sweden,1948,rejmes-bil,automotive,linkedin.com/company/rejmes-bil,halmstad,rejmes bil,halland,51-200,rejmesbil.se
sweden,1982,almondy-ab,food & beverages,linkedin.com/company/almondy-ab,torslanda,almondy ab,vaestra goetaland,51-200,almondy.com
sweden,"",skateboard-museum-sweden,"",linkedin.com/company/skateboard-museum-sweden,"",skateboard museum sweden,"",1-10,skateboardmuseum.se
sweden,1910,centre-party,political organization,linkedin.com/company/centre-party,"",centre party,stockholm,51-200,centerpartiet.se
sweden,1945,recotech-ab,oil & energy,linkedin.com/company/recotech-ab,arboga,recotech ab,vaestmanland,51-200,recotech.com
sweden,"",af-ingemansson-ab,civil engineering,linkedin.com/company/af-ingemansson-ab,"",åf-ingemansson ab,"",51-200,""
sweden,"",windoorscandinavia,building materials,linkedin.com/company/windoorscandinavia,"",windoor sverige ab,skåne,11-50,windoor.se
