country,founded,id,industry,linkedin_url,locality,name,region,size,website
switzerland,2001,nest-temporary-living,hospitality,linkedin.com/company/nest-temporary-living,luzern,nest temporary living,lucerne,11-50,mynest.ch
switzerland,2020,genmmxx,internet,linkedin.com/company/genmmxx,lausanne,generation mmxx,vaud,1-10,""
switzerland,"",bta-&-associates-trading,oil & energy,linkedin.com/company/bta-&-associates-trading,"",bta & associates trading,"",1-10,btatrading.com
switzerland,"",suek-ag,import and export,linkedin.com/company/suek-ag,st. gallen,suek ag,saint gallen,51-200,suekag.com
switzerland,2009,etheos,management consulting,linkedin.com/company/etheos,lausanne,etheos,vaud,1-10,etheos.ch
switzerland,1973,fibl,research,linkedin.com/company/fibl,frick,forschungsinstitut für biologischen landbau (fibl),aargau,51-200,""
switzerland,2012,martinart,arts and crafts,linkedin.com/company/martinart,kloten,"martinart, the art of uniqueness",zurich,1-10,martinart.ch
switzerland,2018,coeurwallis,"health, wellness and fitness",linkedin.com/company/coeurwallis,sierre,coeur wallis,valais,1-10,coeurwallis.ch
switzerland,2017,konovaag,executive office,linkedin.com/company/konovaag,zug,konova ag / e-mitwirkung,zug,1-10,konova.ch
switzerland,"",orthoservice-ag,medical practice,linkedin.com/company/orthoservice-ag,stansstad,orthoservice ag,nidwalden,1-10,orthoservice.com
switzerland,2011,nestle-health-science,pharmaceuticals,linkedin.com/company/nestle-health-science,"",nestlé health science,"",1001-5000,nestlehealthscience.com
switzerland,1921,waldschweiz,farming,linkedin.com/company/waldschweiz,solothurn,waldschweiz verband der waldeigentümer,solothurn,11-50,waldschweiz.ch
switzerland,2001,clus-werbeagentur,marketing and advertising,linkedin.com/company/clus-werbeagentur,chur,clus werbeagentur,graubunden,1-10,clus.ch
switzerland,"",heule-precision-tools,"",linkedin.com/company/heule-precision-tools,"",heule precision tools,"",1-10,""
switzerland,2016,goodwill-asset-management-sa,financial services,linkedin.com/company/goodwill-asset-management-sa,chiasso,goodwill asset management sa,ticino,11-50,gwam.ch
switzerland,1981,creabeton-baustoff-ag,building materials,linkedin.com/company/creabeton-baustoff-ag,rickenbach (lu),creabeton baustoff ag,lucerne,51-200,creabeton-baustoff.ch
switzerland,"",bt-soft,retail,linkedin.com/company/bt-soft,bellerive,bt soft,neuchatel,1-10,btsoft.ch
switzerland,1988,giv-gerling-industrie-vertretungen-gmbh,packaging and containers,linkedin.com/company/giv-gerling-industrie-vertretungen-gmbh,"",giv gerling industrie-vertretungen gmbh,"",1-10,g-i-v.ch
switzerland,"",scuola-superiore-medico-tecnica,e-learning,linkedin.com/company/scuola-superiore-medico-tecnica,lugano,scuola superiore medico-tecnica,ticino,51-200,ssmt.ch
switzerland,2015,axiamo,electrical/electronic manufacturing,linkedin.com/company/axiamo,biel,axiamo,bern,1-10,axiamo.com
switzerland,"",buckles-&-belts,apparel & fashion,linkedin.com/company/buckles-&-belts,lenk,buckles & belts,valais,1-10,buckles-belts.ch
switzerland,1996,success-&-career,publishing,linkedin.com/company/success-&-career,genève,success & career,geneva,1-10,success-career.ch
switzerland,"",rheinfelden,"",linkedin.com/company/rheinfelden,"",rheinfelden,"",1-10,rheinfelden.ch
switzerland,2016,dserv-solutions-sàrl,information technology and services,linkedin.com/company/dserv-solutions-sàrl,martigny,dserv solutions sàrl,valais,1-10,dserv.ch
switzerland,1966,rüegg-media-ag,printing,linkedin.com/company/rüegg-media-ag,aesch,rüegg media ag,zurich,1-10,rueggmedia.ch
switzerland,2017,outplacement-schweiz,human resources,linkedin.com/company/outplacement-schweiz,buttwil,outplacement schweiz,aargau,1-10,outplacement-schweiz.com
switzerland,1984,aquaswisstech-ast-ag,mechanical or industrial engineering,linkedin.com/company/aquaswisstech-ast-ag,sankt gallen,aquaswisstech (ast) ag,saint gallen,11-50,aquaswisstech.ch
switzerland,2010,deareinigungen,facilities services,linkedin.com/company/deareinigungen,dubendorf,dea reinigungen gmbh,zurich,51-200,dea-reinigungen.ch
switzerland,2000,blues-praxis,music,linkedin.com/company/blues-praxis,unterentfelden,blues praxis,aargau,1-10,bluespraxis.ch
switzerland,1982,häusermann-partner,legal services,linkedin.com/company/häusermann-partner,bern,häusermann+partner,bern,51-200,haeusermann.ch
switzerland,2001,msintelligence,market research,linkedin.com/company/msintelligence,genève,msintelligence - diagnostic market surveys,geneva,11-50,msintelligence.com
switzerland,"",gr-servitech,"",linkedin.com/company/gr-servitech,"",gr servitech,"",11-50,grservitech.ch
switzerland,"",leoni-corporate-advisors,management consulting,linkedin.com/company/leoni-corporate-advisors,"",leoni corporate advisors,geneva,11-50,corporate-advisors.eu
switzerland,"",dhz-ag,mining & metals,linkedin.com/company/dhz-ag,zurich,dhz ag,zurich,11-50,dhz.ch
switzerland,1895,weinbaugenossenschaft-schinznach,wine and spirits,linkedin.com/company/weinbaugenossenschaft-schinznach,schinznach dorf,wgs weinbaugenossenschaft schinznach,aargau,1-10,weinbaugenossenschaft.ch
switzerland,2013,outlet-king,retail,linkedin.com/company/outlet-king,spiez,outlet king,bern,11-50,outletking.ch
switzerland,2019,rellio,information technology and services,linkedin.com/company/rellio,solothurn,rell.io ag,solothurn,11-50,rell.io
switzerland,"",tacchini,retail,linkedin.com/company/tacchini,"",tacchini,fribourg,11-50,tacchinisa.com
switzerland,2016,361-consult,management consulting,linkedin.com/company/361-consult,zurich,361 consult,zurich,1-10,361consult.com
switzerland,2010,bricks&wide-gmbh,design,linkedin.com/company/bricks&wide-gmbh,"",bricks&wide gmbh,zurich,1-10,bricks-wide.ch
switzerland,1992,canvas-school-of-arts,education management,linkedin.com/company/canvas-school-of-arts,lausanne,canvas school of arts,vaud,11-50,canvas.ch
switzerland,2011,tessvm,"leisure, travel & tourism",linkedin.com/company/tessvm,scuol,tourismus engadin scuol samnaun val müstair ag,graubunden,11-50,engadin.com
switzerland,1892,fisa-international-rowing-federation-,sports,linkedin.com/company/fisa-international-rowing-federation-,lausanne,world rowing (fisa),vaud,11-50,worldrowing.com
switzerland,2001,movementskis,sports,linkedin.com/company/movementskis,puidoux,movement skis,vaud,51-200,movementskis.com
switzerland,2000,softproviding-ag,information technology and services,linkedin.com/company/softproviding-ag,basel,softproviding ag,basel-city,11-50,softproviding.com
switzerland,1833,universitat-zurich,higher education,linkedin.com/company/universitat-zurich,"",universitat zurich,zurich,11-50,""
switzerland,2004,emmenegger-compétences-conseils,management consulting,linkedin.com/company/emmenegger-compétences-conseils,genève,emmenegger compétences conseils,geneva,1-10,emmenegger-conseils.ch
switzerland,2016,tek&lion,arts and crafts,linkedin.com/company/tek&lion,villeneuve,tek&lion,vaud,1-10,teketlion.ch
switzerland,2015,relario-ag,telecommunications,linkedin.com/company/relario-ag,wallisellen,relario ag,zurich,1-10,relario.com
switzerland,2013,bluservices-events,events services,linkedin.com/company/bluservices-events,ascona,bluservices events,ticino,1-10,bluservices.com
switzerland,1993,association-vinea,wine and spirits,linkedin.com/company/association-vinea,sierre,association vinea,valais,11-50,vinea.ch
switzerland,2015,collectif-entre-les-lignes,marketing and advertising,linkedin.com/company/collectif-entre-les-lignes,lausanne,collectif entre les lignes,vaud,1-10,entre-les-lignes.ch
switzerland,2016,arc-power,aviation & aerospace,linkedin.com/company/arc-power,"",arc power,"",1-10,arc-power.com
switzerland,"",nt-consulting-sarl,information technology and services,linkedin.com/company/nt-consulting-sarl,nyon,nt consulting sarl,vaud,1-10,ntconsulting.ch
