country,founded,id,industry,linkedin_url,locality,name,region,size,website
taiwan,2015,arisan-inc.,information technology and services,linkedin.com/company/arisan-inc.,"",arisan inc.,taiwan,1-10,arisan.io
taiwan,2015,emergency-dispatch-africa,public safety,linkedin.com/company/emergency-dispatch-africa,taipei,"emergency dispatch africa, a kiipo company",taiwan,11-50,emergencydispatchafrica.com
taiwan,"",sharp-point-media-group,online media,linkedin.com/company/sharp-point-media-group,"",尖端媒體集團 sharp point  media group,taiwan,51-200,spp.com.tw
taiwan,"",generator-digital-technology-co.ltd,computer games,linkedin.com/company/generator-digital-technology-co.ltd,"","generator digital technology co.,ltd.(菁磊科技有限公司)","",51-200,gene-rator.com
taiwan,1998,wat-racing-performance-product,automotive,linkedin.com/company/wat-racing-performance-product,"",wat racing performance product/ we're top corporation,taiwan,11-50,"www,wat.com.tw"
taiwan,2011,m31-technology,semiconductors,linkedin.com/company/m31-technology,"",m31 technology,taiwan,51-200,m31tech.com
taiwan,1969,knh-enterprise,consumer goods,linkedin.com/company/knh-enterprise,taipei,"knh enterprise co., ltd",taiwan,501-1000,knh.com.tw
taiwan,"",boston-preparatory,education management,linkedin.com/company/boston-preparatory,taipei,boston preparatory education group,taiwan,11-50,bostonpreparatory.com
taiwan,1994,volktek-corporation,computer networking,linkedin.com/company/volktek-corporation,taipei,volktek corporation,taiwan,51-200,volktek.com
taiwan,2015,bp-management-consulting-company,human resources,linkedin.com/company/bp-management-consulting-company,taipei,bp management consulting company,taiwan,1-10,bp-mgntconsulting.com
taiwan,2007,chiyi-technology,medical devices,linkedin.com/company/chiyi-technology,"",chiyi technology,taiwan,51-200,chiyitech.com
taiwan,2007,storm-design_2,graphic design,linkedin.com/company/storm-design_2,"",storm design,taiwan,1-10,stormdesign.com.tw
taiwan,"",great-alps-industry-co.-ltd.,apparel & fashion,linkedin.com/company/great-alps-industry-co.-ltd.,"",great alps industry co. ltd.,"",51-200,lebags.com.tw
taiwan,"",cygnus-inc-,"",linkedin.com/company/cygnus-inc-,"",cygnus inc.,"",11-50,cygnus.com.tw
taiwan,2009,群力電能,electrical/electronic manufacturing,linkedin.com/company/群力電能,"","emerald battery technologies co.,ltd.","",11-50,emeraldbatt.com
taiwan,"",lan-fong-hang-co.-ltd,mining & metals,linkedin.com/company/lan-fong-hang-co.-ltd,"","lan fong hang co., ltd","",11-50,""
taiwan,"",dimension-computer-technology-co-ltd,internet,linkedin.com/company/dimension-computer-technology-co-ltd,taipei,dimension computer technology co ltd,taiwan,1-10,""
taiwan,"",vertex-precision-components-corporation,machinery,linkedin.com/company/vertex-precision-components-corporation,taipei city,vertex precision components corporation,taiwan,1-10,vtx-precision.com
taiwan,"",leading-precision-inc.,semiconductors,linkedin.com/company/leading-precision-inc.,"",leading precision inc.,"",11-50,lpitw.com
taiwan,1990,chyi-cheng-co--ltd,furniture,linkedin.com/company/chyi-cheng-co--ltd,hualien,"chyi cheng co.,ltd",taiwan,51-200,chyicheng.com
taiwan,"",hdam-digital-technology-inc.,online media,linkedin.com/company/hdam-digital-technology-inc.,taipei,"hdam digital technology, inc.",taiwan,1-10,""
taiwan,2019,lscecosys,automotive,linkedin.com/company/lscecosys,taoyuan city,lsc ecosystem corporation,taiwan,51-200,lsc.eco
taiwan,"",hua-nan-securities,investment banking,linkedin.com/company/hua-nan-securities,"",hua nan securities,"",1001-5000,hnfhc.com.tw
taiwan,1980,simcotw,machinery,linkedin.com/company/simcotw,"",simco spring machinery company,taiwan,51-200,simcotw.com
taiwan,"",muzik-creative-digital-ltd,music,linkedin.com/company/muzik-creative-digital-ltd,"",muzik creative digital ltd.,taiwan,1-10,muzikair.com
taiwan,1991,the-steve-joan-inc,apparel & fashion,linkedin.com/company/the-steve-joan-inc,taipei,the steve & joan inc.,taiwan,11-50,""
taiwan,1997,iei-integration-corp,computer hardware,linkedin.com/company/iei-integration-corp,"",iei integration corp.,taiwan,501-1000,ieiworld.com
taiwan,2009,icatch-technology,semiconductors,linkedin.com/company/icatch-technology,"",icatch technology,taiwan,51-200,icatchtek.com
taiwan,"",innovex-taipei,information technology and services,linkedin.com/company/innovex-taipei,taipei,innovex_taipei,taiwan,201-500,computex.biz
taiwan,"",eminent-luggage-corp-,import and export,linkedin.com/company/eminent-luggage-corp-,"",eminent luggage corp.,"",1-10,eminent.com
taiwan,2011,yushan-ventures-ltd-,venture capital & private equity,linkedin.com/company/yushan-ventures-ltd-,taipei,"yushan ventures, inc.",taiwan,1-10,yushanventures.com
taiwan,2002,browan-communications-inc-,telecommunications,linkedin.com/company/browan-communications-inc-,"","browan communications, inc.",taiwan,51-200,browan.com
taiwan,1982,pershing-technology-services-corporation,information technology and services,linkedin.com/company/pershing-technology-services-corporation,taipei,ptsc pershing technology services corporation 北祥科技服務股份有限公司,taiwan,51-200,pershing.com.tw
taiwan,1987,elite-pr-group,public relations and communications,linkedin.com/company/elite-pr-group,taipei,elite pr group,taiwan,201-500,eliteprgroup.com
taiwan,1995,jxf-trading-corp.,import and export,linkedin.com/company/jxf-trading-corp.,panchiao,jxf trading corp.,t'ai-pei,11-50,jxf.com.tw
taiwan,2010,5-seasons-co-ltd-,industrial automation,linkedin.com/company/5-seasons-co-ltd-,"","5 seasons co., ltd.",taiwan,11-50,5seasonstech.com
taiwan,"",glyconex-inc-4168-,pharmaceuticals,linkedin.com/company/glyconex-inc-4168-,taipei,glyconex inc (4168),taiwan,1-10,glyconex.com.tw
taiwan,1983,mylas-machinery,machinery,linkedin.com/company/mylas-machinery,"",mylas machinery,"",51-200,mym.com.tw
taiwan,1996,aopen,information technology and services,linkedin.com/company/aopen,"",aopen,taiwan,501-1000,aopen.com
taiwan,"",san-jung-rubber-ind-corp-ltd-,"",linkedin.com/company/san-jung-rubber-ind-corp-ltd-,"",san jung rubber ind. corp. ltd.,"",1-10,sanjung.com.tw
taiwan,1997,highlight-tech-corp.,mechanical or industrial engineering,linkedin.com/company/highlight-tech-corp.,tainan city,highlight tech corp. (twse: 6208),tainan,51-200,high-light.com.tw
taiwan,1994,direction-design-group-llc-ddg-,marketing and advertising,linkedin.com/company/direction-design-group-llc-ddg-,taipei,ddg ( direction design group llc ),taiwan,11-50,ddg.com.tw
taiwan,"",piip,legal services,linkedin.com/company/piip,"",piip,"",51-200,piip.pro
taiwan,2011,ternbicycles,sporting goods,linkedin.com/company/ternbicycles,"",tern bicycles,taiwan,51-200,ternbicycles.com
taiwan,"",efcotec,computer hardware,linkedin.com/company/efcotec,"",efcotec,taipei,51-200,efcotec.com
taiwan,"",chateau-de-chine,hospitality,linkedin.com/company/chateau-de-chine,kaohsiung,chateau de chine 翰品酒店,takao,1001-5000,chateaudechine.com
taiwan,"",euroiltec-industry-co-ltd,"",linkedin.com/company/euroiltec-industry-co-ltd,"",euroiltec industry co. ltd,"",1-10,euroiltec.com.tw
taiwan,1984,geovision-inc,luxury goods & jewelry,linkedin.com/company/geovision-inc,taipei,"geovision, inc.",taiwan,1-10,thegemhunters.com
taiwan,2002,sparklan-communications-inc-,wireless,linkedin.com/company/sparklan-communications-inc-,taipei,"sparklan communications, inc.",taiwan,11-50,sparklan.com
taiwan,"",大田volando,"",linkedin.com/company/大田volando,"",大田volando,"",11-50,volando.com.tw
taiwan,2016,ose-app,entertainment,linkedin.com/company/ose-app,kaohsiung city,ose,kaohsiung,1-10,ose-app.com
taiwan,1974,san-hsin-plastech-co-ltd,plastics,linkedin.com/company/san-hsin-plastech-co-ltd,"","san hsin plastech co., ltd.",taiwan,51-200,sanhsin.com.tw
taiwan,2009,sanjet-corp-,consumer electronics,linkedin.com/company/sanjet-corp-,"",sanjet corp.,taiwan,201-500,sanjetco.com
taiwan,"",loover,"",linkedin.com/company/loover,"",loover,"",11-50,loover.com.tw
taiwan,2001,hyperbola,apparel & fashion,linkedin.com/company/hyperbola,taipei,hyperbola,taiwan,11-50,hyperbola.com.tw
taiwan,"",globalwafers-co-ltd-,electrical/electronic manufacturing,linkedin.com/company/globalwafers-co-ltd-,"","globalwafers co., ltd.","",51-200,sas-globalwafers.com
taiwan,2016,joyso,internet,linkedin.com/company/joyso,taipei,joyso,taiwan,11-50,joyso.io
taiwan,2007,advanpos-technology-co-ltd-,computer hardware,linkedin.com/company/advanpos-technology-co-ltd-,"","advanpos technology co., ltd.",taiwan,51-200,advanpos.com
