country,founded,id,industry,linkedin_url,locality,name,region,size,website
tanzania,2004,kabubi-tours-and-safaris,"leisure, travel & tourism",linkedin.com/company/kabubi-tours-and-safaris,arusha,kabubi tours and safaris,arusha,1-10,kabubisafaris.com
tanzania,2005,chagga-tours-limited,"leisure, travel & tourism",linkedin.com/company/chagga-tours-limited,moshi,chagga tours limited,kilimanjaro,1-10,chagga-tours.com
tanzania,"",conservation-outcomes,law enforcement,linkedin.com/company/conservation-outcomes,butiama,conservation outcomes,mara,1-10,conservationoutcomes.com
tanzania,2017,mifumotz-technologies,information technology and services,linkedin.com/company/mifumotz-technologies,dar es salaam,mifumotz technologies,dar es salaam,1-10,mifumotz.com
tanzania,"",tecsira,"",linkedin.com/company/tecsira,"",tecsira,"",1-10,tecsira.com
tanzania,2016,harlos-comp-limited,logistics and supply chain,linkedin.com/company/harlos-comp-limited,"",harlos containers,dar es salaam,1-10,harloscompltd.co.tz
tanzania,2014,fab-cars,transportation/trucking/railroad,linkedin.com/company/fab-cars,"",fab cars,dar es salaam,11-50,fabcars.co.tz
tanzania,"",mzalendo-credit-limited,financial services,linkedin.com/company/mzalendo-credit-limited,"",mzalendo credit limited,"",11-50,mzalendocredit.com
tanzania,"",century-cinemax-ltd,entertainment,linkedin.com/company/century-cinemax-ltd,"",century cinemax ltd,"",51-200,centurycinemax.co.ug
tanzania,"",legendary-it-solution,information technology and services,linkedin.com/company/legendary-it-solution,"",legendary it solution,dar es salaam,1-10,legendaryits.com
tanzania,2012,sourcenets,information technology and services,linkedin.com/company/sourcenets,dar es salaam,sourcenets,dar es salaam,11-50,sourcenets.com
tanzania,"",soul-of-tanzania,"leisure, travel & tourism",linkedin.com/company/soul-of-tanzania,arusha,soul of tanzania,arusha,1-10,souloftanzania.com
tanzania,"",dar-es-salaam-stock-exchange,financial services,linkedin.com/company/dar-es-salaam-stock-exchange,"",dar es salaam stock exchange,"",11-50,""
tanzania,2015,setup-t-ltd,marketing and advertising,linkedin.com/company/setup-t-ltd,"",setup limited,dar es salaam,11-50,setupltd.com
tanzania,2007,tanzania-volunteer-experience-tve,non-profit organization management,linkedin.com/company/tanzania-volunteer-experience-tve,arusha,tanzania volunteer experience (tve),arusha,11-50,tanzaniavolunteerexperience.org
tanzania,2006,zanzibar-palace-hotel,hospitality,linkedin.com/company/zanzibar-palace-hotel,"",zanzibar palace hotel,"",1-10,zanzibarpalacehotel.com
tanzania,2011,molly's-network,non-profit organization management,linkedin.com/company/molly's-network,dar es salaam,molly's network,dar es salaam,1-10,mollysnetwork.org
tanzania,2001,pyramid-pharma,hospital & health care,linkedin.com/company/pyramid-pharma,dar es salaam,pyramid pharma,dar es salaam,51-200,pyramidpharma.com
tanzania,2008,krb-freight-co-ltd,logistics and supply chain,linkedin.com/company/krb-freight-co-ltd,dar es salaam,krb freight co ltd,dar es salaam,1-10,krbfreight.com
tanzania,2011,the-sales-house,management consulting,linkedin.com/company/the-sales-house,"",the sales house,dar es salaam,1-10,saleshouse.co.tz
tanzania,2017,fimco-tanzania,financial services,linkedin.com/company/fimco-tanzania,dar es salaam,"fimco, ltd.",dar es salaam,1-10,fimco.co.tz
tanzania,"",said-said-inc,marketing and advertising,linkedin.com/company/said-said-inc,"",said said inc,"",1-10,saidsaid.net
tanzania,2017,d&dengineering,construction,linkedin.com/company/d&dengineering,"",d&d engineering limited,dar es salaam,1-10,ddengineering.co.tz
tanzania,2013,kauli,apparel & fashion,linkedin.com/company/kauli,moshi,kauli,kilimanjaro,11-50,kauli.co
tanzania,1936,simbasctanzania,sports,linkedin.com/company/simbasctanzania,dar es salaam,simba sports club ltd,dar es salaam,11-50,simbasportsclub.org.uk
tanzania,2019,lyfplus-limited,medical practice,linkedin.com/company/lyfplus-limited,dar es salaam,lyfplus limited,dar es salaam,11-50,lyfplus.com
tanzania,2003,quincher-freight-forwarders-company-limited,transportation/trucking/railroad,linkedin.com/company/quincher-freight-forwarders-company-limited,"",quincher freight forwarders company limited,"",1-10,quincherforwarders.co.tz
tanzania,2011,fahim-ayaz---luxury-retail,luxury goods & jewelry,linkedin.com/company/fahim-ayaz---luxury-retail,dar es salaam,fahim ayaz - luxury retail,dar es salaam,11-50,""
tanzania,2013,elvenagri,food & beverages,linkedin.com/company/elvenagri,dar es salaam,elven agri,dar es salaam,51-200,elvenagri.com
tanzania,2015,eotanzania,non-profit organization management,linkedin.com/company/eotanzania,"",eo tanzania,dar es salaam,1-10,""
tanzania,2014,wunderkids-company-limited,information technology and services,linkedin.com/company/wunderkids-company-limited,"",wunderkids company limited,dar es salaam,1-10,wunderkids.co.tz
tanzania,2018,andolvecompany,graphic design,linkedin.com/company/andolvecompany,"",andolvecompany,dar es salaam,1-10,andolve.com
tanzania,2006,sesedo---sustainable-energy-services-organisation,renewables & environment,linkedin.com/company/sesedo---sustainable-energy-services-organisation,"",sesedo - sustainable energy services organisation,"",11-50,sesedo.or.tz
tanzania,2013,hosanna-higher-technologies,computer software,linkedin.com/company/hosanna-higher-technologies,"",hosanna higher technologies,dar es salaam,1-10,hosannahighertech.co.tz
