country,founded,id,industry,linkedin_url,locality,name,region,size,website
thailand,2013,acommerce,internet,linkedin.com/company/acommerce,bangkok,acommerce - ecommerce solutions for southeast asia,bangkok,501-1000,acommerce.asia
thailand,"",kitiwatana-plastech,"",linkedin.com/company/kitiwatana-plastech,"",kitiwatana plastech,"",1-10,kitiwatana.com
thailand,"",rangsit-plaza-co-ltd-,retail,linkedin.com/company/rangsit-plaza-co-ltd-,"","rangsit plaza co., ltd.",pathum thani,1-10,futurepark.co.th
thailand,"",petronas-international-marketing-thailand-co-ltd,oil & energy,linkedin.com/company/petronas-international-marketing-thailand-co-ltd,"","petronas international marketing (thailand) co., ltd.",bangkok,51-200,""
thailand,"",suwannaphum-rice-co.-ltd.,international trade and development,linkedin.com/company/suwannaphum-rice-co.-ltd.,"","suwannaphum rice co.,ltd.",bangkok,11-50,suwannaphumrice.com
thailand,2006,ched-lee,"health, wellness and fitness",linkedin.com/company/ched-lee,bangkok,ched lee,krung thep,1-10,chedlee.com
thailand,"",shamirlensthailand,"",linkedin.com/company/shamirlensthailand,"",shamirlensthailand,"",11-50,shamirlensthailand.com
thailand,2014,wormsl,farming,linkedin.com/company/wormsl,ayutthaya,wormsl,phra nakhon si ayutthaya,1-10,wormsl.com
thailand,2004,thaifex-anuga-asia,events services,linkedin.com/company/thaifex-anuga-asia,"",thaifex - anuga asia,bangkok,51-200,thaifex-anuga.com
thailand,1893,the-thai-red-cross-society,non-profit organization management,linkedin.com/company/the-thai-red-cross-society,"",the thai red cross society,bangkok,1001-5000,redcross.or.th
thailand,1991,isuzu-technical-center-of-asia,automotive,linkedin.com/company/isuzu-technical-center-of-asia,"",isuzu technical center of asia,"",201-500,isuzu-ita.com
thailand,"",the-sukha-house,food & beverages,linkedin.com/company/the-sukha-house,amphoe san sai,the sukha house,chiang mai,1-10,sukhahouse.com
thailand,2009,belgian-beverage-asia-co-ltd-,food & beverages,linkedin.com/company/belgian-beverage-asia-co-ltd-,phra khanong,"belgian beverage asia co., ltd.",bangkok,11-50,belgianbeersbangkok.com
thailand,2012,soneva,hospitality,linkedin.com/company/soneva,"",the soneva group,bangkok,1001-5000,soneva.com
thailand,2012,ake-ake,apparel & fashion,linkedin.com/company/ake-ake,"",ake ake,bangkok,11-50,akeake.com
thailand,2013,trinity-asia-group,management consulting,linkedin.com/company/trinity-asia-group,"",trinity asia group,bangkok,51-200,trinitygroup.asia
thailand,"",m-j-,"",linkedin.com/company/m-j-,"",m.j.,"",5001-10000,mjbangkok.com
thailand,2005,detecon-asia-pacific-ltd-,telecommunications,linkedin.com/company/detecon-asia-pacific-ltd-,bangkok,detecon asia-pacific ltd.,bangkok,11-50,detecon.asia
thailand,2015,klimtechs,consumer electronics,linkedin.com/company/klimtechs,"",klim technologies,chiang mai,11-50,klimtechs.com
thailand,2015,shake-hands-thailand-co--ltd-,graphic design,linkedin.com/company/shake-hands-thailand-co--ltd-,"","shake hands (thailand) co.,ltd.","",1-10,shakehands-thai.com
thailand,"",ake-rice-mill-co-ltd-,food production,linkedin.com/company/ake-rice-mill-co-ltd-,"","ake rice mill co., ltd.",nonthaburi,51-200,akericemill.com
thailand,2018,hydigital,marketing and advertising,linkedin.com/company/hydigital,bangkok,hy-digital,bangkok,1-10,""
thailand,2004,ks-seastar-co-ltd,food production,linkedin.com/company/ks-seastar-co-ltd,nong chok,"ks seastar co.,ltd.. bangkok, thailand",bangkok,11-50,ksseastar.com
thailand,"",infogrammer,computer software,linkedin.com/company/infogrammer,"",infogrammer,bangkok,11-50,infogrammer.com
thailand,2018,satiapp,"health, wellness and fitness",linkedin.com/company/satiapp,bangkok,sati,bangkok,1-10,satiapp.co
thailand,1989,milott-laboratories-co.-ltd.,cosmetics,linkedin.com/company/milott-laboratories-co.-ltd.,"",milott laboratories,"",51-200,milott.com
thailand,"",minor-hotel-group,hospitality,linkedin.com/company/minor-hotel-group,bangkok,minor hotel group,krung thep,10001+,minorhotels.com
thailand,2007,east-coast-design,design,linkedin.com/company/east-coast-design,klaeng,east coast design,rayong,1-10,eastcoastdesign.com.au
thailand,"",iteus-corporation,information technology and services,linkedin.com/company/iteus-corporation,"",iteus corporation,"",11-50,iteus.co.th
thailand,"",idea-intelligent-technology,information technology and services,linkedin.com/company/idea-intelligent-technology,"",idea intelligent technology,"",1-10,ideait.co.th
thailand,2000,applied-scientific-instruments-co-ltd,international trade and development,linkedin.com/company/applied-scientific-instruments-co-ltd,"","applied scientific instruments co., ltd.",bangkok,11-50,asithailand.com
thailand,"",aquasports-co-ltd-kasawari-lembeh-resort-pt-aquasports-indonesia,"",linkedin.com/company/aquasports-co-ltd-kasawari-lembeh-resort-pt-aquasports-indonesia,"",aquasports co. ltd. / kasawari lembeh resort / pt. aquasports indonesia,"",1-10,kasawari.com
thailand,2019,american-asia-tax-company-ltd,accounting,linkedin.com/company/american-asia-tax-company-ltd,"",american asia tax company ltd.,bangkok,1-10,americanasiatax.com
thailand,"",m-a-i-f-trading-co-ltd,food & beverages,linkedin.com/company/m-a-i-f-trading-co-ltd,"","m.a.i.f. trading co.,ltd",bangkok,11-50,maiftrading.com
thailand,"",chiang-mai-thai-cookery-school,"leisure, travel & tourism",linkedin.com/company/chiang-mai-thai-cookery-school,chiang mai,chiang mai thai cookery school,chiang mai,11-50,thaicookeryschool.com
thailand,2017,the-code-time,computer software,linkedin.com/company/the-code-time,bangkok,the code time,bangkok,1-10,thecodetime.com
thailand,2015,acshield,"leisure, travel & tourism",linkedin.com/company/acshield,"",dj's club tours,bangkok,1-10,bangkokclubtours.com
thailand,2003,ktn-business-solutions-co.-ltd.,computer software,linkedin.com/company/ktn-business-solutions-co.-ltd.,chatuchak,"ktn business solutions co., ltd.",bangkok,11-50,ktnbusinesssolutions.com
thailand,2015,njb-imports-exports,import and export,linkedin.com/company/njb-imports-exports,bangkok,njb imports-exports,krung thep,1-10,njb-importexport.com
thailand,2015,yeswebdesignstudio,design,linkedin.com/company/yeswebdesignstudio,"",yes web design studio,bangkok,1-10,yeswebdesignstudio.com
thailand,"",samui-asia-divers,sports,linkedin.com/company/samui-asia-divers,"",samui-asia-divers,"",1-10,samui-asia-divers.com
