country,founded,id,industry,linkedin_url,locality,name,region,size,website
turkey,2015,projectcloud-labs,computer software,linkedin.com/company/projectcloud-labs,sisli,projectcloud labs,istanbul,1-10,projectcloudlabs.com
turkey,2015,bgfilo,automotive,linkedin.com/company/bgfilo,eskisehir,bg filo kiralama,eskisehir,1-10,bgfilo.net
turkey,"",bayraktar-mühendislik,"",linkedin.com/company/bayraktar-mühendislik,"",bayraktar mühendislik,"",11-50,bayraktarmuhendislik.com.tr
turkey,1999,keşif-elektronik-san-tic-ltd-şti-ledi̇m-aydınlatma,electrical/electronic manufacturing,linkedin.com/company/keşif-elektronik-san-tic-ltd-şti-ledi̇m-aydınlatma,"",keşif elektronik san. tic. ltd. şti. - ledi̇m aydınlatma,istanbul,51-200,ledim.com.tr
turkey,"",marmara-ambulans,higher education,linkedin.com/company/marmara-ambulans,i̇stanbul,marmara ambulans,istanbul,1-10,maydaymobil.com
turkey,"",sermatek-makina-san-markalama-com,"",linkedin.com/company/sermatek-makina-san-markalama-com,"",sermatek maki̇na san.markalama.com,"",1-10,markalama.com
turkey,2020,iyilik-icin-kodla,non-profit organization management,linkedin.com/company/iyilik-icin-kodla,"",i̇yilik i̇çin kodla,istanbul,201-500,iyilikicinkodla.com
turkey,2003,furnishwithoutlimits,furniture,linkedin.com/company/furnishwithoutlimits,"",adasan ltd - furnish without limits,istanbul,201-500,adasan.com
turkey,1996,creart---creative-art-group,architecture & planning,linkedin.com/company/creart---creative-art-group,"",creart - creative art group,istanbul,51-200,creart.com.tr
turkey,2006,ekip-spor,sporting goods,linkedin.com/company/ekip-spor,istanbul,ekip spor ekipmanlari i̇nşaat san. ve ti̇c. ltd. şti,istanbul,11-50,ekipspor.com.tr
turkey,1997,galata-transport,transportation/trucking/railroad,linkedin.com/company/galata-transport,sisli,galata taşımacılık & ticaret aş / galata transport & inc.co.,istanbul,51-200,galpi.com.tr
turkey,"",sumak-pompa,"",linkedin.com/company/sumak-pompa,"",sumak pompa,"",11-50,""
turkey,1975,dost-pasta,food production,linkedin.com/company/dost-pasta,buyukkaristiran,dost pasta,kirklareli,51-200,""
turkey,2006,duzey-medical-systems,hospital & health care,linkedin.com/company/duzey-medical-systems,yenimahalle,duzey medical systems,ankara,11-50,duzeymed.com.tr
turkey,2014,bypi,management consulting,linkedin.com/company/bypi,maslak,bypi,istanbul,11-50,bypi.com.tr
turkey,2004,akis-kontrol-teknolojileri-ltd-sti-,machinery,linkedin.com/company/akis-kontrol-teknolojileri-ltd-sti-,yenimahalle,akis kontrol teknolojileri ltd. sti.,ankara,1-10,akiskontrol.com.tr
turkey,2017,dark-zone-game-studio,computer games,linkedin.com/company/dark-zone-game-studio,"",dark zone game studio,ankara,1-10,darkzone.com.tr
turkey,"",evoco-polymers,chemicals,linkedin.com/company/evoco-polymers,gebze,evoco polymers,kocaeli,1-10,evocopolymers.com
turkey,1994,plato-bilgisayar-ltd.-şti.,computer hardware,linkedin.com/company/plato-bilgisayar-ltd.-şti.,"",plato bilgisayar ltd. şti.,ankara,11-50,plato.web.tr
turkey,"",charcoal-market,"",linkedin.com/company/charcoal-market,"",charcoal market,"",1-10,charcoalmarket.net
turkey,2014,aska-insaat,construction,linkedin.com/company/aska-insaat,yenimahalle,aska insaat,ankara,11-50,askainsaatas.com
turkey,"",spg-wind,renewables & environment,linkedin.com/company/spg-wind,i̇stanbul,spg wind,istanbul,11-50,spgwind.com
turkey,2015,moda-kariyeri,apparel & fashion,linkedin.com/company/moda-kariyeri,i̇stanbul,moda kariyeri,istanbul,1-10,modakariyeri.com
turkey,2012,teknodata-bilgi-teknolojileri-ltd-sti-,information technology and services,linkedin.com/company/teknodata-bilgi-teknolojileri-ltd-sti-,"",teknodata bilgi teknolojileri,ankara,1-10,teknodata.com.tr
turkey,2018,denimai-com,textiles,linkedin.com/company/denimai-com,"",denimai.com,istanbul,1-10,denimai.com
turkey,2006,clickmedya,internet,linkedin.com/company/clickmedya,i̇stanbul,clickmedya,istanbul,1-10,clickmedya.com
turkey,2015,journo,broadcast media,linkedin.com/company/journo,"",journo,istanbul,1-10,journo.com.tr
turkey,2006,s&s-translation-services,translation and localization,linkedin.com/company/s&s-translation-services,kadikoy,s&s translation services,istanbul,1-10,ssceviri.com
turkey,1956,colakogullari,logistics and supply chain,linkedin.com/company/colakogullari,maltepe,çolakoğulları nakliyat,istanbul,51-200,colakoglunakliyat.com
turkey,1997,eskidjimuzayedecilik,events services,linkedin.com/company/eskidjimuzayedecilik,istanbul,eskidji müzayedecilik a.ş.,istanbul,51-200,""
turkey,2012,emas-alternati̇f-yakit-si̇stemleri̇-san-ti̇c-ltd-şti̇-,automotive,linkedin.com/company/emas-alternati̇f-yakit-si̇stemleri̇-san-ti̇c-ltd-şti̇-,yildirim,emas alternati̇f yakit si̇stemleri̇ san.ti̇c.ltd.şti̇.,kayseri,11-50,emas-group.com
turkey,1975,phillip-capital-menkul-değerler-a-ş-,financial services,linkedin.com/company/phillip-capital-menkul-değerler-a-ş-,i̇stanbul,phillip capital menkul değerler a.s.,istanbul,11-50,phillipfx.com
turkey,2000,kabey-m-hendislik-ltd-ti-,mechanical or industrial engineering,linkedin.com/company/kabey-m-hendislik-ltd-ti-,"",kabey mühendislik ltd. şti.,antalya,1-10,kabeymuhendislik.com
turkey,1964,yeni-i̇nci,apparel & fashion,linkedin.com/company/yeni-i̇nci,bayrampasa,yeni i̇nci,istanbul,201-500,""
turkey,1992,akabe-mühendislik,building materials,linkedin.com/company/akabe-mühendislik,altindag,akabe mühendislik,ankara,11-50,akabeltd.com.tr
turkey,1980,betako-interior-design,design,linkedin.com/company/betako-interior-design,"",betako interior design,"",11-50,betako.com
