country,founded,id,industry,linkedin_url,locality,name,region,size,website
uganda,2001,in-line-print-services,printing,linkedin.com/company/in-line-print-services,kampala,in-line print services,kampala,51-200,inlineprint.co.ug
uganda,2016,zmqafrica,civic & social organization,linkedin.com/company/zmqafrica,kampala,zmq africa ltd.,kampala,11-50,zmqafrica.com
uganda,"",tororo-cement-limited,electrical/electronic manufacturing,linkedin.com/company/tororo-cement-limited,"",tororo cement limited,"",1001-5000,tororocement.com
uganda,"",gorilla-tour-booking-safaris,"leisure, travel & tourism",linkedin.com/company/gorilla-tour-booking-safaris,"",gorilla tour booking safaris ltd,"",11-50,gorillatourbooking.com
uganda,"",wizarts-media,broadcast media,linkedin.com/company/wizarts-media,"",wizarts media,"",51-200,wizartsmedia.com
uganda,2014,earthlinktech,information technology and services,linkedin.com/company/earthlinktech,kampala,earthlink technologies,kampala,11-50,""
uganda,"",straight-talk-foundation,non-profit organization management,linkedin.com/company/straight-talk-foundation,"",straight talk foundation,"",51-200,straight-talk.or.ug
uganda,"",afro-alpine-pharma-limited,pharmaceuticals,linkedin.com/company/afro-alpine-pharma-limited,kabale,afro alpine pharma limited,western region,1-10,afroalpine.co.ug
uganda,"",ryra-investments-ltd,financial services,linkedin.com/company/ryra-investments-ltd,nakawa,ryra investments ltd,iganga,1-10,ryrainvest.com
uganda,2015,huron-consultancy-services-limited,human resources,linkedin.com/company/huron-consultancy-services-limited,kampala,huron consultancy services limited,kampala,1-10,huronconsultancy.com
uganda,2019,nileone-academy,higher education,linkedin.com/company/nileone-academy,kampala,nileone academy,central region,11-50,""
uganda,2012,ezeemoney-ltd,financial services,linkedin.com/company/ezeemoney-ltd,kampala,ezeemoney ltd,kampala,51-200,ezeemoney.co.ug
uganda,2004,fontes-foundation,non-profit organization management,linkedin.com/company/fontes-foundation,kampala,fontes foundation,kampala,11-50,fontes.no
uganda,"",real-group-africa,public relations and communications,linkedin.com/company/real-group-africa,"",real group africa,"",11-50,real-group.biz
uganda,"",college-for-professional-development,education management,linkedin.com/company/college-for-professional-development,"",college for professional development,"",1-10,cpd.ac.ug
uganda,2014,namulondo-investments-limited,real estate,linkedin.com/company/namulondo-investments-limited,kampala,namulondo investments limited,kampala,11-50,namulondoinvestments.co.ug
uganda,"",endeleaug,farming,linkedin.com/company/endeleaug,kampala,endelea ug,kampala,1-10,endeleaug.com
uganda,"",filmreport,media production,linkedin.com/company/filmreport,kampala,film report,central region,11-50,filmreport.ug
uganda,2017,kuteesa-foundation,individual & family services,linkedin.com/company/kuteesa-foundation,kampala,kuteesa foundation,central region,1-10,kutessafoundation.org
uganda,2014,the-lens-foundation,photography,linkedin.com/company/the-lens-foundation,kampala,the lens foundation,kampala,51-200,thelensfoundation.org
uganda,2011,kola-studios,computer games,linkedin.com/company/kola-studios,kampala,kola studios,kampala,1-10,kolastudios.com
uganda,2001,platform-holdings,import and export,linkedin.com/company/platform-holdings,kampala,platform holdings,kampala,201-500,platformholdings.co.ug
uganda,"",pearl-safaris-holidays,"leisure, travel & tourism",linkedin.com/company/pearl-safaris-holidays,kampala,pearl safaris & holidays,kampala,1-10,""
uganda,2010,global-health-uganda,non-profit organization management,linkedin.com/company/global-health-uganda,kampala,global health uganda,kampala,201-500,globalhealthuganda.org
uganda,2004,teso-educational-support-services,education management,linkedin.com/company/teso-educational-support-services,"",teso educational support services,"",1-10,tess.uk.net
uganda,2017,digicon-academy,professional training & coaching,linkedin.com/company/digicon-academy,nakawa,digicon academy,iganga,1-10,digicon.academy
