country,founded,id,industry,linkedin_url,locality,name,region,size,website
ukraine,"",iprospectukraine,marketing and advertising,linkedin.com/company/iprospectukraine,kiev,iprospect ukraine,kyyiv,11-50,iprospect.com.ua
ukraine,"",sd-capital,investment banking,linkedin.com/company/sd-capital,"",sd capital,kyiv,11-50,sd.capital
ukraine,2016,tulsun-foundation,philanthropy,linkedin.com/company/tulsun-foundation,"",tulsun foundation,kyiv,1-10,tulsun.foundation
ukraine,2014,gpmg,oil & energy,linkedin.com/company/gpmg,"",gpm group,"",11-50,gpmg-ua.com
ukraine,2015,dmart-production,media production,linkedin.com/company/dmart-production,kyiv,dmart production,kyiv city,11-50,dmartproduction.com
ukraine,2011,web-studio-design,information technology and services,linkedin.com/company/web-studio-design,sumy,web studio design,sumy,1-10,webstudiodesign.com.ua
ukraine,2002,intext-translation-company,translation and localization,linkedin.com/company/intext-translation-company,"",intext translation company,dnipro,11-50,intext.ru
ukraine,2016,ukrainian-heart-association,civic & social organization,linkedin.com/company/ukrainian-heart-association,kiev,ukrainian heart association,kyyiv,1-10,heart.org.ua
ukraine,"",pbb-design,internet,linkedin.com/company/pbb-design,"",pbb-design,lviv,1-10,pbb.lviv.ua
ukraine,2018,art-of-business-analysis,professional training & coaching,linkedin.com/company/art-of-business-analysis,kiev,art of business analysis,kyyiv,1-10,artofba.com
ukraine,2009,visarteam,graphic design,linkedin.com/company/visarteam,kiev,visarteam,kyyiv,11-50,visarteam.com
ukraine,1933,national-aviation-university-nau-kiev,electrical/electronic manufacturing,linkedin.com/company/national-aviation-university-nau-kiev,kiev,"national aviation university (nau), kiev, ukraine - electronics department",kyyiv,1001-5000,nau.edu.ua
ukraine,2020,craftengine,design,linkedin.com/company/craftengine,"",craftengine,kyiv,1-10,craftengine.co
ukraine,2015,custom-4-web,internet,linkedin.com/company/custom-4-web,kharkiv,custom 4 web,kharkiv,11-50,custom4web.com
ukraine,2006,first-realty-brokerage-cushman-&-wakefield-partership-,commercial real estate,linkedin.com/company/first-realty-brokerage-cushman-&-wakefield-partership-,"",first realty brokerage,kyiv,11-50,frbrokerage.net
ukraine,"",novus_2,retail,linkedin.com/company/novus_2,"",novus,"",51-200,novus.com.ua
ukraine,2004,everlusion,computer software,linkedin.com/company/everlusion,"",everlusion,"",1-10,customerhunt.com
ukraine,2006,job-consulting-ltd-,staffing and recruiting,linkedin.com/company/job-consulting-ltd-,"",job-consulting ltd.,kyiv,1-10,jobcon.com.ua
ukraine,2019,qualitycode-team,information technology and services,linkedin.com/company/qualitycode-team,zaporizhzhya,quality.code,zaporiz'ka oblast',1-10,qualitycode.io
ukraine,2014,the-tribe-games,computer games,linkedin.com/company/the-tribe-games,kiev,the tribe games,kyyiv,11-50,thetribegames.com
ukraine,2017,prikhodkoandpartners,legal services,linkedin.com/company/prikhodkoandpartners,kiev,""prikhodko&partners"",kyyiv,11-50,prikhodko.com.ua
ukraine,2010,btl-pro,marketing and advertising,linkedin.com/company/btl-pro,uzhgorod,btl pro,transcarpathia,1-10,btl-pro.com.ua
ukraine,2010,luxnet-io,information technology and services,linkedin.com/company/luxnet-io,lviv,luxnet.io,lviv,11-50,luxnet.io
