country,founded,id,industry,linkedin_url,locality,name,region,size,website
united arab emirates,1992,alromantechnologiesllc,information technology and services,linkedin.com/company/alromantechnologiesllc,dubai,al roman technologies llc,dubai,11-50,alroman.com
united arab emirates,2016,hàshbeauty,cosmetics,linkedin.com/company/hàshbeauty,dubai,hàsh beauty,dubai,1-10,hashbeauty.com
united arab emirates,"",benta-grand-hotel,hospitality,linkedin.com/company/benta-grand-hotel,dubai,benta grand hotel,dubai,1-10,californiasuiteshoteluae.com
united arab emirates,2019,merex-investment-group,real estate,linkedin.com/company/merex-investment-group,dubai,merex investment group,dubai,201-500,""
united arab emirates,"",moda-interni,"",linkedin.com/company/moda-interni,"",moda interni,dubai,1-10,modainterni.com
united arab emirates,"",touchofoud,luxury goods & jewelry,linkedin.com/company/touchofoud,jumeirah,touch of oud,dubai,11-50,touchofoud.com
united arab emirates,2018,lowcalapps,internet,linkedin.com/company/lowcalapps,"",lowcal,dubai,1-10,lowcaltech.com
united arab emirates,2017,23designstudio,design,linkedin.com/company/23designstudio,dubai,23 design studio,dubai,11-50,""
united arab emirates,"",dominguero-tv,marketing and advertising,linkedin.com/company/dominguero-tv,dubai,dominguero tv,dubai,1-10,dominguero.tv
united arab emirates,2014,proteck-electronic-trading-llc,consumer electronics,linkedin.com/company/proteck-electronic-trading-llc,dubai,"proteck electronic trading llc, suppliers of smart access devices",dubai,11-50,ojismart.com
united arab emirates,1984,crescent-english-high-school-dubai,education management,linkedin.com/company/crescent-english-high-school-dubai,dubai,crescent english high school- dubai,dubai,201-500,crescentschooldubai.com
united arab emirates,"",geeky-lizard,retail,linkedin.com/company/geeky-lizard,"",geeky lizard,dubai,1-10,geekylizard.com
united arab emirates,2016,duadvent-events-&-advertising,events services,linkedin.com/company/duadvent-events-&-advertising,"",duadvent events & advertising,dubai,11-50,duadvent.ae
united arab emirates,2015,little-regent-nursery,education management,linkedin.com/company/little-regent-nursery,al ain,little regent nursery,abu dhabi,11-50,littleregent.ae
united arab emirates,1987,royal-pipes-trading-llc,import and export,linkedin.com/company/royal-pipes-trading-llc,sharjah,royal pipes trading llc,sharjah,11-50,royalpipestrading.com
united arab emirates,2009,black-block-exhibitions-conferences-&-events,events services,linkedin.com/company/black-block-exhibitions-conferences-&-events,"","black block for exhibitions, conferences & events",abu dhabi,11-50,black-block.com
united arab emirates,"",designmotives,"",linkedin.com/company/designmotives,"",designmotives,dubai,1-10,designmotives.ae
united arab emirates,2016,realtimegroupgloballllc,management consulting,linkedin.com/company/realtimegroupgloballllc,"",real time - group of companies | document clearing llc,dubai,1-10,realtimegroupglobal.com
united arab emirates,1967,bdo-patel-&-al-saleh-chartered-accountants-,accounting,linkedin.com/company/bdo-patel-&-al-saleh-chartered-accountants-,"",bdo uae,dubai,51-200,bdo.ae
united arab emirates,"",andromediaae,information technology and services,linkedin.com/company/andromediaae,dubai,andromedia,dubai,11-50,andromedia.ae
united arab emirates,"",dermarr-real-estate-brokers-llc,hospitality,linkedin.com/company/dermarr-real-estate-brokers-llc,"",dermarr real estate brokers llc,"",11-50,whoarewe.com
united arab emirates,2015,approved-property-registration,government administration,linkedin.com/company/approved-property-registration,dubai,approved property registration,dubai,11-50,aprllc.ae
united arab emirates,2011,raincreative,marketing and advertising,linkedin.com/company/raincreative,dubai,rain creative,dubai,11-50,raincreative.co.uk
united arab emirates,1999,exalogicgroup,information technology and services,linkedin.com/company/exalogicgroup,"",exalogic consulting,abu dhabi,201-500,exactlogic.co.uk
united arab emirates,"",convenience-arabia-llc,consumer goods,linkedin.com/company/convenience-arabia-llc,dubai,convenience arabia llc,dubai,11-50,circlek.ae
united arab emirates,1994,reyami-rental,facilities services,linkedin.com/company/reyami-rental,dubai,reyami rental,dubai,201-500,reyamirental.com
united arab emirates,2014,dnlproperties,real estate,linkedin.com/company/dnlproperties,"",dnl properties,dubai,11-50,dnl.ae
united arab emirates,2015,veri-peri-uae,food & beverages,linkedin.com/company/veri-peri-uae,"",veri peri uae,dubai,11-50,veri-peri.co.uk
united arab emirates,"",sky-infotech-solutions-fze,"",linkedin.com/company/sky-infotech-solutions-fze,"",sky infotech solutions fze,"",1-10,sky-infotech.com
united arab emirates,"",the-store-fzco,luxury goods & jewelry,linkedin.com/company/the-store-fzco,"",the store fzco,dubai,11-50,thestore.ae
united arab emirates,"",regalia-media,marketing and advertising,linkedin.com/company/regalia-media,"",regalia media,ajman,11-50,regaliamedia.net
united arab emirates,"",captain-building-equipment-rental-&-trading-llc,building materials,linkedin.com/company/captain-building-equipment-rental-&-trading-llc,sharjah,captain  building equipment rental & trading llc,sharjah,1-10,captainrental.com
united arab emirates,2015,zoom-digital-dubai,marketing and advertising,linkedin.com/company/zoom-digital-dubai,"",zoom digital dubai,dubai,11-50,wewantzoom.com
united arab emirates,2006,dubai-south,government administration,linkedin.com/company/dubai-south,dubai,dubai south,dubai,201-500,dubaisouth.ae
united arab emirates,2013,irwin-&-dow,human resources,linkedin.com/company/irwin-&-dow,"",irwin & dow,dubai,1-10,irwinanddow.com
united arab emirates,"",aaconsultancy-11,management consulting,linkedin.com/company/aaconsultancy-11,dubai,aa  consultancy,dubai,1-10,aaconsulting.ae
united arab emirates,2003,saleh-ibrahim-factory-llc,mechanical or industrial engineering,linkedin.com/company/saleh-ibrahim-factory-llc,sharjah,saleh ibrahim factory,sharjah,51-200,sifprofile.com
united arab emirates,"",chi-development-group,management consulting,linkedin.com/company/chi-development-group,"",chi development group,dubai,1-10,chi-uae.com
united arab emirates,1987,mng-zemtas-soil-foundation-engineering-construction,construction,linkedin.com/company/mng-zemtas-soil-foundation-engineering-construction,"",mng zemtas soil & foundation engineering construction,dubai,201-500,mngzemtas.com
united arab emirates,"",the-mechanic-auto-center,individual & family services,linkedin.com/company/the-mechanic-auto-center,"",the mechanic auto center,dubai,1-10,themechanicautos.com
united arab emirates,"",western-international-group,consumer goods,linkedin.com/company/western-international-group,jebel ali,western international group,dubai,10001+,westerninternationalllc.com
united arab emirates,2010,ashiana-interior,design,linkedin.com/company/ashiana-interior,"",ashiana interior,"",11-50,ashianainterior.com
united arab emirates,2009,microcontrol,electrical/electronic manufacturing,linkedin.com/company/microcontrol,"",microcontrol,"",11-50,microcontrol.ae
united arab emirates,"",luban-packing-uae-packaging-material-&-machinery-suppliers-in-dubai-uae,management consulting,linkedin.com/company/luban-packing-uae-packaging-material-&-machinery-suppliers-in-dubai-uae,"","luban packing uae packaging material & machinery suppliers in dubai, uae",abu dhabi,11-50,packaging-manufacturer-dubai.com
united arab emirates,2007,canpack-me,food & beverages,linkedin.com/company/canpack-me,dubai,canpack me,dubai,51-200,canpackme.ae
united arab emirates,2018,p79,investment management,linkedin.com/company/p79,"",p79 capital,dubai,11-50,p79capital.com
united arab emirates,2012,beauty-point-trading-llc,cosmetics,linkedin.com/company/beauty-point-trading-llc,"",beauty point trading llc,dubai,1-10,""
united arab emirates,2018,high-point-real-estate,real estate,linkedin.com/company/high-point-real-estate,"",high point real estate,dubai,1-10,""
united arab emirates,2002,pioneer-lighting-solutions-llc,design,linkedin.com/company/pioneer-lighting-solutions-llc,"",pioneer lighting solutions llc,dubai,11-50,pioneerlightingsolutions.com
united arab emirates,"",just-white-dental-clinic,medical practice,linkedin.com/company/just-white-dental-clinic,"",just white dental clinic,dubai,11-50,justaesthetics.ae
united arab emirates,2016,computer-power-technology,information technology and services,linkedin.com/company/computer-power-technology,abu dhabi,computer & power technology,abu dhabi,11-50,cptauh.ae
united arab emirates,2012,anchor-marine-agency-l-l-c,maritime,linkedin.com/company/anchor-marine-agency-l-l-c,dubai,anchor marine l.l.c,dubai,11-50,anchordxb.com
united arab emirates,2003,cactimedia,internet,linkedin.com/company/cactimedia,"",cactimedia,dubai,11-50,cactimedia.com
