country,founded,id,industry,linkedin_url,locality,name,region,size,website
uruguay,"",instituto-de-enseñanza-tecnoart,primary/secondary education,linkedin.com/company/instituto-de-enseñanza-tecnoart,"",instituto de enseñanza tecnoart,"",201-500,espacioeducativointegral.blogspot.com
uruguay,2008,hdm-transportes,transportation/trucking/railroad,linkedin.com/company/hdm-transportes,los cerrillos,hdm transportes,canelones,51-200,hdmtransportes.com.uy
uruguay,"",segacuy,logistics and supply chain,linkedin.com/company/segacuy,"",segacuy,montevideo,1-10,segacuy.com
uruguay,"",tecnosolar,marketing and advertising,linkedin.com/company/tecnosolar,"",tecnosolar,montevideo,11-50,tecnosolar.com.uy
uruguay,2013,xinamon,marketing and advertising,linkedin.com/company/xinamon,"",xinamon,montevideo,1-10,xinamon.com
uruguay,"",agua-electropura,individual & family services,linkedin.com/company/agua-electropura,"",agua electropura,flores,11-50,""
uruguay,"",commit-studio,information technology and services,linkedin.com/company/commit-studio,"",commit studio,montevideo,1-10,commit.studio
uruguay,1990,idalen,paper & forest products,linkedin.com/company/idalen,montevideo,idalen sa,montevideo,51-200,idalen.com
uruguay,2009,listo-soluciones,computer hardware,linkedin.com/company/listo-soluciones,montevideo,listo soluciones,montevideo,1-10,listosoluciones.com
uruguay,1984,bgvi-consultores,accounting,linkedin.com/company/bgvi-consultores,carrasco,bgvi consultores,montevideo,11-50,bgvi.com.uy
uruguay,1973,instituto-nacional-de-cirugia-cardiaca,medical devices,linkedin.com/company/instituto-nacional-de-cirugia-cardiaca,montevideo,instituto nacional de cirugía cardíaca,montevideo,11-50,incc.com.uy
uruguay,2008,wyeworks,internet,linkedin.com/company/wyeworks,montevideo,wyeworks,montevideo,11-50,wyeworks.com
uruguay,"",bettasul,consumer goods,linkedin.com/company/bettasul,montevideo,bettasul,montevideo,51-200,bettasul.com.uy
uruguay,2012,bon-gout,wholesale,linkedin.com/company/bon-gout,colonia del sacramento,bon gout,colonia,1-10,bongout.com.uy
uruguay,"",jdva-arquitectos,architecture & planning,linkedin.com/company/jdva-arquitectos,"",jdva arquitectos,"",11-50,jdva.com.uy
uruguay,2016,feel-a-local,"leisure, travel & tourism",linkedin.com/company/feel-a-local,"",feel a local,maldonado,1-10,feelalocal.com
uruguay,"",sevel-uruguay-s-a,"",linkedin.com/company/sevel-uruguay-s-a,"",sevel uruguay s.a,"",51-200,sevel.com.uy
uruguay,2006,agrosur---praxa-s-a-,ranching,linkedin.com/company/agrosur---praxa-s-a-,"",agrosur - praxa s.a.,florida,1-10,agro-sur.com
uruguay,1973,biblioteca-nuestros-hijos,non-profit organization management,linkedin.com/company/biblioteca-nuestros-hijos,montevideo,biblioteca nuestros hijos,montevideo,1-10,bibliotecanuestroshijos.com.uy
uruguay,2008,michael-king-pilates,"health, wellness and fitness",linkedin.com/company/michael-king-pilates,"",michael king pilates,maldonado,1-10,michaelkingpilates.com
uruguay,2013,medeglia-consulting-group,management consulting,linkedin.com/company/medeglia-consulting-group,maldonado,cpa medeglia,maldonado,1-10,cpamedeglia.com
uruguay,"",pum-digital-&-interactive-advertising,marketing and advertising,linkedin.com/company/pum-digital-&-interactive-advertising,montevideo,pum! digital & interactive advertising,montevideo,1-10,pum.com.uy
uruguay,1999,pepeganga,wholesale,linkedin.com/company/pepeganga,"",pepeganga s.a.,montevideo,11-50,pepeganga.com.uy
uruguay,2017,vivo-medianet,marketing and advertising,linkedin.com/company/vivo-medianet,"",vivo media,montevideo,1-10,""
uruguay,2016,sistra-cloud,information technology and services,linkedin.com/company/sistra-cloud,montevideo,sistra,montevideo,11-50,sistracloud.com
uruguay,1970,kosak-inversiones-inmobiliarias,real estate,linkedin.com/company/kosak-inversiones-inmobiliarias,montevideo,kosak inversiones inmobiliarias,montevideo,11-50,kosak.com.uy
uruguay,2015,cenitea,"health, wellness and fitness",linkedin.com/company/cenitea,montevideo,cenitea,montevideo,1-10,cenitea.com.uy
uruguay,2012,chateau-rouge,apparel & fashion,linkedin.com/company/chateau-rouge,"",chateau rouge,maldonado,1-10,chrouge.com
uruguay,"",cielomoto,media production,linkedin.com/company/cielomoto,montevideo,cielomoto,montevideo,1-10,cielomoto.com
uruguay,2008,amenpublicidad,marketing and advertising,linkedin.com/company/amenpublicidad,uruguay,amén,cerro largo,11-50,amen.ad
uruguay,2002,itsinergia,information technology and services,linkedin.com/company/itsinergia,"",itsinergia,montevideo,51-200,itsinergia.com
uruguay,2019,doohmain,online media,linkedin.com/company/doohmain,"",doohmain,montevideo,11-50,doohmain.com
uruguay,1998,lincongroup,logistics and supply chain,linkedin.com/company/lincongroup,"",lincon,canelones,11-50,lincon.com.uy
uruguay,2019,sunareva,food & beverages,linkedin.com/company/sunareva,"",sunareva,montevideo,51-200,sunareva.com
uruguay,2020,visionglobal,research,linkedin.com/company/visionglobal,"",visión global,montevideo,11-50,visionglobal.com.uy
uruguay,1989,cutiuy,information technology and services,linkedin.com/company/cutiuy,montevideo,cuti - chamber of uruguayan it companies,montevideo,11-50,cuti.org.uy
