country,founded,id,industry,linkedin_url,locality,name,region,size,website
venezuela,"",bgservicios,photography,linkedin.com/company/bgservicios,santa cruz de mara,b&g servicios,zulia,1-10,""
venezuela,"",oriente-e.i.c.i.-entidad-de-inversi-n-colectiva-inmobiliaria-,financial services,linkedin.com/company/oriente-e.i.c.i.-entidad-de-inversi-n-colectiva-inmobiliaria-,"",oriente e.i.c.i.(entidad de inversión colectiva inmobiliaria),"",11-50,orienteeici.com.ve
venezuela,2011,seral-international,import and export,linkedin.com/company/seral-international,maracay,seral international,aragua,1-10,seralinternational.com
venezuela,2006,softclear,computer software,linkedin.com/company/softclear,san antonio de los altos,softclear,miranda,11-50,softclear.net
venezuela,2019,veneconsulting,human resources,linkedin.com/company/veneconsulting,"","veneconsulting, s.c.",miranda,1-10,itsmy.bio
venezuela,2019,centro-tecnológico-de-investigación-y-consultoria-en-ingeniería,mechanical or industrial engineering,linkedin.com/company/centro-tecnológico-de-investigación-y-consultoria-en-ingeniería,maracaibo,estratech,zulia,11-50,""
venezuela,"",escalante-san-cristobal-c-a-,"",linkedin.com/company/escalante-san-cristobal-c-a-,"",escalante san cristobal c.a.,"",11-50,escalantesc.com.ve
venezuela,2006,hecticus-software-inc.,telecommunications,linkedin.com/company/hecticus-software-inc.,baruta,hecticus software inc,miranda,11-50,hecticus.com
venezuela,"",colegio-integral-el-avila,"",linkedin.com/company/colegio-integral-el-avila,"",colegio integral el avila,"",201-500,elavila.org
venezuela,2012,vrander,marketing and advertising,linkedin.com/company/vrander,porlamar,vrander,nueva esparta,1-10,vrander.com
venezuela,2015,aitnovva-s.a.,telecommunications,linkedin.com/company/aitnovva-s.a.,caracas,aitinovva s.a.,capital,1-10,gouwebs.com
venezuela,1976,plasticos-moldeados-decocar-c-a-,plastics,linkedin.com/company/plasticos-moldeados-decocar-c-a-,"","plasticos moldeados decocar, c.a.",miranda,51-200,decocar.com
venezuela,2005,or-design-image,graphic design,linkedin.com/company/or-design-image,"",or design & image,miranda,1-10,oberramirez.com
venezuela,"",administradora-integral,"",linkedin.com/company/administradora-integral,"",administradora integral,"",51-200,administradoraintegral.com
venezuela,2000,serviexpress-internacional-2007-c-a-,package/freight delivery,linkedin.com/company/serviexpress-internacional-2007-c-a-,"",serviexpress internacional 2007 c.a.,miranda,51-200,serviexpress-int.com
venezuela,2008,nuovo-group,architecture & planning,linkedin.com/company/nuovo-group,"",nuovo group,miranda,11-50,nuovogrupo.com
venezuela,"",atanor-de-seguros-sociedad-de-corretaje,insurance,linkedin.com/company/atanor-de-seguros-sociedad-de-corretaje,"","atanor de seguros, sociedad de corretaje",miranda,1-10,atanordeseguros.com.ve
venezuela,2014,agrotendencia,telecommunications,linkedin.com/company/agrotendencia,"",agrotendencia,miranda,11-50,agrotendencia.tv
venezuela,1968,fujitec-venezuela-c.a.,construction,linkedin.com/company/fujitec-venezuela-c.a.,"","fujitec venezuela, c.a.",miranda,51-200,fujitec.com.ve
venezuela,2018,sam-oil-gas-corp,oil & energy,linkedin.com/company/sam-oil-gas-corp,caracas,sam oil & gas corp.,capital,1-10,samoilgas.com
venezuela,2016,hypesolutions,program development,linkedin.com/company/hypesolutions,maracaibo,hype,zulia,1-10,hype.com.ve
venezuela,2006,ideasmagenta,marketing and advertising,linkedin.com/company/ideasmagenta,san cristóbal,magenta,tachira,1-10,ideasmagenta.com
venezuela,"",proyectos-brain-c.a.,information technology and services,linkedin.com/company/proyectos-brain-c.a.,"",proyectos brain c.a.,"",11-50,proyectosbrain.com.ve
venezuela,2002,empresaweb,marketing and advertising,linkedin.com/company/empresaweb,"",empresaweb,miranda,1-10,empresaweb.com.ve
venezuela,1993,m-m-pumps,machinery,linkedin.com/company/m-m-pumps,"",m&m pumps,miranda,11-50,mmpumps.com.ve
venezuela,2006,asecal-internacional,management consulting,linkedin.com/company/asecal-internacional,valencia,asecal internacional,carabobo,1-10,asecal.com
venezuela,2010,asociación-civil-medianálisis,broadcast media,linkedin.com/company/asociación-civil-medianálisis,barquisimeto,asociación civil medianálisis,lara,1-10,""
venezuela,2009,biodynamics,medical devices,linkedin.com/company/biodynamics,valencia,biodynamics,carabobo,51-200,biodynamicsmedical.com
venezuela,2006,bufalinda,food & beverages,linkedin.com/company/bufalinda,maturin,bufalinda,monagas,201-500,bufalinda.com
venezuela,2011,duracret,building materials,linkedin.com/company/duracret,caracas,duracret,capital,11-50,duracret.com
venezuela,"",exposiciones-y-transportes-expotran-sa,logistics and supply chain,linkedin.com/company/exposiciones-y-transportes-expotran-sa,"",exposiciones y transportes expotran sa,miranda,51-200,""
venezuela,"",latiquim-c-a,"",linkedin.com/company/latiquim-c-a,"",latiquim c.a,"",11-50,latiquim.com
venezuela,2010,pixel-s-a,entertainment,linkedin.com/company/pixel-s-a,maracaibo,pixel s.a,zulia,1-10,pixel.net.ve
venezuela,1959,valmorca,pharmaceuticals,linkedin.com/company/valmorca,ejido,laboratorios valmorca,merida,201-500,valmorca.com.ve
venezuela,2015,llavi-agency,marketing and advertising,linkedin.com/company/llavi-agency,maracaibo,llavi agency,zulia,1-10,llavi.com
venezuela,"",gamma-qu-mica-de-venezuela,chemicals,linkedin.com/company/gamma-qu-mica-de-venezuela,"",gamma química de venezuela,miranda,11-50,quimicagamma.com
venezuela,2009,beg,wholesale,linkedin.com/company/beg,maracaibo,"b.e.g. corporación automotriz, c. a. | b.e.g. suspensión, c. a.",zulia,11-50,beg.com.ve
venezuela,2015,softelinet-soluciones-tecnológicas-c-a-,information technology and services,linkedin.com/company/softelinet-soluciones-tecnológicas-c-a-,"","softelinet soluciones tecnológicas,c.a.",miranda,1-10,softelinet.com
venezuela,"",confecciones-2-puntadas-c-r-c-a-,marketing and advertising,linkedin.com/company/confecciones-2-puntadas-c-r-c-a-,"",confecciones 2 puntadas c.r. c.a.,"",1-10,2puntadas.com
venezuela,2006,observatorio-nacional-de-ciencia-tecnología-e-innovación,government administration,linkedin.com/company/observatorio-nacional-de-ciencia-tecnología-e-innovación,"","observatorio nacional de ciencia, tecnología e innovación","",51-200,oncti.gob.ve
venezuela,"",frazzetta-&-asociados,accounting,linkedin.com/company/frazzetta-&-asociados,"",frazzetta & asociados,"",11-50,frazzetta.com
venezuela,1988,prometalca,mining & metals,linkedin.com/company/prometalca,guacara,prometalca,carabobo,11-50,""
venezuela,2006,microvnz,mechanical or industrial engineering,linkedin.com/company/microvnz,valencia,micro tecnología neumática,carabobo,11-50,micro.com.ve
venezuela,"",alimentos-internacionales,information technology and services,linkedin.com/company/alimentos-internacionales,"",alimentos internacionales,miranda,11-50,""
venezuela,"",marcelo-y-rivero-c-a-,accounting,linkedin.com/company/marcelo-y-rivero-c-a-,guacara,"marcelo y rivero, c.a.",carabobo,11-50,marcelorivero.com
venezuela,1999,ip-net-c-a-,internet,linkedin.com/company/ip-net-c-a-,"","ip net, c.a.",miranda,51-200,ip-network.net
venezuela,"",plafam,"",linkedin.com/company/plafam,"",plafam,"",51-200,plafam.org.ve
venezuela,2011,gps-logística,information technology and services,linkedin.com/company/gps-logística,caracas,gps logística,capital,11-50,gpslogistica.com
venezuela,"",viajes-mazzocchi,"leisure, travel & tourism",linkedin.com/company/viajes-mazzocchi,"",viajes mazzocchi,"",1-10,viajesmazzocchi.com
venezuela,"",grupo-orinoco-2021,management consulting,linkedin.com/company/grupo-orinoco-2021,"",go group holdings,miranda,51-200,gogroupholding.com
venezuela,2009,tmh-international-group,financial services,linkedin.com/company/tmh-international-group,maracaibo,tmh international group,zulia,51-200,tmhig.com
venezuela,"",transporte-progaven,"",linkedin.com/company/transporte-progaven,"",transporte progaven,"",11-50,progaven.com.ve
venezuela,2019,spectre-ingeniería,civil engineering,linkedin.com/company/spectre-ingeniería,caracas,spectre ingeniería,capital,1-10,""
venezuela,2004,siscotelconsultores,information technology and services,linkedin.com/company/siscotelconsultores,"",siscotel,miranda,11-50,siscotelcloud.com
venezuela,"",maritime-pilot-services-c-a,maritime,linkedin.com/company/maritime-pilot-services-c-a,puerto la cruz,maritime pilot services c.a.,anzoátegui,1-10,maritimepilotservices.com
venezuela,2012,merengada-producciones,entertainment,linkedin.com/company/merengada-producciones,caracas,merengada producciones,capital,1-10,merengadaproducciones.com
venezuela,"",metal-mecanica-trinacria-c-a-,mechanical or industrial engineering,linkedin.com/company/metal-mecanica-trinacria-c-a-,"","metal mecanica trinacria, c.a.",miranda,1-10,welcome.to
venezuela,1986,disvequim,chemicals,linkedin.com/company/disvequim,"",disvequim,miranda,11-50,disvequim.com
venezuela,2013,born&raised,marketing and advertising,linkedin.com/company/born&raised,"",born & raised creative advertising,miranda,1-10,bornraised.com.ve
venezuela,2017,geods-de-venezuela,oil & energy,linkedin.com/company/geods-de-venezuela,"",geods de venezuela,miranda,51-200,geodsolutions.com
venezuela,2015,grupo-delchan-rut-&-asociados,legal services,linkedin.com/company/grupo-delchan-rut-&-asociados,"",delchan sanchez & asociados,"",1-10,dsa.co.ve
venezuela,2014,soham-yoga,"health, wellness and fitness",linkedin.com/company/soham-yoga,caracas,soham yoga,capital,1-10,sohamyoga.com.ve
venezuela,2009,atletico-venezuela-cf,sports,linkedin.com/company/atletico-venezuela-cf,"",atletico venezuela cf,"",1001-5000,atleticovenezuelacf.com
venezuela,2014,decotel,hospitality,linkedin.com/company/decotel,barquisimeto,decotel,lara,11-50,decotel.com.ve
venezuela,"",arquiespacios,"",linkedin.com/company/arquiespacios,"",arquiespacios,"",1-10,arquiespacios.net
venezuela,2011,playstore-vzla,retail,linkedin.com/company/playstore-vzla,san cristóbal,playstore vzla,tachira,1-10,playstore.com.ve
venezuela,"",aserradero-covemat-c-a,"",linkedin.com/company/aserradero-covemat-c-a,"",aserradero covemat c.a,"",51-200,covemat.com.ve
venezuela,2014,consultor-de-negocio,management consulting,linkedin.com/company/consultor-de-negocio,barquisimeto,consultor de negocio,lara,1-10,titorosendoconsultordenegocio.blogspot.com
venezuela,"",constructora-camsa,accounting,linkedin.com/company/constructora-camsa,"",constructora camsa,"",51-200,camsa.com.ve
venezuela,1978,cavecol,non-profit organization management,linkedin.com/company/cavecol,"",cavecol,"",1-10,cavecol.org
venezuela,1989,marnat-inmobiliaria,real estate,linkedin.com/company/marnat-inmobiliaria,san cristóbal,marnat inmobiliaria,tachira,1-10,marnatbienesraices.com
venezuela,1999,service-fire-3000,mechanical or industrial engineering,linkedin.com/company/service-fire-3000,las acacias,service fire 3000,distrito federal,11-50,seguridadcontraincendios.net
venezuela,"",el-triunfo-c-a-,"",linkedin.com/company/el-triunfo-c-a-,"",el triunfo c.a.,"",51-200,eltriunfo.com.ve
venezuela,2003,qualitex-servicios-tecnol-gicos,information technology and services,linkedin.com/company/qualitex-servicios-tecnol-gicos,maracaibo,"qualitex, servicios tecnológicos",zulia,1-10,grupoqualitex.com
venezuela,1978,avtek-protecci-n-el-ctrica,consumer electronics,linkedin.com/company/avtek-protecci-n-el-ctrica,los teques,avtek protección,miranda,11-50,""
venezuela,"",pmg-group-c-a,oil & energy,linkedin.com/company/pmg-group-c-a,barcelona,pmg group c.a.,anzoátegui,1-10,pmggroupca.com
venezuela,1943,seguros-caracas,insurance,linkedin.com/company/seguros-caracas,"",seguros caracas,miranda,501-1000,seguroscaracas.com
venezuela,"",cdivertiamo-s.r.l.,"",linkedin.com/company/cdivertiamo-s.r.l.,"",cdivertiamo s.r.l.,"",11-50,""
venezuela,"",unidad-territorial-carabobo,information technology and services,linkedin.com/company/unidad-territorial-carabobo,"",unidad territorial carabobo,"",1-10,""
venezuela,2005,integradata-c-a-,telecommunications,linkedin.com/company/integradata-c-a-,caracas,grupo integradata,capital,11-50,integradata-ve.com
venezuela,"",premium-de-venezuela-s-r-l,"",linkedin.com/company/premium-de-venezuela-s-r-l,"",premium de venezuela s.r.l,"",11-50,premiumvenezuela.com
venezuela,"",slv-consultores,law practice,linkedin.com/company/slv-consultores,caracas,slv consultores,capital,1-10,slvconsultores.com
venezuela,2010,arquitecturacad,animation,linkedin.com/company/arquitecturacad,"",arquitecturacad,lara,1-10,arquitecturacad.com
venezuela,2008,cti-consultores-tu-imagen,management consulting,linkedin.com/company/cti-consultores-tu-imagen,"",cti- consultores tu imagen.,miranda,11-50,tuimagenprofesional.com
venezuela,2016,talentoeinnovacion,education management,linkedin.com/company/talentoeinnovacion,barquisimeto,"talento e innovación, ca",lara,1-10,talentoseinnovacion.com
venezuela,"",eldoradovzla,food & beverages,linkedin.com/company/eldoradovzla,biscucuy,el dorado,portuguesa,11-50,""
venezuela,2004,nadds-publicidad,marketing and advertising,linkedin.com/company/nadds-publicidad,"",nadds publicidad,"",11-50,naddspublicidad.com
venezuela,"",digital-world-c-a,"",linkedin.com/company/digital-world-c-a,"",digital world c.a,"",11-50,digitalworldca.com
venezuela,2015,plattinux,information technology and services,linkedin.com/company/plattinux,"",plattinux,"",1-10,plattinux.com
