country,founded,id,industry,linkedin_url,locality,name,region,size,website
vietnam,2006,vnuni-jsc.,computer software,linkedin.com/company/vnuni-jsc.,hanoi,phần mềm bán hàng vnuni (vnuni jsc.),ha noi,11-50,vnuni.net
vietnam,2012,southern-social-entrepreneurs-club,civic & social organization,linkedin.com/company/southern-social-entrepreneurs-club,"",southern social entrepreneurs club - ssec,ho chi minh city,1-10,ssecvietnam.vn
vietnam,"",fbnc,broadcast media,linkedin.com/company/fbnc,"",fbnc,ha noi,51-200,fbnc.com.vn
vietnam,2008,eon51-restaurant-co-ltd,food & beverages,linkedin.com/company/eon51-restaurant-co-ltd,"",eon51 restaurant co. ltd.,"",201-500,eon51.com
vietnam,2012,hatchventures,non-profit organization management,linkedin.com/company/hatchventures,"",hatch! ventures,ha noi,11-50,hatch.vn
vietnam,"",small-is-beautiful,apparel & fashion,linkedin.com/company/small-is-beautiful,"",small is beautiful,"",1-10,smallisb.com
vietnam,"",new-revolution-sc,computer & network security,linkedin.com/company/new-revolution-sc,"",new revolution sc,"",1-10,cloudcards.nl
vietnam,1997,muong-thanh-hospitality-careers,hospitality,linkedin.com/company/muong-thanh-hospitality-careers,"",muong thanh jobs,ha noi,10001+,muongthanh.com
vietnam,2011,saga-du-mekong,retail,linkedin.com/company/saga-du-mekong,nha trang,saga du mekong,khanh hoa,201-500,""
vietnam,2013,migola-travel,"leisure, travel & tourism",linkedin.com/company/migola-travel,"",migola travel,ho chi minh city,11-50,vietnampackages.net
vietnam,1999,trung-tâm-học-tiếng-nhật-cosmos-hcm,education management,linkedin.com/company/trung-tâm-học-tiếng-nhật-cosmos-hcm,"",trung tâm học tiếng nhật cosmos hcm,ho chi minh city,11-50,hoctiengnhat.center
vietnam,"",digital-star,printing,linkedin.com/company/digital-star,"",digital star,"",11-50,thaidigitalstar.com
vietnam,2003,khaihoangroup,luxury goods & jewelry,linkedin.com/company/khaihoangroup,"",khaihoangroup,"",51-200,""
vietnam,1974,sapphire-packaging,packaging and containers,linkedin.com/company/sapphire-packaging,"",sapphire packaging ltd.,long an,1-10,sapphirepackaging.com
