country,founded,id,industry,linkedin_url,locality,name,region,size,website
zambia,2006,prima-reinsurance-plc,insurance,linkedin.com/company/prima-reinsurance-plc,lusaka,prima reinsurance plc,lusaka,1-10,prima-re.com
zambia,1953,antelope-wholesale-merchants-ltd-,food production,linkedin.com/company/antelope-wholesale-merchants-ltd-,luanshya,antelope wholesale merchants ltd.,copperbelt,201-500,antelope.co.zm
zambia,1997,competition-consumer-protection-commission-ccpc,consumer services,linkedin.com/company/competition-consumer-protection-commission-ccpc,livingstone,competition & consumer protection commission (ccpc),southern,501-1000,ccpc.org.zm
zambia,2010,digital-ice-interactive-media-ltd,marketing and advertising,linkedin.com/company/digital-ice-interactive-media-ltd,lusaka,digital ice interactive media ltd,lusaka,1-10,digitalice.co.zm
zambia,1980,zambia-seed-company,research,linkedin.com/company/zambia-seed-company,lusaka,zambia seed company,lusaka,201-500,zamseed.co.zm
zambia,2015,fitcity-zambia,"health, wellness and fitness",linkedin.com/company/fitcity-zambia,lusaka,fitcity zambia,lusaka,1-10,fitcityhealth.ch
zambia,2015,rapidus-sourcing-africa,information technology and services,linkedin.com/company/rapidus-sourcing-africa,"",rapidus sourcing africa,"",11-50,rapidussourcing.com
zambia,2015,lusaka-telecom-solution,telecommunications,linkedin.com/company/lusaka-telecom-solution,lusaka,lusaka telecom solution,lusaka,51-200,lusaka-telecom.com
zambia,2014,irock,information technology and services,linkedin.com/company/irock,lusaka,i-rock,lusaka,11-50,irock.co.zm
zambia,"",the-urban-hotel-group,hospitality,linkedin.com/company/the-urban-hotel-group,ndola,the urban hotel group,copperbelt,51-200,theurbanhotelgroup.com
zambia,"",savenda-general-insurance,insurance,linkedin.com/company/savenda-general-insurance,lusaka,savenda general insurance,lusaka,11-50,sgi.co.zm
zambia,1992,consolidated-engineering-tools-ltd,mechanical or industrial engineering,linkedin.com/company/consolidated-engineering-tools-ltd,kitwe,consolidated engineering & tools ltd,central,11-50,cetzambia.net
zambia,2014,timbuktu-holdings-limited,telecommunications,linkedin.com/company/timbuktu-holdings-limited,lusaka,timbuktu holdings limited,lusaka,1-10,timbuktuholdings.com
zambia,"",lusanga-technical-services-z-ltd,construction,linkedin.com/company/lusanga-technical-services-z-ltd,chingola,lusanga technical services (z) ltd,copperbelt,201-500,""
zambia,"",cfao-zambia-limited,automotive,linkedin.com/company/cfao-zambia-limited,lusaka,cfao zambia limited,lusaka,51-200,""
zambia,2001,utilink-limited,construction,linkedin.com/company/utilink-limited,lusaka,utilink limited,lusaka,1-10,utilink.co.zm
