country,founded,id,industry,linkedin_url,locality,name,region,size,website
zimbabwe,1994,lorimak-africa,management consulting,linkedin.com/company/lorimak-africa,harare,lorimak recruitment consultants,harare,11-50,lorimakrecruitment.com
zimbabwe,"",newman-attorneys,law practice,linkedin.com/company/newman-attorneys,harare,newman attorneys,harare,1-10,""
zimbabwe,"",ukteleradiology-limited,internet,linkedin.com/company/ukteleradiology-limited,"",ukteleradiology limited,midlands,1-10,""
zimbabwe,"",natureways-safaris,"leisure, travel & tourism",linkedin.com/company/natureways-safaris,"",natureways safaris,"",11-50,natureways.com
zimbabwe,2012,spectra-holdings-pvt-ltd,computer & network security,linkedin.com/company/spectra-holdings-pvt-ltd,harare,spectra holdings (pvt) ltd,mashonaland east,1-10,""
zimbabwe,2014,143communications,marketing and advertising,linkedin.com/company/143communications,harare,143 communications,harare,1-10,""
zimbabwe,1996,project-higher-life,non-profit organization management,linkedin.com/company/project-higher-life,harare,higherlife foundation,harare,51-200,higherlifefoundation.com
zimbabwe,2009,tropical-reinsurance-company,insurance,linkedin.com/company/tropical-reinsurance-company,harare,tropical reinsurance company,harare,11-50,""
zimbabwe,"",strato-g-creative-zimbabwe,design,linkedin.com/company/strato-g-creative-zimbabwe,"",strato-g creative zimbabwe,"",1-10,strato-g.net
zimbabwe,2012,aluminium-systems,building materials,linkedin.com/company/aluminium-systems,harare,aluminium systems,harare,11-50,""
zimbabwe,"",eagle-industrial-paints-limited,construction,linkedin.com/company/eagle-industrial-paints-limited,"",eagle industrial paints limited,midlands,1-10,""
zimbabwe,"",cargoline-international-limited,consumer services,linkedin.com/company/cargoline-international-limited,"",cargoline international limited,midlands,1-10,cargoline-international.com
zimbabwe,2018,sunrise-talk,marketing and advertising,linkedin.com/company/sunrise-talk,harare,sunrise,harare,1-10,sunrisetalk.blogspot.com
zimbabwe,"",cast-engineering-limited,automotive,linkedin.com/company/cast-engineering-limited,"",cast engineering limited,midlands,1-10,cast-bg.net
zimbabwe,"",majesty-management-consultancy-ltd,"",linkedin.com/company/majesty-management-consultancy-ltd,"",majesty management consultancy ltd,"",1-10,majestyconsultancy.pw
zimbabwe,"",sally-wood-photography-limited,photography,linkedin.com/company/sally-wood-photography-limited,"",sally wood photography limited,midlands,1-10,""
zimbabwe,1994,sable-press,printing,linkedin.com/company/sable-press,harare,sable press,harare,51-200,""
zimbabwe,2009,vayeni,"leisure, travel & tourism",linkedin.com/company/vayeni,victoria falls,vayeni,matabeleland north,1-10,vayeni.com
zimbabwe,"",regional-data-solutions,information technology and services,linkedin.com/company/regional-data-solutions,harare,regional data solutions,harare,11-50,""
zimbabwe,2012,uhostafrica,information technology and services,linkedin.com/company/uhostafrica,harare,uhostafrica,harare,1-10,uhostafrica.com
zimbabwe,"",book-of-african-records,"",linkedin.com/company/book-of-african-records,"",book of african records,"",11-50,bookofafricanrecords.org
zimbabwe,"",laton-limited,computer software,linkedin.com/company/laton-limited,"",laton limited,midlands,1-10,""
zimbabwe,2015,conexus-business-training,education management,linkedin.com/company/conexus-business-training,harare,conexus business training,harare,51-200,""
zimbabwe,1979,island-hospice-service,hospital & health care,linkedin.com/company/island-hospice-service,"",island hospice service,harare,11-50,islandhospice.org
zimbabwe,1920,st-john-ambulance-zimbabwe,hospital & health care,linkedin.com/company/st-john-ambulance-zimbabwe,harare,st john ambulance zimbabwe,mashonaland east,11-50,stjohnzim.org
zimbabwe,1981,kutaura-enterprises,apparel & fashion,linkedin.com/company/kutaura-enterprises,harare,kutaura enterprises,mashonaland east,51-200,kutaura.com
zimbabwe,2012,capital-eezi-food-manufacturers-pvt-ltd,food & beverages,linkedin.com/company/capital-eezi-food-manufacturers-pvt-ltd,"",capital eezi food manufacturers (pvt) ltd,"",11-50,""
zimbabwe,2018,wiprotector,venture capital & private equity,linkedin.com/company/wiprotector,harare,iprotector zimbabwe,harare,1-10,""
zimbabwe,2002,aloe-vera-africa,"health, wellness and fitness",linkedin.com/company/aloe-vera-africa,kariba,aloe vera africa,mashonaland west,1-10,aloevera4healthplus.com
zimbabwe,"",unitec-limited,information technology and services,linkedin.com/company/unitec-limited,"",unitec limited,midlands,51-200,""
